Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
AAGYLUR,70709-102-10,250 mg/1,CAPSULE,ORAL,ANDA213293,Cycle Pharmaceuticals Ltd.,70709-102,Penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,09/25/2025,N/A,ANDA,100 CAPSULE in 1 BOTTLE (70709-102-10),Antirheumatic Agent [EPC],N/A,No,12/31/2026
Cuprimine,25010-705-15,250 mg/1,CAPSULE,ORAL,NDA019853,"Bausch Health US, LLC",25010-705,penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,12/04/1970,N/A,NDA,100 CAPSULE in 1 BOTTLE (25010-705-15),Antirheumatic Agent [EPC],N/A,No,12/31/2027
Depen,0037-4401-01,250 mg/1,TABLET,ORAL,NDA019854,Viatris Specialty LLC,0037-4401,Penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,11/30/1978,N/A,NDA,100 TABLET in 1 BOTTLE (0037-4401-01),Antirheumatic Agent [EPC],N/A,No,12/31/2026
penicillamine,0254-2000-01,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA211196,"Par Health USA, LLC",0254-2000,penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,01/02/2020,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0254-2000-01)",Antirheumatic Agent [EPC],N/A,No,12/31/2027
Penicillamine,0591-4171-01,250 mg/1,CAPSULE,ORAL,ANDA210976,"Actavis Pharma, Inc.",0591-4171,Penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,06/25/2019,N/A,ANDA,100 CAPSULE in 1 BOTTLE (0591-4171-01),Antirheumatic Agent [EPC],N/A,No,12/31/2026
Penicillamine,43598-634-01,250 mg/1,"CAPSULE, GELATIN COATED",ORAL,ANDA211867,Dr. Reddy's Laboratories Inc.,43598-634,Penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,08/04/2020,N/A,ANDA,"100 CAPSULE, GELATIN COATED in 1 BOTTLE (43598-634-01)",Antirheumatic Agent [EPC],N/A,No,12/31/2026
Penicillamine,49884-146-01,250 mg/1,CAPSULE,ORAL,ANDA211231,"Par Health USA, LLC",49884-146,penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,01/08/2020,N/A,ANDA,100 CAPSULE in 1 BOTTLE (49884-146-01),Antirheumatic Agent [EPC],N/A,No,12/31/2027
Penicillamine,51991-974-01,250 mg/1,CAPSULE,ORAL,ANDA215409,"Breckenridge Pharmaceutical, Inc.",51991-974,Penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,11/12/2021,N/A,ANDA,100 CAPSULE in 1 BOTTLE (51991-974-01),Antirheumatic Agent [EPC],N/A,No,12/31/2027
Penicillamine,68475-201-01,250 mg/1,CAPSULE,ORAL,ANDA214363,Navinta LLC,68475-201,Penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,01/01/2022,N/A,ANDA,100 CAPSULE in 1 BOTTLE (68475-201-01),Antirheumatic Agent [EPC],N/A,No,12/31/2026
Penicillamine,70010-907-01,250 mg/1,CAPSULE,ORAL,ANDA211735,Granules Pharmaceuticals Inc.,70010-907,Penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,12/21/2020,N/A,ANDA,100 CAPSULE in 1 BOTTLE (70010-907-01),Antirheumatic Agent [EPC],N/A,No,12/31/2026
Penicillamine,70748-153-01,250 mg/1,TABLET,ORAL,ANDA212933,"Lupin Pharmaceuticals, Inc.",70748-153,Penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,03/01/2021,N/A,ANDA,100 TABLET in 1 BOTTLE (70748-153-01),Antirheumatic Agent [EPC],N/A,No,12/31/2026
Penicillamine,71205-916-00,250 mg/1,CAPSULE,ORAL,ANDA211735,Proficient Rx LP,71205-916,Penicillamine,PENICILLAMINE,HUMAN PRESCRIPTION DRUG,07/08/2021,N/A,ANDA,100 CAPSULE in 1 BOTTLE (71205-916-00),Antirheumatic Agent [EPC],N/A,No,12/31/2026
