Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ORLYNVAH,81153-100-01,"500 mg/1, 500 mg/1","TABLET, FILM COATED",ORAL,NDA213972,ITERUM THERAPEUTICS US LIMITED,81153-100,sulopenem etzadroxil and probenecid,PROBENECID; SULOPENEM ETZADROXIL,HUMAN PRESCRIPTION DRUG,07/01/2025,N/A,NDA,"1 BOTTLE in 1 CARTON (81153-100-01) / 10 TABLET, FILM COATED in 1 BOTTLE",N/A,N/A,No,12/31/2027
Probenecid,0527-1367-01,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA080966,"Lannett Company, Inc.",0527-1367,Probenecid,PROBENECID,HUMAN PRESCRIPTION DRUG,07/29/1976,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (0527-1367-01)",N/A,N/A,No,12/31/2026
Probenecid,0527-1367-10,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA080966,"Lannett Company, Inc.",0527-1367,Probenecid,PROBENECID,HUMAN PRESCRIPTION DRUG,07/29/1976,N/A,ANDA,"1000 TABLET, FILM COATED in 1 BOTTLE (0527-1367-10)",N/A,N/A,No,12/31/2026
Probenecid,0591-5347-10,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA084442,"Actavis Pharma, Inc.",0591-5347,Probenecid,PROBENECID,HUMAN PRESCRIPTION DRUG,07/01/1983,N/A,ANDA,"1000 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0591-5347-10)",N/A,N/A,No,12/31/2026
Probenecid,0591-5347-01,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA084442,"Actavis Pharma, Inc.",0591-5347,Probenecid,PROBENECID,HUMAN PRESCRIPTION DRUG,07/01/1983,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0591-5347-01)",N/A,N/A,No,12/31/2026
Probenecid,10135-541-10,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA080966,Marlex Pharmaceuticals Inc,10135-541,Probenecid,PROBENECID,HUMAN PRESCRIPTION DRUG,07/29/1976,N/A,ANDA,"1000 TABLET, FILM COATED in 1 BOTTLE (10135-541-10)",N/A,N/A,No,12/31/2026
Probenecid,10135-541-01,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA080966,Marlex Pharmaceuticals Inc,10135-541,Probenecid,PROBENECID,HUMAN PRESCRIPTION DRUG,07/29/1976,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (10135-541-01)",N/A,N/A,No,12/31/2026
Probenecid,16571-831-01,500 mg/1,TABLET,ORAL,ANDA217020,"Rising Pharma Holdings, Inc.",16571-831,Probenecid,PROBENECID,HUMAN PRESCRIPTION DRUG,11/20/2023,N/A,ANDA,100 TABLET in 1 CONTAINER (16571-831-01),N/A,N/A,No,12/31/2027
Probenecid,16571-831-10,500 mg/1,TABLET,ORAL,ANDA217020,"Rising Pharma Holdings, Inc.",16571-831,Probenecid,PROBENECID,HUMAN PRESCRIPTION DRUG,11/20/2023,N/A,ANDA,1000 TABLET in 1 CONTAINER (16571-831-10),N/A,N/A,No,12/31/2027
Probenecid,70518-4649-0,500 mg/1,TABLET,ORAL,ANDA217020,REMEDYREPACK INC.,70518-4649,Probenecid,PROBENECID,HUMAN PRESCRIPTION DRUG,04/28/2026,N/A,ANDA,50 POUCH in 1 BOX (70518-4649-0) / 1 TABLET in 1 POUCH (70518-4649-1),N/A,N/A,No,12/31/2027
Probenecid,72162-2237-1,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA080966,Bryant Ranch Prepack,72162-2237,Probenecid,PROBENECID,HUMAN PRESCRIPTION DRUG,01/26/2024,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (72162-2237-1)",N/A,N/A,No,12/31/2026
Probenecid,72162-2386-1,500 mg/1,TABLET,ORAL,ANDA217020,Bryant Ranch Prepack,72162-2386,Probenecid,PROBENECID,HUMAN PRESCRIPTION DRUG,08/15/2024,N/A,ANDA,100 TABLET in 1 CONTAINER (72162-2386-1),N/A,N/A,No,12/31/2026
Probenecid and Colchicine,0591-5325-01,"500 mg/1, .5 mg/1",TABLET,ORAL,ANDA084279,"Actavis Pharma, Inc.",0591-5325,Probenecid and Colchicine,COLCHICINE; PROBENECID,HUMAN PRESCRIPTION DRUG,10/01/1982,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-5325-01)","Alkaloid [EPC], Alkaloids [CS]",N/A,No,12/31/2026
Probenecid and Colchicine,16571-832-01,"500 mg/1, .5 mg/1",TABLET,ORAL,ANDA217030,"Rising Pharma Holdings, Inc.",16571-832,Probenecid and Colchicine,COLCHICINE; PROBENECID,HUMAN PRESCRIPTION DRUG,10/24/2023,N/A,ANDA,100 TABLET in 1 CONTAINER (16571-832-01),"Alkaloid [EPC], Alkaloids [CS]",N/A,No,12/31/2027
Probenecid and Colchicine,50742-263-01,"500 mg/1, .5 mg/1",TABLET,ORAL,ANDA040618,"Ingenus Pharmaceuticals, LLC",50742-263,Probenecid and Colchicine,COLCHICINE; PROBENECID,HUMAN PRESCRIPTION DRUG,05/16/2019,N/A,ANDA,100 TABLET in 1 BOTTLE (50742-263-01),"Alkaloid [EPC], Alkaloids [CS]",N/A,No,12/31/2026
Probenecid and Colchicine,70518-4644-0,"500 mg/1, .5 mg/1",TABLET,ORAL,ANDA217030,REMEDYREPACK INC.,70518-4644,Probenecid and Colchicine,COLCHICINE; PROBENECID,HUMAN PRESCRIPTION DRUG,04/28/2026,N/A,ANDA,50 POUCH in 1 BOX (70518-4644-0) / 1 TABLET in 1 POUCH (70518-4644-1),"Alkaloid [EPC], Alkaloids [CS]",N/A,No,12/31/2027
