Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Skyrizi,0074-1050-01,150 mg/mL,INJECTION,SUBCUTANEOUS,BLA761105,AbbVie Inc.,0074-1050,risankizumab-rzaa,RISANKIZUMAB,HUMAN PRESCRIPTION DRUG,04/26/2021,N/A,BLA,1 SYRINGE in 1 CARTON (0074-1050-01) / 1 mL in 1 SYRINGE,"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
Skyrizi,0074-1050-70,150 mg/mL,INJECTION,SUBCUTANEOUS,BLA761105,AbbVie Inc.,0074-1050,risankizumab-rzaa,RISANKIZUMAB,HUMAN PRESCRIPTION DRUG,04/26/2021,N/A,BLA,1 SYRINGE in 1 CARTON (0074-1050-70) / 1 mL in 1 SYRINGE,"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,Yes,12/31/2027
Skyrizi,0074-1065-01,,KIT,INTRAVENOUS,BLA761105,AbbVie Inc.,0074-1065,Risankizumab-rzaa,,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,BLA,1 KIT in 1 CARTON (0074-1065-01) * 1.2 mL in 1 CARTRIDGE (0074-1066-02) * 1.2 mL in 1 CARTRIDGE (0074-1066-01),N/A,N/A,No,12/31/2027
Skyrizi,0074-1065-02,,KIT,INTRAVENOUS,BLA761105,AbbVie Inc.,0074-1065,Risankizumab-rzaa,,HUMAN PRESCRIPTION DRUG,09/23/2022,N/A,BLA,1 KIT in 1 CARTON (0074-1065-02) * 1.2 mL in 1 CARTRIDGE (0074-1066-02) * 1.2 mL in 1 CARTRIDGE (0074-1066-01),N/A,N/A,Yes,12/31/2027
Skyrizi,0074-1070-01,,KIT,INTRAVENOUS,BLA761105,AbbVie Inc.,0074-1070,Risankizumab-rzaa,,HUMAN PRESCRIPTION DRUG,06/16/2022,N/A,BLA,1 KIT in 1 CARTON (0074-1070-01) * 2.4 mL in 1 CARTRIDGE (0074-1069-02) * 2.4 mL in 1 CARTRIDGE (0074-1069-01),N/A,N/A,No,12/31/2027
Skyrizi,0074-1070-02,,KIT,INTRAVENOUS,BLA761105,AbbVie Inc.,0074-1070,Risankizumab-rzaa,,HUMAN PRESCRIPTION DRUG,06/16/2022,N/A,BLA,1 KIT in 1 CARTON (0074-1070-02) * 2.4 mL in 1 CARTRIDGE (0074-1069-02) * 2.4 mL in 1 CARTRIDGE (0074-1069-01),N/A,N/A,Yes,12/31/2027
Skyrizi,0074-2100-70,150 mg/mL,INJECTION,SUBCUTANEOUS,BLA761105,AbbVie Inc.,0074-2100,risankizumab-rzaa,RISANKIZUMAB,HUMAN PRESCRIPTION DRUG,04/26/2021,N/A,BLA,1 SYRINGE in 1 CARTON (0074-2100-70) / 1 mL in 1 SYRINGE,"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,Yes,12/31/2027
Skyrizi,0074-2100-01,150 mg/mL,INJECTION,SUBCUTANEOUS,BLA761105,AbbVie Inc.,0074-2100,risankizumab-rzaa,RISANKIZUMAB,HUMAN PRESCRIPTION DRUG,04/26/2021,N/A,BLA,1 SYRINGE in 1 CARTON (0074-2100-01) / 1 mL in 1 SYRINGE,"Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
Skyrizi,0074-4059-01,55 mg/.37mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761105,AbbVie Inc.,0074-4059,risankizumab-rzaa,RISANKIZUMAB,HUMAN PRESCRIPTION DRUG,06/12/2026,N/A,BLA,"1 SYRINGE, GLASS in 1 CARTON (0074-4059-01) / .37 mL in 1 SYRINGE, GLASS","Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
Skyrizi,0074-4059-71,55 mg/.37mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761105,AbbVie Inc.,0074-4059,risankizumab-rzaa,RISANKIZUMAB,HUMAN PRESCRIPTION DRUG,06/12/2026,N/A,BLA,"1 SYRINGE, GLASS in 1 CARTON (0074-4059-71) / .37 mL in 1 SYRINGE, GLASS","Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,Yes,12/31/2027
