Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Riabni,55513-224-21,100 mg/10mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761140,"Amgen, Inc",55513-224,rituximab-arrx,RITUXIMAB,HUMAN PRESCRIPTION DRUG,07/21/2025,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (55513-224-21) / 10 mL in 1 VIAL, SINGLE-DOSE","CD20-directed Antibody Interactions [MoA], CD20-directed Cytolytic Antibody [EPC]",N/A,No,12/31/2027
Riabni,55513-224-01,100 mg/10mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761140,"Amgen, Inc",55513-224,rituximab-arrx,RITUXIMAB,HUMAN PRESCRIPTION DRUG,01/06/2021,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (55513-224-01) / 10 mL in 1 VIAL, SINGLE-DOSE","CD20-directed Antibody Interactions [MoA], CD20-directed Cytolytic Antibody [EPC]",N/A,No,12/31/2027
Riabni,55513-326-01,500 mg/50mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761140,"Amgen, Inc",55513-326,rituximab-arrx,RITUXIMAB,HUMAN PRESCRIPTION DRUG,01/06/2021,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (55513-326-01) / 50 mL in 1 VIAL, SINGLE-DOSE","CD20-directed Antibody Interactions [MoA], CD20-directed Cytolytic Antibody [EPC]",N/A,No,12/31/2027
Riabni,55513-326-21,500 mg/50mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761140,"Amgen, Inc",55513-326,rituximab-arrx,RITUXIMAB,HUMAN PRESCRIPTION DRUG,07/21/2025,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (55513-326-21) / 50 mL in 1 VIAL, SINGLE-DOSE","CD20-directed Antibody Interactions [MoA], CD20-directed Cytolytic Antibody [EPC]",N/A,No,12/31/2027
Rituxan,50242-051-21,10 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA103705,"Genentech, Inc.",50242-051,rituximab,RITUXIMAB,HUMAN PRESCRIPTION DRUG,11/26/1997,N/A,BLA,"1 VIAL, SINGLE-USE in 1 CARTON (50242-051-21) / 10 mL in 1 VIAL, SINGLE-USE","CD20-directed Antibody Interactions [MoA], CD20-directed Cytolytic Antibody [EPC]",N/A,No,12/31/2026
Rituxan,50242-053-06,10 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA103705,"Genentech, Inc.",50242-053,rituximab,RITUXIMAB,HUMAN PRESCRIPTION DRUG,11/26/1997,N/A,BLA,"1 VIAL, SINGLE-USE in 1 CARTON (50242-053-06) / 50 mL in 1 VIAL, SINGLE-USE","CD20-directed Antibody Interactions [MoA], CD20-directed Cytolytic Antibody [EPC]",N/A,No,12/31/2026
Rituxan Hycela,50242-108-01,"120 mg/mL, 2000 U/mL","INJECTION, SOLUTION",SUBCUTANEOUS,BLA761064,"Genentech, Inc.",50242-108,rituximab and hyaluronidase,HYALURONIDASE (HUMAN RECOMBINANT); RITUXIMAB,HUMAN PRESCRIPTION DRUG,06/22/2017,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (50242-108-01) / 11.7 mL in 1 VIAL, SINGLE-DOSE","CD20-directed Antibody Interactions [MoA], CD20-directed Cytolytic Antibody [EPC], Endoglycosidase [EPC], Glycoside Hydrolases [CS]",N/A,No,12/31/2026
Rituxan Hycela,50242-108-86,"120 mg/mL, 2000 U/mL","INJECTION, SOLUTION",SUBCUTANEOUS,BLA761064,"Genentech, Inc.",50242-108,rituximab and hyaluronidase,HYALURONIDASE (HUMAN RECOMBINANT); RITUXIMAB,HUMAN PRESCRIPTION DRUG,06/23/2017,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (50242-108-86) / 11.7 mL in 1 VIAL, SINGLE-DOSE","CD20-directed Antibody Interactions [MoA], CD20-directed Cytolytic Antibody [EPC], Endoglycosidase [EPC], Glycoside Hydrolases [CS]",N/A,Yes,12/31/2026
Rituxan Hycela,50242-109-01,"120 mg/mL, 2000 U/mL","INJECTION, SOLUTION",SUBCUTANEOUS,BLA761064,"Genentech, Inc.",50242-109,rituximab and hyaluronidase,HYALURONIDASE (HUMAN RECOMBINANT); RITUXIMAB,HUMAN PRESCRIPTION DRUG,06/22/2017,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (50242-109-01) / 13.4 mL in 1 VIAL, SINGLE-DOSE","CD20-directed Antibody Interactions [MoA], CD20-directed Cytolytic Antibody [EPC], Endoglycosidase [EPC], Glycoside Hydrolases [CS]",N/A,No,12/31/2026
Ruxience,0069-0238-01,100 mg/10mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761103,Pfizer Laboratories Div Pfizer Inc,0069-0238,rituximab-pvvr,RITUXIMAB,HUMAN PRESCRIPTION DRUG,01/23/2020,N/A,BLA,"1 VIAL, SINGLE-USE in 1 CARTON (0069-0238-01) / 10 mL in 1 VIAL, SINGLE-USE","CD20-directed Antibody Interactions [MoA], CD20-directed Cytolytic Antibody [EPC]",N/A,No,12/31/2027
