Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ACTEMRA,50242-135-01,80 mg/4mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,BLA125276,"Genentech, Inc.",50242-135,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,01/08/2010,N/A,BLA,"1 VIAL, SINGLE-USE in 1 BOX (50242-135-01) / 4 mL in 1 VIAL, SINGLE-USE","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2026
ACTEMRA,50242-136-01,200 mg/10mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,BLA125276,"Genentech, Inc.",50242-136,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,01/08/2010,N/A,BLA,"1 VIAL, SINGLE-USE in 1 BOX (50242-136-01) / 10 mL in 1 VIAL, SINGLE-USE","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2026
ACTEMRA,50242-137-01,400 mg/20mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,BLA125276,"Genentech, Inc.",50242-137,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,01/08/2010,N/A,BLA,"1 VIAL, SINGLE-USE in 1 BOX (50242-137-01) / 20 mL in 1 VIAL, SINGLE-USE","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Actemra,50242-138-01,162 mg/.9mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA125472,"Genentech, Inc.",50242-138,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,10/21/2013,N/A,BLA,"1 SYRINGE, GLASS in 1 BOX (50242-138-01) / .9 mL in 1 SYRINGE, GLASS","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Actemra,50242-138-86,162 mg/.9mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA125472,"Genentech, Inc.",50242-138,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,10/21/2013,N/A,BLA,"1 SYRINGE, GLASS in 1 BOX (50242-138-86) / .9 mL in 1 SYRINGE, GLASS","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,Yes,12/31/2026
Actemra ACTPen,50242-143-01,162 mg/.9mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA125472,"Genentech, Inc.",50242-143,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,11/19/2018,N/A,BLA,"1 SYRINGE, GLASS in 1 BOX (50242-143-01) / .9 mL in 1 SYRINGE, GLASS","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2026
Actemra ACTPen,50242-143-86,162 mg/.9mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA125472,"Genentech, Inc.",50242-143,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,11/19/2018,N/A,BLA,"1 SYRINGE, GLASS in 1 BOX (50242-143-86) / .9 mL in 1 SYRINGE, GLASS","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,Yes,12/31/2026
AVTOZMA,72606-042-02,80 mg/4mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761420,"CELLTRION USA, Inc.",72606-042,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,10/02/2025,N/A,BLA,"4 VIAL, SINGLE-DOSE in 1 CARTON (72606-042-02) / 4 mL in 1 VIAL, SINGLE-DOSE","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2027
AVTOZMA,72606-042-01,80 mg/4mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761420,"CELLTRION USA, Inc.",72606-042,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,10/02/2025,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (72606-042-01) / 4 mL in 1 VIAL, SINGLE-DOSE","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2027
AVTOZMA,72606-043-01,200 mg/10mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761420,"CELLTRION USA, Inc.",72606-043,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,10/02/2025,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (72606-043-01) / 10 mL in 1 VIAL, SINGLE-DOSE","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2027
AVTOZMA,72606-043-02,200 mg/10mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761420,"CELLTRION USA, Inc.",72606-043,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,10/02/2025,N/A,BLA,"4 VIAL, SINGLE-DOSE in 1 CARTON (72606-043-02) / 10 mL in 1 VIAL, SINGLE-DOSE","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2027
AVTOZMA,72606-044-01,400 mg/20mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761420,"CELLTRION USA, Inc.",72606-044,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,10/02/2025,N/A,BLA,"1 VIAL, SINGLE-DOSE in 1 CARTON (72606-044-01) / 20 mL in 1 VIAL, SINGLE-DOSE","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2027
AVTOZMA,72606-044-02,400 mg/20mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761420,"CELLTRION USA, Inc.",72606-044,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,10/02/2025,N/A,BLA,"4 VIAL, SINGLE-DOSE in 1 CARTON (72606-044-02) / 20 mL in 1 VIAL, SINGLE-DOSE","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2027
AVTOZMA,72606-045-01,162 mg/.9mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761498,"CELLTRION USA, Inc.",72606-045,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,02/01/2026,N/A,BLA,"1 SYRINGE, GLASS in 1 CARTON (72606-045-01) / .9 mL in 1 SYRINGE, GLASS","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2027
AVTOZMA,72606-045-02,162 mg/.9mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761498,"CELLTRION USA, Inc.",72606-045,tocilizumab,TOCILIZUMAB,HUMAN PRESCRIPTION DRUG,02/01/2026,N/A,BLA,"4 SYRINGE, GLASS in 1 CARTON (72606-045-02) / .9 mL in 1 SYRINGE, GLASS","Interleukin 6 Receptor Antagonists [MoA], Interleukin-6 Receptor Antagonist [EPC]",N/A,No,12/31/2027
