Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
XELJANZ,0069-0501-30,11 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA208246,Pfizer Laboratories Div Pfizer Inc,0069-0501,tofacitinib,TOFACITINIB CITRATE,HUMAN PRESCRIPTION DRUG,03/07/2016,N/A,NDA,"30 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (0069-0501-30)","Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",N/A,No,12/31/2027
XELJANZ,0069-0502-30,22 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,NDA208246,Pfizer Laboratories Div Pfizer Inc,0069-0502,tofacitinib,TOFACITINIB CITRATE,HUMAN PRESCRIPTION DRUG,01/21/2020,N/A,NDA,"30 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (0069-0502-30)","Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",N/A,No,12/31/2027
XELJANZ,0069-1001-01,5 mg/1,"TABLET, FILM COATED",ORAL,NDA203214,Pfizer Laboratories Div Pfizer Inc,0069-1001,tofacitinib,TOFACITINIB CITRATE,HUMAN PRESCRIPTION DRUG,11/09/2012,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0069-1001-01)","Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",N/A,No,12/31/2027
XELJANZ,0069-1002-01,10 mg/1,"TABLET, FILM COATED",ORAL,NDA203214,Pfizer Laboratories Div Pfizer Inc,0069-1002,tofacitinib,TOFACITINIB CITRATE,HUMAN PRESCRIPTION DRUG,07/02/2018,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (0069-1002-01)","Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",N/A,No,12/31/2027
XELJANZ,0069-1029-02,1 mg/mL,SOLUTION,ORAL,NDA213082,Pfizer Laboratories Div Pfizer Inc,0069-1029,tofacitinib,TOFACITINIB CITRATE,HUMAN PRESCRIPTION DRUG,02/08/2021,N/A,NDA,1 BOTTLE in 1 CARTON (0069-1029-02) / 240 mL in 1 BOTTLE (0069-1029-01),"Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",N/A,No,12/31/2027
XELJANZ,63539-012-02,5 mg/1,"TABLET, FILM COATED",ORAL,NDA203214,U.S. Pharmaceuticals,63539-012,tofacitinib,TOFACITINIB CITRATE,HUMAN PRESCRIPTION DRUG,11/08/2012,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (63539-012-02)","Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",N/A,No,12/31/2027
XELJANZ,63539-016-02,10 mg/1,"TABLET, FILM COATED",ORAL,NDA203214,U.S. Pharmaceuticals,63539-016,tofacitinib,TOFACITINIB CITRATE,HUMAN PRESCRIPTION DRUG,07/02/2018,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (63539-016-02)","Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",N/A,No,12/31/2027
XELJANZ,63539-029-02,1 mg/mL,SOLUTION,ORAL,NDA213082,U.S. Pharmaceuticals,63539-029,tofacitinib,TOFACITINIB CITRATE,HUMAN PRESCRIPTION DRUG,02/08/2021,N/A,NDA,1 BOTTLE in 1 CARTON (63539-029-02) / 240 mL in 1 BOTTLE (63539-029-01),"Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",N/A,No,12/31/2027
XELJANZ,63539-501-30,11 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA208246,U.S. Pharmaceuticals,63539-501,tofacitinib,TOFACITINIB CITRATE,HUMAN PRESCRIPTION DRUG,03/07/2016,N/A,NDA,"30 TABLET, EXTENDED RELEASE in 1 BOTTLE (63539-501-30)","Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",N/A,No,12/31/2027
XELJANZ,63539-502-30,22 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA208246,U.S. Pharmaceuticals,63539-502,tofacitinib,TOFACITINIB CITRATE,HUMAN PRESCRIPTION DRUG,01/21/2020,N/A,NDA,"30 TABLET, EXTENDED RELEASE in 1 BOTTLE (63539-502-30)","Janus Kinase Inhibitor [EPC], Janus Kinase Inhibitors [MoA]",N/A,No,12/31/2027
