Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
PYZCHIVA,61314-651-01,45 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761373,SANDOZ INC,61314-651,ustekinumab-ttwe,USTEKINUMAB,HUMAN PRESCRIPTION DRUG,02/22/2025,N/A,BLA,1 SYRINGE in 1 CARTON (61314-651-01) / .5 mL in 1 SYRINGE,"Interleukin-12 Antagonist [EPC], Interleukin-12 Antagonists [MoA], Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
PYZCHIVA,61314-651-94,45 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761373,SANDOZ INC,61314-651,ustekinumab-ttwe,USTEKINUMAB,HUMAN PRESCRIPTION DRUG,06/23/2025,N/A,BLA,1 VIAL in 1 CARTON (61314-651-94) / .5 mL in 1 VIAL,"Interleukin-12 Antagonist [EPC], Interleukin-12 Antagonists [MoA], Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
PYZCHIVA,61314-652-01,90 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761373,SANDOZ INC,61314-652,ustekinumab-ttwe,USTEKINUMAB,HUMAN PRESCRIPTION DRUG,02/22/2025,N/A,BLA,1 SYRINGE in 1 CARTON (61314-652-01) / 1 mL in 1 SYRINGE,"Interleukin-12 Antagonist [EPC], Interleukin-12 Antagonists [MoA], Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
PYZCHIVA,61314-654-94,130 mg/26mL,"INJECTION, SOLUTION",INTRAVENOUS,BLA761425,SANDOZ INC,61314-654,ustekinumab-ttwe,USTEKINUMAB,HUMAN PRESCRIPTION DRUG,02/22/2025,N/A,BLA,"1 VIAL, SINGLE-USE in 1 CARTON (61314-654-94) / 26 mL in 1 VIAL, SINGLE-USE","Interleukin-12 Antagonist [EPC], Interleukin-12 Antagonists [MoA], Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
PYZCHIVA,83457-651-96,45 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761373,Cordavis Limited,83457-651,ustekinumab-ttwe,USTEKINUMAB,HUMAN PRESCRIPTION DRUG,08/14/2025,N/A,BLA,1 SYRINGE in 1 CARTON (83457-651-96) / .5 mL in 1 SYRINGE,"Interleukin-12 Antagonist [EPC], Interleukin-12 Antagonists [MoA], Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
PYZCHIVA,83457-651-01,45 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761373,Cordavis Limited,83457-651,ustekinumab-ttwe,USTEKINUMAB,HUMAN PRESCRIPTION DRUG,05/01/2025,N/A,BLA,1 SYRINGE in 1 CARTON (83457-651-01) / .5 mL in 1 SYRINGE,"Interleukin-12 Antagonist [EPC], Interleukin-12 Antagonists [MoA], Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
PYZCHIVA,83457-652-96,90 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761373,Cordavis Limited,83457-652,ustekinumab-ttwe,USTEKINUMAB,HUMAN PRESCRIPTION DRUG,08/14/2025,N/A,BLA,1 SYRINGE in 1 CARTON (83457-652-96) / 1 mL in 1 SYRINGE,"Interleukin-12 Antagonist [EPC], Interleukin-12 Antagonists [MoA], Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
PYZCHIVA,83457-652-01,90 mg/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761373,Cordavis Limited,83457-652,ustekinumab-ttwe,USTEKINUMAB,HUMAN PRESCRIPTION DRUG,05/01/2025,N/A,BLA,1 SYRINGE in 1 CARTON (83457-652-01) / 1 mL in 1 SYRINGE,"Interleukin-12 Antagonist [EPC], Interleukin-12 Antagonists [MoA], Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
USTEKINUMAB-TTWE,82009-160-11,45 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761373,Quallent Pharmaceuticals Health LLC,82009-160,ustekinumab-ttwe,USTEKINUMAB,HUMAN PRESCRIPTION DRUG,04/15/2025,N/A,BLA,1 SYRINGE in 1 CARTON (82009-160-11) / .5 mL in 1 SYRINGE,"Interleukin-12 Antagonist [EPC], Interleukin-12 Antagonists [MoA], Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
USTEKINUMAB-TTWE,82009-161-94,45 mg/.5mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761373,Quallent Pharmaceuticals Health LLC,82009-161,ustekinumab-ttwe,USTEKINUMAB,HUMAN PRESCRIPTION DRUG,02/15/2026,N/A,BLA,.5 mL in 1 VIAL (82009-161-94),"Interleukin-12 Antagonist [EPC], Interleukin-12 Antagonists [MoA], Interleukin-23 Antagonist [EPC], Interleukin-23 Antagonists [MoA]",N/A,No,12/31/2027
