Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Baclofen,0172-4096-60,10 mg/1,TABLET,ORAL,ANDA072234,"Teva Pharmaceuticals USA, Inc.",0172-4096,Baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,07/21/1988,N/A,ANDA,100 TABLET in 1 BOTTLE (0172-4096-60),"GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2026
Baclofen,0172-4096-80,10 mg/1,TABLET,ORAL,ANDA072234,"Teva Pharmaceuticals USA, Inc.",0172-4096,Baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,07/21/1988,N/A,ANDA,1000 TABLET in 1 BOTTLE (0172-4096-80),"GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2026
Baclofen,0172-4097-80,20 mg/1,TABLET,ORAL,ANDA072235,"Teva Pharmaceuticals USA, Inc.",0172-4097,Baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,08/01/1988,N/A,ANDA,1000 TABLET in 1 BOTTLE (0172-4097-80),"GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2026
Baclofen,0172-4097-60,20 mg/1,TABLET,ORAL,ANDA072235,"Teva Pharmaceuticals USA, Inc.",0172-4097,Baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,07/21/1988,N/A,ANDA,100 TABLET in 1 BOTTLE (0172-4097-60),"GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2026
Baclofen,0527-1330-10,10 mg/1,TABLET,ORAL,ANDA078220,"Lannett Company, Inc.",0527-1330,baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,07/01/2007,N/A,ANDA,"1000 TABLET in 1 BOTTLE, PLASTIC (0527-1330-10)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2026
Baclofen,0527-1330-05,10 mg/1,TABLET,ORAL,ANDA078220,"Lannett Company, Inc.",0527-1330,baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,07/01/2007,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0527-1330-05)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2026
Baclofen,0527-1330-01,10 mg/1,TABLET,ORAL,ANDA078220,"Lannett Company, Inc.",0527-1330,baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,07/01/2007,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0527-1330-01)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2026
Baclofen,0527-1333-01,5 mg/1,TABLET,ORAL,ANDA077241,"Lannett Company, Inc.",0527-1333,baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,09/22/2021,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0527-1333-01)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2026
Baclofen,0527-1337-10,20 mg/1,TABLET,ORAL,ANDA077241,"Lannett Company, Inc.",0527-1337,baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,12/20/2005,N/A,ANDA,"1000 TABLET in 1 BOTTLE, PLASTIC (0527-1337-10)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2026
Baclofen,0527-1337-05,20 mg/1,TABLET,ORAL,ANDA077241,"Lannett Company, Inc.",0527-1337,baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,12/20/2005,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0527-1337-05)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2026
Baclofen,0527-1337-01,20 mg/1,TABLET,ORAL,ANDA077241,"Lannett Company, Inc.",0527-1337,baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,12/20/2005,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0527-1337-01)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2026
Baclofen,0603-2406-21,10 mg/1,TABLET,ORAL,ANDA077068,"Par Health USA, LLC",0603-2406,Baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,08/30/2005,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0603-2406-21)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2027
Baclofen,0603-2406-32,10 mg/1,TABLET,ORAL,ANDA077068,"Par Health USA, LLC",0603-2406,Baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,08/30/2005,01/31/2027,ANDA,"1000 TABLET in 1 BOTTLE, PLASTIC (0603-2406-32)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2027
Baclofen,0603-2406-28,10 mg/1,TABLET,ORAL,ANDA077068,"Par Health USA, LLC",0603-2406,Baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,08/30/2005,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0603-2406-28)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2027
Baclofen,0603-2407-28,20 mg/1,TABLET,ORAL,ANDA077068,"Par Health USA, LLC",0603-2407,Baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,08/30/2005,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0603-2407-28)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2027
Baclofen,0603-2407-21,20 mg/1,TABLET,ORAL,ANDA077068,"Par Health USA, LLC",0603-2407,Baclofen,BACLOFEN,HUMAN PRESCRIPTION DRUG,08/30/2005,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0603-2407-21)","GABA A Agonists [MoA], GABA B Agonists [MoA], gamma-Aminobutyric Acid-ergic Agonist [EPC]",N/A,No,12/31/2027
