Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
"doxorubicin hydrochloride, Liposomal",0338-9581-02,2 mg/mL,"INJECTION, SUSPENSION, LIPOSOMAL",INTRAVENOUS,,Baxter Healthcare Corporation,0338-9581,doxorubicin hydrochloride,DOXORUBICIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,12/19/2023,N/A,UNAPPROVED DRUG FOR USE IN DRUG SHORTAGE,"1 VIAL, SINGLE-USE in 1 CARTON (0338-9581-02) / 10 mL in 1 VIAL, SINGLE-USE (0338-9581-01)","Anthracycline Topoisomerase Inhibitor [EPC], Anthracyclines [CS], Topoisomerase Inhibitors [MoA]",N/A,No,12/31/2026
Liposomal Hemorrhoid Master,63742-038-01,"5 g/100g, .25 g/100g",CREAM,TOPICAL,M015,"Clinical Resolution Laboratory, Inc.",63742-038,"Lidocaine , Phenylephrine Hcl",LIDOCAINE; PHENYLEPHRINE HYDROCHLORIDE,HUMAN OTC DRUG,08/28/2024,N/A,OTC MONOGRAPH DRUG,1 TUBE in 1 CARTON (63742-038-01) / 45 g in 1 TUBE,"Adrenergic alpha1-Agonists [MoA], Amide Local Anesthetic [EPC], Amides [CS], Antiarrhythmic [EPC], Local Anesthesia [PE], alpha-1 Adrenergic Agonist [EPC]",N/A,No,12/31/2027
Soma,0037-2001-01,350 mg/1,TABLET,ORAL,NDA011792,Viatris Specialty LLC,0037-2001,Carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,11/01/1995,N/A,NDA,"100 TABLET in 1 BOTTLE, PLASTIC (0037-2001-01)","Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
Soma,0037-2250-10,250 mg/1,TABLET,ORAL,NDA011792,Viatris Specialty LLC,0037-2250,Carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,09/08/2007,N/A,NDA,"100 TABLET in 1 BOTTLE, PLASTIC (0037-2250-10)","Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
Soma,0037-2250-30,250 mg/1,TABLET,ORAL,NDA011792,Viatris Specialty LLC,0037-2250,Carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,09/08/2007,N/A,NDA,"30 TABLET in 1 BOTTLE, PLASTIC (0037-2250-30)","Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
Somaderm,61877-0007-1,"6 [hp_X]/g, 8 [hp_X]/g, 30 [hp_X]/g",GEL,TOPICAL,,Natural Life Foods Corporation dba XYGENYX,61877-0007,"Glandula Suprarenalis Suis, Thyroidinum (Bovine), HGH","SOMATROPIN; SUS SCROFA ADRENAL GLAND; THYROID, BOVINE",HUMAN OTC DRUG,09/18/2019,N/A,UNAPPROVED HOMEOPATHIC,"96 g in 1 BOTTLE, PUMP (61877-0007-1)","Human Growth Hormone [CS], Recombinant Human Growth Hormone [EPC]",N/A,No,12/31/2027
SOMATULINE DEPOT,15054-1060-4,60 mg/.2mL,INJECTION,SUBCUTANEOUS,NDA022074,"Ipsen Biopharmaceuticals, Inc.",15054-1060,lanreotide acetate,LANREOTIDE ACETATE,HUMAN PRESCRIPTION DRUG,09/01/2019,N/A,NDA,1 POUCH in 1 CARTON (15054-1060-4) / 1 SYRINGE in 1 POUCH / .2 mL in 1 SYRINGE,"Somatostatin Analog [EPC], Somatostatin Receptor Agonists [MoA]",N/A,No,12/31/2026
SOMATULINE DEPOT,15054-1090-4,90 mg/.3mL,INJECTION,SUBCUTANEOUS,NDA022074,"Ipsen Biopharmaceuticals, Inc.",15054-1090,lanreotide acetate,LANREOTIDE ACETATE,HUMAN PRESCRIPTION DRUG,09/01/2019,N/A,NDA,1 POUCH in 1 CARTON (15054-1090-4) / 1 SYRINGE in 1 POUCH / .3 mL in 1 SYRINGE,"Somatostatin Analog [EPC], Somatostatin Receptor Agonists [MoA]",N/A,No,12/31/2026
SOMATULINE DEPOT,15054-1120-4,120 mg/.5mL,INJECTION,SUBCUTANEOUS,NDA022074,"Ipsen Biopharmaceuticals, Inc.",15054-1120,lanreotide acetate,LANREOTIDE ACETATE,HUMAN PRESCRIPTION DRUG,09/01/2019,N/A,NDA,1 POUCH in 1 CARTON (15054-1120-4) / 1 SYRINGE in 1 POUCH / .5 mL in 1 SYRINGE,"Somatostatin Analog [EPC], Somatostatin Receptor Agonists [MoA]",N/A,No,12/31/2026
SOMAVERT,0009-7166-01,,KIT,,BLA021106,Pharmacia & Upjohn Company LLC,0009-7166,pegvisomant,,HUMAN PRESCRIPTION DRUG,10/01/2016,N/A,BLA,"1 KIT in 1 CARTON (0009-7166-01) * 1 mL in 1 VIAL, SINGLE-DOSE (0009-5175-02) * 1 mL in 1 SYRINGE (0009-5936-01)",N/A,N/A,No,12/31/2026
