Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
carisoprodol,16571-780-01,250 mg/1,TABLET,ORAL,ANDA040792,"Rising Pharma Holdings, Inc.",16571-780,carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,11/08/2016,N/A,ANDA,100 TABLET in 1 BOTTLE (16571-780-01),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
carisoprodol,16571-781-01,350 mg/1,TABLET,ORAL,ANDA040792,"Rising Pharma Holdings, Inc.",16571-781,carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,08/06/2009,N/A,ANDA,100 TABLET in 1 BOTTLE (16571-781-01),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
carisoprodol,16571-781-10,350 mg/1,TABLET,ORAL,ANDA040792,"Rising Pharma Holdings, Inc.",16571-781,carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,08/06/2009,N/A,ANDA,1000 TABLET in 1 BOTTLE (16571-781-10),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
carisoprodol,16571-781-50,350 mg/1,TABLET,ORAL,ANDA040792,"Rising Pharma Holdings, Inc.",16571-781,carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,08/06/2009,N/A,ANDA,500 TABLET in 1 BOTTLE (16571-781-50),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
CARISOPRODOL,42543-700-10,350 mg/1,TABLET,ORAL,ANDA203374,"Vensun Pharmaceuticals, Inc.",42543-700,CARISOPRODOL,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,07/31/2014,N/A,ANDA,1000 TABLET in 1 BOTTLE (42543-700-10),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
CARISOPRODOL,42543-700-05,350 mg/1,TABLET,ORAL,ANDA203374,"Vensun Pharmaceuticals, Inc.",42543-700,CARISOPRODOL,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,07/31/2014,N/A,ANDA,500 TABLET in 1 BOTTLE (42543-700-05),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
CARISOPRODOL,42543-700-01,350 mg/1,TABLET,ORAL,ANDA203374,"Vensun Pharmaceuticals, Inc.",42543-700,CARISOPRODOL,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,07/31/2014,N/A,ANDA,100 TABLET in 1 BOTTLE (42543-700-01),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
Carisoprodol,45865-233-60,350 mg/1,TABLET,ORAL,ANDA040188,Medsource Pharmaceuticals,45865-233,Carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,01/03/2023,N/A,ANDA,60 TABLET in 1 BOTTLE (45865-233-60),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
Carisoprodol,45865-233-30,350 mg/1,TABLET,ORAL,ANDA040188,Medsource Pharmaceuticals,45865-233,Carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,12/06/2022,N/A,ANDA,30 TABLET in 1 BOTTLE (45865-233-30),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2026
Carisoprodol,50090-5953-5,350 mg/1,TABLET,ORAL,ANDA040188,A-S Medication Solutions,50090-5953,Carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,04/06/2022,N/A,ANDA,90 TABLET in 1 BOTTLE (50090-5953-5),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2027
Carisoprodol,50090-5955-9,350 mg/1,TABLET,ORAL,ANDA040188,A-S Medication Solutions,50090-5955,Carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,04/06/2022,N/A,ANDA,120 TABLET in 1 BOTTLE (50090-5955-9),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2027
Carisoprodol,50090-5955-3,350 mg/1,TABLET,ORAL,ANDA040188,A-S Medication Solutions,50090-5955,Carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,04/06/2022,N/A,ANDA,20 TABLET in 1 BOTTLE (50090-5955-3),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2027
Carisoprodol,50090-5955-0,350 mg/1,TABLET,ORAL,ANDA040188,A-S Medication Solutions,50090-5955,Carisoprodol,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,04/06/2022,N/A,ANDA,30 TABLET in 1 BOTTLE (50090-5955-0),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2027
CARISOPRODOL,50228-109-30,350 mg/1,TABLET,ORAL,ANDA203374,"ScieGen Pharmaceuticals, Inc.",50228-109,CARISOPRODOL,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,01/27/2014,N/A,ANDA,30 TABLET in 1 BOTTLE (50228-109-30),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2027
CARISOPRODOL,50228-109-10,350 mg/1,TABLET,ORAL,ANDA203374,"ScieGen Pharmaceuticals, Inc.",50228-109,CARISOPRODOL,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,01/27/2014,N/A,ANDA,1000 TABLET in 1 BOTTLE (50228-109-10),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2027
CARISOPRODOL,50228-109-05,350 mg/1,TABLET,ORAL,ANDA203374,"ScieGen Pharmaceuticals, Inc.",50228-109,CARISOPRODOL,CARISOPRODOL,HUMAN PRESCRIPTION DRUG,01/27/2014,N/A,ANDA,500 TABLET in 1 BOTTLE (50228-109-05),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",CIV,No,12/31/2027
