Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Dantrium,42023-123-06,20 mg/60mL,INJECTION,INTRAVENOUS,NDA018264,"Par Health USA, LLC",42023-123,dantrolene sodium,DANTROLENE SODIUM,HUMAN PRESCRIPTION DRUG,04/20/2009,N/A,NDA,6 VIAL in 1 CARTON (42023-123-06) / 60 mL in 1 VIAL,"Decreased Striated Muscle Contraction [PE], Decreased Striated Muscle Tone [PE], Skeletal Muscle Relaxant [EPC]",N/A,No,12/31/2027
Dantrium,42023-124-01,25 mg/1,CAPSULE,ORAL,NDA017443,"Endo USA, Inc.",42023-124,dantrolene sodium,DANTROLENE SODIUM,HUMAN PRESCRIPTION DRUG,08/01/2008,N/A,NDA,100 CAPSULE in 1 BOTTLE (42023-124-01),"Decreased Striated Muscle Contraction [PE], Decreased Striated Muscle Tone [PE], Skeletal Muscle Relaxant [EPC]",N/A,No,12/31/2026
Dantrolene Sodium,0115-4411-01,25 mg/1,CAPSULE,ORAL,ANDA076856,Amneal Pharmaceuticals of New York LLC,0115-4411,Dantrolene Sodium,DANTROLENE SODIUM,HUMAN PRESCRIPTION DRUG,03/01/2005,N/A,ANDA,100 CAPSULE in 1 BOTTLE (0115-4411-01),"Decreased Striated Muscle Contraction [PE], Decreased Striated Muscle Tone [PE], Skeletal Muscle Relaxant [EPC]",N/A,No,12/31/2027
Dantrolene Sodium,0115-4411-03,25 mg/1,CAPSULE,ORAL,ANDA076856,Amneal Pharmaceuticals of New York LLC,0115-4411,Dantrolene Sodium,DANTROLENE SODIUM,HUMAN PRESCRIPTION DRUG,03/01/2005,N/A,ANDA,1000 CAPSULE in 1 BOTTLE (0115-4411-03),"Decreased Striated Muscle Contraction [PE], Decreased Striated Muscle Tone [PE], Skeletal Muscle Relaxant [EPC]",N/A,No,12/31/2027
Dantrolene Sodium,0115-4411-02,25 mg/1,CAPSULE,ORAL,ANDA076856,Amneal Pharmaceuticals of New York LLC,0115-4411,Dantrolene Sodium,DANTROLENE SODIUM,HUMAN PRESCRIPTION DRUG,03/01/2005,N/A,ANDA,500 CAPSULE in 1 BOTTLE (0115-4411-02),"Decreased Striated Muscle Contraction [PE], Decreased Striated Muscle Tone [PE], Skeletal Muscle Relaxant [EPC]",N/A,No,12/31/2027
Dantrolene Sodium,0115-4422-01,50 mg/1,CAPSULE,ORAL,ANDA076856,Amneal Pharmaceuticals of New York LLC,0115-4422,Dantrolene Sodium,DANTROLENE SODIUM,HUMAN PRESCRIPTION DRUG,03/01/2005,N/A,ANDA,100 CAPSULE in 1 BOTTLE (0115-4422-01),"Decreased Striated Muscle Contraction [PE], Decreased Striated Muscle Tone [PE], Skeletal Muscle Relaxant [EPC]",N/A,No,12/31/2027
Dantrolene Sodium,0115-4422-03,50 mg/1,CAPSULE,ORAL,ANDA076856,Amneal Pharmaceuticals of New York LLC,0115-4422,Dantrolene Sodium,DANTROLENE SODIUM,HUMAN PRESCRIPTION DRUG,03/01/2005,N/A,ANDA,1000 CAPSULE in 1 BOTTLE (0115-4422-03),"Decreased Striated Muscle Contraction [PE], Decreased Striated Muscle Tone [PE], Skeletal Muscle Relaxant [EPC]",N/A,No,12/31/2027
Dantrolene Sodium,0115-4422-02,50 mg/1,CAPSULE,ORAL,ANDA076856,Amneal Pharmaceuticals of New York LLC,0115-4422,Dantrolene Sodium,DANTROLENE SODIUM,HUMAN PRESCRIPTION DRUG,03/01/2005,N/A,ANDA,500 CAPSULE in 1 BOTTLE (0115-4422-02),"Decreased Striated Muscle Contraction [PE], Decreased Striated Muscle Tone [PE], Skeletal Muscle Relaxant [EPC]",N/A,No,12/31/2027
Dantrolene Sodium,0115-4433-01,100 mg/1,CAPSULE,ORAL,ANDA076856,Amneal Pharmaceuticals of New York LLC,0115-4433,Dantrolene Sodium,DANTROLENE SODIUM,HUMAN PRESCRIPTION DRUG,03/01/2005,N/A,ANDA,100 CAPSULE in 1 BOTTLE (0115-4433-01),"Decreased Striated Muscle Contraction [PE], Decreased Striated Muscle Tone [PE], Skeletal Muscle Relaxant [EPC]",N/A,No,12/31/2027
Dantrolene Sodium,0115-4433-02,100 mg/1,CAPSULE,ORAL,ANDA076856,Amneal Pharmaceuticals of New York LLC,0115-4433,Dantrolene Sodium,DANTROLENE SODIUM,HUMAN PRESCRIPTION DRUG,03/01/2005,N/A,ANDA,500 CAPSULE in 1 BOTTLE (0115-4433-02),"Decreased Striated Muscle Contraction [PE], Decreased Striated Muscle Tone [PE], Skeletal Muscle Relaxant [EPC]",N/A,No,12/31/2027
