Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
MEPROBAMATE,46708-019-30,200 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Limited,46708-019,MEPROBAMATE,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,07/23/2013,N/A,ANDA,30 TABLET in 1 BOTTLE (46708-019-30),N/A,CIV,No,12/31/2026
MEPROBAMATE,46708-019-91,200 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Limited,46708-019,MEPROBAMATE,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,07/23/2013,N/A,ANDA,1000 TABLET in 1 BOTTLE (46708-019-91),N/A,CIV,No,12/31/2026
MEPROBAMATE,46708-019-71,200 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Limited,46708-019,MEPROBAMATE,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,07/23/2013,N/A,ANDA,100 TABLET in 1 BOTTLE (46708-019-71),N/A,CIV,No,12/31/2026
MEPROBAMATE,46708-020-30,400 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Limited,46708-020,MEPROBAMATE,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,07/23/2013,N/A,ANDA,30 TABLET in 1 BOTTLE (46708-020-30),N/A,CIV,No,12/31/2026
MEPROBAMATE,46708-020-71,400 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Limited,46708-020,MEPROBAMATE,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,07/23/2013,N/A,ANDA,100 TABLET in 1 BOTTLE (46708-020-71),N/A,CIV,No,12/31/2026
MEPROBAMATE,46708-020-91,400 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Limited,46708-020,MEPROBAMATE,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,07/23/2013,N/A,ANDA,1000 TABLET in 1 BOTTLE (46708-020-91),N/A,CIV,No,12/31/2026
Meprobamate,62332-019-31,200 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Inc.,62332-019,Meprobamate,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,03/31/2016,N/A,ANDA,100 TABLET in 1 BOTTLE (62332-019-31),N/A,CIV,No,12/31/2026
Meprobamate,62332-019-30,200 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Inc.,62332-019,Meprobamate,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,03/31/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (62332-019-30),N/A,CIV,No,12/31/2026
Meprobamate,62332-019-91,200 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Inc.,62332-019,Meprobamate,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,03/31/2016,N/A,ANDA,1000 TABLET in 1 BOTTLE (62332-019-91),N/A,CIV,No,12/31/2026
Meprobamate,62332-020-30,400 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Inc.,62332-020,Meprobamate,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,03/31/2016,N/A,ANDA,30 TABLET in 1 BOTTLE (62332-020-30),N/A,CIV,No,12/31/2026
Meprobamate,62332-020-31,400 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Inc.,62332-020,Meprobamate,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,03/31/2016,N/A,ANDA,100 TABLET in 1 BOTTLE (62332-020-31),N/A,CIV,No,12/31/2026
Meprobamate,62332-020-91,400 mg/1,TABLET,ORAL,ANDA090122,Alembic Pharmaceuticals Inc.,62332-020,Meprobamate,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,03/31/2016,N/A,ANDA,1000 TABLET in 1 BOTTLE (62332-020-91),N/A,CIV,No,12/31/2026
Meprobamate,69097-974-07,200 mg/1,TABLET,ORAL,ANDA040797,Cipla USA Inc.,69097-974,Meprobamate,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,06/07/2021,N/A,ANDA,100 TABLET in 1 BOTTLE (69097-974-07),N/A,CIV,No,12/31/2027
Meprobamate,69097-975-07,400 mg/1,TABLET,ORAL,ANDA040797,Cipla USA Inc.,69097-975,Meprobamate,MEPROBAMATE,HUMAN PRESCRIPTION DRUG,06/07/2021,N/A,ANDA,100 TABLET in 1 BOTTLE (69097-975-07),N/A,CIV,No,12/31/2027
