Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Metaxalone,0115-1745-01,400 mg/1,TABLET,ORAL,ANDA040486,Amneal Pharmaceuticals of New York LLC,0115-1745,Metaxalone,METAXALONE,HUMAN PRESCRIPTION DRUG,05/26/2016,N/A,ANDA,100 TABLET in 1 BOTTLE (0115-1745-01),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",N/A,No,12/31/2026
Metaxalone,0276-0508-10,400 mg/1,TABLET,ORAL,ANDA207466,"Misemer Pharmaceuticals, Inc.",0276-0508,Metaxalone,METAXALONE,HUMAN PRESCRIPTION DRUG,11/01/2021,N/A,ANDA,100 TABLET in 1 BOTTLE (0276-0508-10),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",N/A,No,12/31/2026
Metaxalone,0527-1435-01,800 mg/1,TABLET,ORAL,ANDA204770,"Lannett Company, Inc.",0527-1435,Metaxalone,METAXALONE,HUMAN PRESCRIPTION DRUG,11/22/2016,N/A,ANDA,100 TABLET in 1 BOTTLE (0527-1435-01),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",N/A,No,12/31/2026
Metaxalone,0527-1435-05,800 mg/1,TABLET,ORAL,ANDA204770,"Lannett Company, Inc.",0527-1435,Metaxalone,METAXALONE,HUMAN PRESCRIPTION DRUG,11/22/2016,N/A,ANDA,500 TABLET in 1 BOTTLE (0527-1435-05),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",N/A,No,12/31/2026
Metaxalone,0591-2341-01,800 mg/1,TABLET,ORAL,ANDA203695,"Actavis Pharma, Inc.",0591-2341,Metaxalone,METAXALONE,HUMAN PRESCRIPTION DRUG,06/19/2017,N/A,ANDA,100 TABLET in 1 BOTTLE (0591-2341-01),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",N/A,No,12/31/2026
Metaxalone,0904-6831-06,800 mg/1,TABLET,ORAL,ANDA207466,Major Pharmaceuticals,0904-6831,Metaxalone,METAXALONE,HUMAN PRESCRIPTION DRUG,08/31/2017,N/A,ANDA,50 BLISTER PACK in 1 CARTON (0904-6831-06) / 1 TABLET in 1 BLISTER PACK,"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",N/A,No,12/31/2026
Metaxalone,0904-6831-04,800 mg/1,TABLET,ORAL,ANDA207466,Major Pharmaceuticals,0904-6831,Metaxalone,METAXALONE,HUMAN PRESCRIPTION DRUG,08/31/2017,N/A,ANDA,30 BLISTER PACK in 1 CARTON (0904-6831-04) / 1 TABLET in 1 BLISTER PACK,"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",N/A,No,12/31/2026
Metaxalone,42291-985-50,800 mg/1,TABLET,ORAL,ANDA203399,AvKARE,42291-985,Metaxalone,METAXALONE,HUMAN PRESCRIPTION DRUG,03/04/2026,N/A,ANDA,500 TABLET in 1 BOTTLE (42291-985-50),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",N/A,No,12/31/2027
Metaxalone,42291-985-01,800 mg/1,TABLET,ORAL,ANDA203399,AvKARE,42291-985,Metaxalone,METAXALONE,HUMAN PRESCRIPTION DRUG,03/04/2026,N/A,ANDA,100 TABLET in 1 BOTTLE (42291-985-01),"Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",N/A,No,12/31/2027
Metaxalone,50090-3650-3,800 mg/1,TABLET,ORAL,ANDA204770,A-S Medication Solutions,50090-3650,Metaxalone,METAXALONE,HUMAN PRESCRIPTION DRUG,11/22/2016,N/A,ANDA,"20 TABLET in 1 BOTTLE, PLASTIC (50090-3650-3)","Centrally-mediated Muscle Relaxation [PE], Muscle Relaxant [EPC]",N/A,No,12/31/2026
