Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Ontralfy,69528-310-16,2 mg/5mL,SOLUTION,ORAL,NDA216190,"Rosemont Pharmaceuticals, LLC",69528-310,Tizanidine Hydrochloride,TIZANIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/01/2025,N/A,NDA,"473 mL in 1 BOTTLE, PLASTIC (69528-310-16)","Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",N/A,No,12/31/2027
tizanidine hydrochloride,0591-2788-86,2 mg/1,"CAPSULE, GELATIN COATED",ORAL,NDA021447,"Actavis Pharma, Inc.",0591-2788,tizanidine hydrochloride,TIZANIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/06/2012,N/A,NDA AUTHORIZED GENERIC,"150 CAPSULE, GELATIN COATED in 1 BOTTLE, PLASTIC (0591-2788-86)","Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",N/A,No,12/31/2026
tizanidine hydrochloride,0591-2789-86,4 mg/1,"CAPSULE, GELATIN COATED",ORAL,NDA021447,"Actavis Pharma, Inc.",0591-2789,tizanidine hydrochloride,TIZANIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/06/2012,N/A,NDA AUTHORIZED GENERIC,"150 CAPSULE, GELATIN COATED in 1 BOTTLE, PLASTIC (0591-2789-86)","Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",N/A,No,12/31/2026
tizanidine hydrochloride,0591-2790-86,6 mg/1,"CAPSULE, GELATIN COATED",ORAL,NDA021447,"Actavis Pharma, Inc.",0591-2790,tizanidine hydrochloride,TIZANIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/06/2012,N/A,NDA AUTHORIZED GENERIC,"150 CAPSULE, GELATIN COATED in 1 BOTTLE, PLASTIC (0591-2790-86)","Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",N/A,No,12/31/2026
Tizanidine Hydrochloride,42291-811-15,4 mg/1,"CAPSULE, GELATIN COATED",ORAL,ANDA078868,AvKARE,42291-811,Tizanidine Hydrochloride,TIZANIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/20/2014,N/A,ANDA,"150 CAPSULE, GELATIN COATED in 1 BOTTLE (42291-811-15)","Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",N/A,No,12/31/2026
Tizanidine Hydrochloride,46708-491-30,2 mg/1,CAPSULE,ORAL,ANDA213223,Alembic Pharmaceuticals Limited,46708-491,Tizanidine Hydrochloride,TIZANIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/15/2020,N/A,ANDA,30 CAPSULE in 1 BOTTLE (46708-491-30),"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",N/A,No,12/31/2026
Tizanidine Hydrochloride,46708-491-08,2 mg/1,CAPSULE,ORAL,ANDA213223,Alembic Pharmaceuticals Limited,46708-491,Tizanidine Hydrochloride,TIZANIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/15/2020,N/A,ANDA,80 BLISTER PACK in 1 CARTON (46708-491-08) / 8 CAPSULE in 1 BLISTER PACK,"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",N/A,No,12/31/2026
Tizanidine Hydrochloride,46708-491-91,2 mg/1,CAPSULE,ORAL,ANDA213223,Alembic Pharmaceuticals Limited,46708-491,Tizanidine Hydrochloride,TIZANIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/15/2020,N/A,ANDA,1000 CAPSULE in 1 BOTTLE (46708-491-91),"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",N/A,No,12/31/2026
Tizanidine Hydrochloride,46708-491-41,2 mg/1,CAPSULE,ORAL,ANDA213223,Alembic Pharmaceuticals Limited,46708-491,Tizanidine Hydrochloride,TIZANIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/15/2020,N/A,ANDA,150 CAPSULE in 1 BOTTLE (46708-491-41),"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",N/A,No,12/31/2026
Tizanidine Hydrochloride,46708-492-30,4 mg/1,CAPSULE,ORAL,ANDA213223,Alembic Pharmaceuticals Limited,46708-492,Tizanidine Hydrochloride,TIZANIDINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/15/2020,N/A,ANDA,30 CAPSULE in 1 BOTTLE (46708-492-30),"Adrenergic alpha2-Agonists [MoA], Central alpha-2 Adrenergic Agonist [EPC]",N/A,No,12/31/2026
