Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
SHISEIDO REVITALESSENCE SKIN GLOW FOUNDATION,58411-859-40,2.30805 g/30mL,EMULSION,TOPICAL,M020,SHISEIDO AMERICAS CORPORATION,58411-859,OCTINOXATE,OCTINOXATE,HUMAN OTC DRUG,08/01/2023,N/A,OTC MONOGRAPH DRUG,1 CONTAINER in 1 CARTON (58411-859-40) / 30 mL in 1 CONTAINER,N/A,N/A,No,12/31/2026
SHISEIDO REVITALESSENCE SKIN GLOW FOUNDATION,58411-860-40,2.30805 g/30mL,EMULSION,TOPICAL,M020,SHISEIDO AMERICAS CORPORATION,58411-860,OCTINOXATE,OCTINOXATE,HUMAN OTC DRUG,08/01/2023,N/A,OTC MONOGRAPH DRUG,1 CONTAINER in 1 CARTON (58411-860-40) / 30 mL in 1 CONTAINER,N/A,N/A,No,12/31/2026
SHISEIDO REVITALESSENCE SKIN GLOW FOUNDATION,58411-861-40,2.30805 g/30mL,EMULSION,TOPICAL,M020,SHISEIDO AMERICAS CORPORATION,58411-861,OCTINOXATE,OCTINOXATE,HUMAN OTC DRUG,08/01/2023,N/A,OTC MONOGRAPH DRUG,1 CONTAINER in 1 CARTON (58411-861-40) / 30 mL in 1 CONTAINER,N/A,N/A,No,12/31/2026
SHISEIDO REVITALESSENCE SKIN GLOW FOUNDATION,58411-862-40,2.30805 g/30mL,EMULSION,TOPICAL,M020,SHISEIDO AMERICAS CORPORATION,58411-862,OCTINOXATE,OCTINOXATE,HUMAN OTC DRUG,08/01/2023,N/A,OTC MONOGRAPH DRUG,1 CONTAINER in 1 CARTON (58411-862-40) / 30 mL in 1 CONTAINER,N/A,N/A,No,12/31/2026
SHISEIDO REVITALESSENCE SKIN GLOW FOUNDATION,58411-863-40,2.30805 g/30mL,EMULSION,TOPICAL,M020,SHISEIDO AMERICAS CORPORATION,58411-863,OCTINOXATE,OCTINOXATE,HUMAN OTC DRUG,08/01/2023,N/A,OTC MONOGRAPH DRUG,1 CONTAINER in 1 CARTON (58411-863-40) / 30 mL in 1 CONTAINER,N/A,N/A,No,12/31/2026
SHISEIDO REVITALESSENCE SKIN GLOW FOUNDATION,58411-864-40,2.30805 g/30mL,EMULSION,TOPICAL,M020,SHISEIDO AMERICAS CORPORATION,58411-864,OCTINOXATE,OCTINOXATE,HUMAN OTC DRUG,08/01/2023,N/A,OTC MONOGRAPH DRUG,1 CONTAINER in 1 CARTON (58411-864-40) / 30 mL in 1 CONTAINER,N/A,N/A,No,12/31/2026
SHISEIDO REVITALESSENCE SKIN GLOW FOUNDATION,58411-865-40,2.30805 g/30mL,EMULSION,TOPICAL,M020,SHISEIDO AMERICAS CORPORATION,58411-865,OCTINOXATE,OCTINOXATE,HUMAN OTC DRUG,08/01/2023,N/A,OTC MONOGRAPH DRUG,1 CONTAINER in 1 CARTON (58411-865-40) / 30 mL in 1 CONTAINER,N/A,N/A,No,12/31/2026
SHISEIDO REVITALESSENCE SKIN GLOW FOUNDATION,58411-866-40,2.30805 g/30mL,EMULSION,TOPICAL,M020,SHISEIDO AMERICAS CORPORATION,58411-866,OCTINOXATE,OCTINOXATE,HUMAN OTC DRUG,08/01/2023,N/A,OTC MONOGRAPH DRUG,1 CONTAINER in 1 CARTON (58411-866-40) / 30 mL in 1 CONTAINER,N/A,N/A,No,12/31/2026
SHISEIDO REVITALESSENCE SKIN GLOW FOUNDATION,58411-867-40,2.30805 g/30mL,EMULSION,TOPICAL,M020,SHISEIDO AMERICAS CORPORATION,58411-867,OCTINOXATE,OCTINOXATE,HUMAN OTC DRUG,08/01/2023,N/A,OTC MONOGRAPH DRUG,1 CONTAINER in 1 CARTON (58411-867-40) / 30 mL in 1 CONTAINER,N/A,N/A,No,12/31/2026
SHISEIDO REVITALESSENCE SKIN GLOW FOUNDATION,58411-868-40,2.30805 g/30mL,EMULSION,TOPICAL,M020,SHISEIDO AMERICAS CORPORATION,58411-868,OCTINOXATE,OCTINOXATE,HUMAN OTC DRUG,08/01/2023,N/A,OTC MONOGRAPH DRUG,1 CONTAINER in 1 CARTON (58411-868-40) / 30 mL in 1 CONTAINER,N/A,N/A,No,12/31/2026
