Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ABIGALE,70700-330-85,"1 mg/1, .5 mg/1",TABLET,ORAL,ANDA207261,Xiromed LLC,70700-330,estradiol and norethindrone acetate,ESTRADIOL; NORETHINDRONE ACETATE,HUMAN PRESCRIPTION DRUG,01/29/2025,N/A,ANDA,3 POUCH in 1 CARTON (70700-330-85) / 1 BLISTER PACK in 1 POUCH (70700-330-84) / 28 TABLET in 1 BLISTER PACK,"Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",N/A,No,12/31/2026
ABIGALE LO,70700-303-85,".5 mg/1, .1 mg/1",TABLET,ORAL,ANDA207261,Xiromed LLC,70700-303,estradiol and norethindrone acetate,ESTRADIOL; NORETHINDRONE ACETATE,HUMAN PRESCRIPTION DRUG,01/29/2025,N/A,ANDA,3 POUCH in 1 CARTON (70700-303-85) / 1 BLISTER PACK in 1 POUCH (70700-303-84) / 28 TABLET in 1 BLISTER PACK,"Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",N/A,No,12/31/2026
Activella,60846-231-01,".5 mg/1, .1 mg/1","TABLET, FILM COATED",ORAL,NDA020907,Amneal Pharmaceuticals LLC,60846-231,Estradiol/norethindrone acetate,ESTRADIOL; NORETHINDRONE ACETATE,HUMAN PRESCRIPTION DRUG,05/01/2019,N/A,NDA,"1 BLISTER PACK in 1 CARTON (60846-231-01) / 28 TABLET, FILM COATED in 1 BLISTER PACK","Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",N/A,No,12/31/2026
Activella,60846-232-01,"1 mg/1, .5 mg/1","TABLET, FILM COATED",ORAL,NDA020907,Amneal Pharmaceuticals LLC,60846-232,Estradiol/norethindrone acetate,ESTRADIOL; NORETHINDRONE ACETATE,HUMAN PRESCRIPTION DRUG,05/01/2019,N/A,NDA,"1 BLISTER PACK in 1 CARTON (60846-232-01) / 28 TABLET, FILM COATED in 1 BLISTER PACK","Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",N/A,No,12/31/2026
Affodel,79929-015-07,.35 mg/1,TABLET,ORAL,ANDA206807,Naari Pte. Limited,79929-015,Norethindrone,NORETHINDRONE,HUMAN PRESCRIPTION DRUG,05/31/2024,N/A,ANDA,84 BLISTER PACK in 1 CARTON (79929-015-07) / 28 TABLET in 1 BLISTER PACK,"Progesterone Congeners [CS], Progestin [EPC]",N/A,No,12/31/2026
ALYACEN 1/35,50090-1477-0,,KIT,,ANDA091634,A-S Medication Solutions,50090-1477,norethindrone and ethinyl estradiol,,HUMAN PRESCRIPTION DRUG,11/28/2014,N/A,ANDA,1 KIT in 1 KIT (50090-1477-0),N/A,N/A,No,12/31/2026
ALYACEN 1/35,68462-394-29,,KIT,,ANDA091634,"Glenmark Pharmaceuticals Inc., USA",68462-394,norethindrone and ethinyl estradiol,,HUMAN PRESCRIPTION DRUG,01/19/2012,N/A,ANDA,3 BLISTER PACK in 1 CARTON (68462-394-29) / 1 KIT in 1 BLISTER PACK (68462-394-84),N/A,N/A,No,12/31/2027
ALYACEN 1/35,71205-547-28,,KIT,,ANDA091634,Proficient Rx LP,71205-547,norethindrone and ethinyl estradiol,,HUMAN PRESCRIPTION DRUG,03/25/2021,N/A,ANDA,1 PACKAGE in 1 BAG (71205-547-28) / 1 KIT in 1 PACKAGE,N/A,N/A,No,12/31/2027
ALYACEN 7/7/7,68462-556-29,,KIT,,ANDA091636,"Glenmark Pharmaceuticals Inc., USA",68462-556,norethindrone and ethinyl estradiol,,HUMAN PRESCRIPTION DRUG,01/19/2012,N/A,ANDA,3 BLISTER PACK in 1 CARTON (68462-556-29) / 1 KIT in 1 BLISTER PACK (68462-556-84),N/A,N/A,No,12/31/2027
Aranelle,0555-9066-67,,KIT,,ANDA076783,"Teva Pharmaceuticals USA, Inc.",0555-9066,norethindrone and ethinyl estradiol,,HUMAN PRESCRIPTION DRUG,10/04/2004,N/A,ANDA,3 POUCH in 1 CARTON (0555-9066-67) / 1 BLISTER PACK in 1 POUCH (0555-9066-79) / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
Aurovela 1.5/30,65862-935-54,"1.5 mg/1, 30 ug/1",TABLET,ORAL,ANDA207581,Aurobindo Pharma Limited,65862-935,Norethindrone Acetate and Ethinyl Estradiol,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,HUMAN PRESCRIPTION DRUG,06/26/2017,N/A,ANDA,5 POUCH in 1 CARTON (65862-935-54) / 1 BLISTER PACK in 1 POUCH / 21 TABLET in 1 BLISTER PACK,"Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",N/A,No,12/31/2026
Aurovela 1.5/30,65862-935-74,"1.5 mg/1, 30 ug/1",TABLET,ORAL,ANDA207581,Aurobindo Pharma Limited,65862-935,Norethindrone Acetate and Ethinyl Estradiol,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,HUMAN PRESCRIPTION DRUG,06/26/2017,N/A,ANDA,3 POUCH in 1 CARTON (65862-935-74) / 1 BLISTER PACK in 1 POUCH / 21 TABLET in 1 BLISTER PACK,"Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",N/A,No,12/31/2026
Aurovela 1/20,65862-939-88,"1 mg/1, 20 ug/1",TABLET,ORAL,ANDA207506,Aurobindo Pharma Limited,65862-939,Norethindrone Acetate and Ethinyl Estradiol,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,HUMAN PRESCRIPTION DRUG,06/16/2017,N/A,ANDA,3 POUCH in 1 CARTON (65862-939-88) / 1 BLISTER PACK in 1 POUCH / 21 TABLET in 1 BLISTER PACK,"Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",N/A,No,12/31/2026
Aurovela 1/20,65862-939-54,"1 mg/1, 20 ug/1",TABLET,ORAL,ANDA207506,Aurobindo Pharma Limited,65862-939,Norethindrone Acetate and Ethinyl Estradiol,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,HUMAN PRESCRIPTION DRUG,06/16/2017,N/A,ANDA,5 POUCH in 1 CARTON (65862-939-54) / 1 BLISTER PACK in 1 POUCH / 21 TABLET in 1 BLISTER PACK,"Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",N/A,No,12/31/2026
Aurovela 24 Fe,65862-934-87,,KIT,,ANDA207504,Aurobindo Pharma Limited,65862-934,Norethindrone Acetate and Ethinyl Estradiol and Ferrous Fumarate,,HUMAN PRESCRIPTION DRUG,06/15/2017,N/A,ANDA,1 POUCH in 1 CARTON (65862-934-87) / 1 BLISTER PACK in 1 POUCH / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
