Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Afirmelle,65862-849-92,,KIT,,ANDA206886,Aurobindo Pharma Limited,65862-849,Levonorgestrel and Ethinyl Estradiol,,HUMAN PRESCRIPTION DRUG,11/14/2016,N/A,ANDA,6 POUCH in 1 CARTON (65862-849-92) / 1 BLISTER PACK in 1 POUCH / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
Afirmelle,65862-849-88,,KIT,,ANDA206886,Aurobindo Pharma Limited,65862-849,Levonorgestrel and Ethinyl Estradiol,,HUMAN PRESCRIPTION DRUG,11/14/2016,N/A,ANDA,3 POUCH in 1 CARTON (65862-849-88) / 1 BLISTER PACK in 1 POUCH (65862-849-28) / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
After Banger,58602-891-57,1.5 mg/1,TABLET,ORAL,ANDA206867,Aurohealth LLC,58602-891,Levonorgestrel,LEVONORGESTREL,HUMAN OTC DRUG,03/23/2023,N/A,ANDA,1 BLISTER PACK in 1 CARTON (58602-891-57) / 1 TABLET in 1 BLISTER PACK,"Inhibit Ovum Fertilization [PE], Progesterone Congeners [CS], Progesterone Congeners [CS], Progestin [EPC], Progestin-containing Intrauterine System [EPC]",N/A,No,12/31/2026
After Banger,58602-891-69,1.5 mg/1,TABLET,ORAL,ANDA206867,Aurohealth LLC,58602-891,Levonorgestrel,LEVONORGESTREL,HUMAN OTC DRUG,03/23/2023,N/A,ANDA,1 BLISTER PACK in 1 CARTON (58602-891-69) / 1 TABLET in 1 BLISTER PACK,"Inhibit Ovum Fertilization [PE], Progesterone Congeners [CS], Progesterone Congeners [CS], Progestin [EPC], Progestin-containing Intrauterine System [EPC]",N/A,No,12/31/2026
Aftera,69536-103-88,1.5 mg/1,TABLET,ORAL,NDA021998,Foundation Consumer Healthcare LLC,69536-103,LEVONORGESTREL,LEVONORGESTREL,HUMAN OTC DRUG,05/10/2018,N/A,NDA AUTHORIZED GENERIC,"1 BLISTER PACK in 1 BOX, UNIT-DOSE (69536-103-88) / 1 TABLET in 1 BLISTER PACK","Inhibit Ovum Fertilization [PE], Progesterone Congeners [CS], Progesterone Congeners [CS], Progestin [EPC], Progestin-containing Intrauterine Device [EPC]",N/A,No,12/31/2026
AfterPill,64122-605-01,1.5 mg/1,TABLET,ORAL,ANDA201446,"Syzygy Healthcare Solutions, LLC PO Box 588, Westport, CT 06880",64122-605,levonorgestrel,LEVONORGESTREL,HUMAN OTC DRUG,09/14/2017,N/A,ANDA,1 TABLET in 1 BLISTER PACK (64122-605-01),"Inhibit Ovum Fertilization [PE], Progesterone Congeners [CS], Progesterone Congeners [CS], Progestin [EPC], Progestin-containing Intrauterine System [EPC]",N/A,No,12/31/2026
AfterPlan,62756-723-60,1.5 mg/1,TABLET,ORAL,ANDA202635,"SUN PHARMACEUTICAL INDUSTRIES, INC.",62756-723,levonorgestrel,LEVONORGESTREL,HUMAN OTC DRUG,05/12/2017,N/A,ANDA,1 BLISTER PACK in 1 CARTON (62756-723-60) / 1 TABLET in 1 BLISTER PACK,"Inhibit Ovum Fertilization [PE], Progesterone Congeners [CS], Progesterone Congeners [CS], Progestin [EPC], Progestin-containing Intrauterine Device [EPC]",N/A,No,12/31/2026
ALTAVERA,63629-2343-1,,KIT,,ANDA079102,Bryant Ranch Prepack,63629-2343,Levonorgestrel and Ethinyl Estradiol,,HUMAN PRESCRIPTION DRUG,01/01/2018,N/A,ANDA,3 CARTON in 1 CARTON (63629-2343-1) / 1 BLISTER PACK in 1 CARTON / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
ALTAVERA,70700-116-85,,KIT,,ANDA079102,"Xiromed, LLC.",70700-116,Levonorgestrel and Ethinyl Estradiol,,HUMAN PRESCRIPTION DRUG,03/02/2023,N/A,ANDA,3 BLISTER PACK in 1 CARTON (70700-116-85) / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
AMAZON BASIC CARE LEVONORGESTREL,72288-324-28,1.5 mg/1,TABLET,ORAL,ANDA206867,Amazon.com Services LLC,72288-324,Levonorgestrel,LEVONORGESTREL,HUMAN OTC DRUG,05/15/2024,N/A,ANDA,1 BLISTER PACK in 1 CARTON (72288-324-28) / 1 TABLET in 1 BLISTER PACK,"Inhibit Ovum Fertilization [PE], Progesterone Congeners [CS], Progesterone Congeners [CS], Progestin [EPC], Progestin-containing Intrauterine System [EPC]",N/A,No,12/31/2026
Amethyst,0480-3472-24,"90 ug/1, 20 ug/1",TABLET,ORAL,ANDA079218,"Teva Pharmaceuticals, Inc.",0480-3472,Levonorgestrel and Ethinyl Estradiol,ETHINYL ESTRADIOL; LEVONORGESTREL,HUMAN PRESCRIPTION DRUG,03/01/2023,N/A,ANDA,1 POUCH in 1 CARTON (0480-3472-24) / 1 BLISTER PACK in 1 POUCH / 28 TABLET in 1 BLISTER PACK,"Estrogen Receptor Agonists [MoA], Estrogen [EPC], Inhibit Ovum Fertilization [PE], Progesterone Congeners [CS], Progesterone Congeners [CS], Progestin [EPC], Progestin-containing Intrauterine System [EPC]",N/A,No,12/31/2026
Ashlyna,50090-2097-0,,KIT,,ANDA203163,A-S Medication Solutions,50090-2097,Levonorgestrel and Ethinyl Estradiol and Ethinyl Estradiol,,HUMAN PRESCRIPTION DRUG,10/12/2015,N/A,ANDA,1 KIT in 1 KIT (50090-2097-0),N/A,N/A,No,12/31/2027
Ashlyna,68462-646-93,,KIT,,ANDA203163,"Glenmark Pharmaceuticals Inc., USA",68462-646,Levonorgestrel and Ethinyl Estradiol and Ethinyl Estradiol,,HUMAN PRESCRIPTION DRUG,02/23/2015,N/A,ANDA,2 POUCH in 1 CARTON (68462-646-93) / 1 BLISTER PACK in 1 POUCH / 1 KIT in 1 BLISTER PACK (68462-646-91),N/A,N/A,No,12/31/2027
Athentia Next,58602-721-57,1.5 mg/1,TABLET,ORAL,ANDA206867,Aurohealth LLC,58602-721,Levonorgestrel,LEVONORGESTREL,HUMAN OTC DRUG,12/08/2015,N/A,ANDA,1 BLISTER PACK in 1 CARTON (58602-721-57) / 1 TABLET in 1 BLISTER PACK,"Inhibit Ovum Fertilization [PE], Progesterone Congeners [CS], Progesterone Congeners [CS], Progestin [EPC], Progestin-containing Intrauterine System [EPC]",N/A,No,12/31/2026
Aubra EQ,50102-220-23,,KIT,,ANDA206886,"Afaxys Pharma, LLC",50102-220,Levonorgestrel and Ethinyl Estradiol,,HUMAN PRESCRIPTION DRUG,11/14/2016,N/A,ANDA,3 POUCH in 1 CARTON (50102-220-23) / 1 BLISTER PACK in 1 POUCH (50102-220-21) / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
Aviane,0555-9045-58,,KIT,,ANDA075796,"Teva Pharmaceuticals USA, Inc.",0555-9045,Levonorgestrel and Ethinyl Estradiol,,HUMAN PRESCRIPTION DRUG,04/02/2001,N/A,ANDA,6 POUCH in 1 CARTON (0555-9045-58) / 1 BLISTER PACK in 1 POUCH (0555-9045-79) / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
Aviane,63187-889-28,,KIT,,ANDA075796,Proficient Rx LP,63187-889,Levonorgestrel and Ethinyl Estradiol,,HUMAN PRESCRIPTION DRUG,08/01/2017,N/A,ANDA,1 BLISTER PACK in 1 POUCH (63187-889-28) / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
Ayuna,65862-848-92,,KIT,,ANDA206866,Aurobindo Pharma Limited,65862-848,Levonorgestrel and Ethinyl Estradiol,,HUMAN PRESCRIPTION DRUG,09/23/2016,N/A,ANDA,6 POUCH in 1 CARTON (65862-848-92) / 1 BLISTER PACK in 1 POUCH / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
Ayuna,65862-848-88,,KIT,,ANDA206866,Aurobindo Pharma Limited,65862-848,Levonorgestrel and Ethinyl Estradiol,,HUMAN PRESCRIPTION DRUG,09/23/2016,N/A,ANDA,3 POUCH in 1 CARTON (65862-848-88) / 1 BLISTER PACK in 1 POUCH (65862-848-28) / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
Balcoltra,75854-602-02,,KIT,,NDA208612,Avion Pharmaceuticals,75854-602,levonorgestrel and ethinyl estradiol,,HUMAN PRESCRIPTION DRUG,04/10/2018,N/A,NDA,2 BLISTER PACK in 1 CARTON (75854-602-02) / 1 KIT in 1 BLISTER PACK,N/A,N/A,No,12/31/2026
