Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Activella,60846-231-01,".5 mg/1, .1 mg/1","TABLET, FILM COATED",ORAL,NDA020907,Amneal Pharmaceuticals LLC,60846-231,Estradiol/norethindrone acetate,ESTRADIOL; NORETHINDRONE ACETATE,HUMAN PRESCRIPTION DRUG,05/01/2019,N/A,NDA,"1 BLISTER PACK in 1 CARTON (60846-231-01) / 28 TABLET, FILM COATED in 1 BLISTER PACK","Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",N/A,No,12/31/2026
Activella,60846-232-01,"1 mg/1, .5 mg/1","TABLET, FILM COATED",ORAL,NDA020907,Amneal Pharmaceuticals LLC,60846-232,Estradiol/norethindrone acetate,ESTRADIOL; NORETHINDRONE ACETATE,HUMAN PRESCRIPTION DRUG,05/01/2019,N/A,NDA,"1 BLISTER PACK in 1 CARTON (60846-232-01) / 28 TABLET, FILM COATED in 1 BLISTER PACK","Estradiol Congeners [CS], Estrogen Receptor Agonists [MoA], Estrogen [EPC], Progesterone Congeners [CS], Progestin [EPC]",N/A,No,12/31/2026
Apis Belladonna,48951-1045-1,"4 [hp_X]/mL, 5 [hp_X]/mL",LIQUID,ORAL,,Uriel Pharmacy Inc.,48951-1045,Apis Belladonna,APIS MELLIFERA; ATROPA BELLADONNA,HUMAN OTC DRUG,09/01/2009,N/A,UNAPPROVED HOMEOPATHIC,10 AMPULE in 1 BOX (48951-1045-1) / 1 mL in 1 AMPULE,"Allergens [CS], Bee Venoms [CS], Cell-mediated Immunity [PE], Increased Histamine Release [PE], Increased IgG Production [PE], Standardized Insect Venom Allergenic Extract [EPC]",N/A,No,12/31/2027
Apis Belladonna Mercurius,48951-1214-1,"4 [hp_X]/mL, 5 [hp_X]/mL, 17 [hp_X]/mL",LIQUID,ORAL,,Uriel Pharmacy Inc.,48951-1214,Apis Belladonna Mercurius,APIS MELLIFERA; ATROPA BELLADONNA; MERCURIUS SOLUBILIS,HUMAN OTC DRUG,09/01/2009,N/A,UNAPPROVED HOMEOPATHIC,10 AMPULE in 1 BOX (48951-1214-1) / 1 mL in 1 AMPULE,"Allergens [CS], Bee Venoms [CS], Cell-mediated Immunity [PE], Increased Histamine Release [PE], Increased IgG Production [PE], Standardized Insect Venom Allergenic Extract [EPC]",N/A,No,12/31/2026
AussieZinc Mineral Sunscreen Vegan and Organic Mozzie Repellant,83252-101-00,25 kg/100kg,CREAM,TOPICAL,M020,VEGANIC SKN LIMITED,83252-101,Zinc Oxide sunscreen,ZINC OXIDE,HUMAN OTC DRUG,08/30/2024,N/A,OTC MONOGRAPH DRUG,".11 kg in 1 BOTTLE, PUMP (83252-101-00)",N/A,N/A,No,12/31/2026
AussieZinc Mineral Sunscreen Vegan and Organic Mozzie Repellant,83252-101-25,25 kg/100kg,CREAM,TOPICAL,M020,VEGANIC SKN LIMITED,83252-101,Zinc Oxide sunscreen,ZINC OXIDE,HUMAN OTC DRUG,11/21/2025,N/A,OTC MONOGRAPH DRUG,".1 kg in 1 BOTTLE, PUMP (83252-101-25)",N/A,N/A,No,12/31/2026
Bella Blu Skin Care Non Tinted Sunscreen,87099-205-15,200 mg/g,CREAM,TOPICAL,M020,BELLA BLU STUDIOS INC,87099-205,Zinc Oxide,ZINC OXIDE,HUMAN OTC DRUG,08/31/2022,N/A,OTC MONOGRAPH DRUG,1.5 g in 1 PACKET (87099-205-15),N/A,N/A,Yes,12/31/2026
Bella Blu Skin Care Non Tinted Sunscreen,87099-205-04,200 mg/g,CREAM,TOPICAL,M020,BELLA BLU STUDIOS INC,87099-205,Zinc Oxide,ZINC OXIDE,HUMAN OTC DRUG,08/31/2022,N/A,OTC MONOGRAPH DRUG,"113 g in 1 BOTTLE, PUMP (87099-205-04)",N/A,N/A,No,12/31/2026
Bella Blue Skin Care Tinted Sunscreen,87099-204-60,200 mg/g,CREAM,TOPICAL,M020,BELLA BLU STUDIOS INC,87099-204,Zinc Oxide,ZINC OXIDE,HUMAN OTC DRUG,05/15/2023,N/A,OTC MONOGRAPH DRUG,"60 g in 1 BOTTLE, PUMP (87099-204-60)",N/A,N/A,No,12/31/2026
BELLA HP,43406-0637-1,"30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_X]/mL, 30 [hp_C]/mL",LIQUID,ORAL,,"Natural Creations, Inc.",43406-0637,"Atropa Belladonna, Conium Maculatum Flowering Top, Solanum Dulcamara Top, Calcium Sulfide, Potassium Dichromate, Mercurius Solubilis, Anemone Pulsatilla, Silicon Dioxide, Matricaria Recutita.",ANEMONE PULSATILLA; ATROPA BELLADONNA; CALCIUM SULFIDE; CONIUM MACULATUM FLOWERING TOP; MATRICARIA RECUTITA; MERCURIUS SOLUBILIS; POTASSIUM DICHROMATE; SILICON DIOXIDE; SOLANUM DULCAMARA TOP,HUMAN OTC DRUG,06/01/2016,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43406-0637-1)",N/A,N/A,No,12/31/2026
