Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Gencare DayTime Cold and Flu Softgel,72090-005-01,"325 mg/1, 10 mg/1, 5 mg/1","CAPSULE, LIQUID FILLED",ORAL,M012,"Pioneer Life Sciences, LLC",72090-005,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE",ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE,HUMAN OTC DRUG,12/08/2023,N/A,OTC MONOGRAPH DRUG,"48 CAPSULE, LIQUID FILLED in 1 BOTTLE (72090-005-01)","Adrenergic alpha1-Agonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-1 Adrenergic Agonist [EPC]",N/A,No,12/31/2026
Gencare DayTime Cold and Flu Softgel,72090-062-01,"325 mg/1, 10 mg/1, 5 mg/1","CAPSULE, LIQUID FILLED",ORAL,M012,"Pioneer Life Sciences, LLC",72090-062,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, PHENYLEPHRINE HYDROCHLORIDE",ACETAMINOPHEN; DEXTROMETHORPHAN HYDROBROMIDE; PHENYLEPHRINE HYDROCHLORIDE,HUMAN OTC DRUG,02/16/2026,N/A,OTC MONOGRAPH DRUG,"48 CAPSULE, LIQUID FILLED in 1 BOTTLE (72090-062-01)","Adrenergic alpha1-Agonists [MoA], Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA], alpha-1 Adrenergic Agonist [EPC]",N/A,No,12/31/2027
GenCare Headache Relief,72090-007-03,"65 mg/1, 250 mg/1, 250 mg/1",TABLET,ORAL,M013,"Pioneer Life Sciences, LLC",72090-007,"ACETAMINOPHEN, Aspirin, Caffeine",ACETAMINOPHEN; ASPIRIN; CAFFEINE,HUMAN OTC DRUG,10/02/2024,N/A,OTC MONOGRAPH DRUG,200 TABLET in 1 BOTTLE (72090-007-03),"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",N/A,No,12/31/2026
GenCare Headache Relief,72090-007-02,"65 mg/1, 250 mg/1, 250 mg/1",TABLET,ORAL,M013,"Pioneer Life Sciences, LLC",72090-007,"ACETAMINOPHEN, Aspirin, Caffeine",CAFFEINE; ACETAMINOPHEN; ASPIRIN,HUMAN OTC DRUG,08/03/2020,N/A,OTC MONOGRAPH DRUG,300 TABLET in 1 BOTTLE (72090-007-02),"Anti-Inflammatory Agents, Non-Steroidal [CS], Central Nervous System Stimulant [EPC], Central Nervous System Stimulation [PE], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Methylxanthine [EPC], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC], Xanthines [CS]",N/A,No,12/31/2027
Gencare Hives Relief,72090-058-01,180 mg/1,TABLET,ORAL,ANDA210137,"Pioneer Life Sciences, LLC",72090-058,FEXOFENADINE HYDROCHLORIDE,FEXOFENADINE HYDROCHLORIDE,HUMAN OTC DRUG,01/21/2026,N/A,ANDA,48 TABLET in 1 BOTTLE (72090-058-01),"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]",N/A,No,12/31/2027
Gencare Long-Acting Cough Relief,72090-063-01,15 mg/1,"CAPSULE, LIQUID FILLED",ORAL,M012,"PIONEER LIFE SCIENCES, LLC",72090-063,Dextromethorphan Hydrobromide,DEXTROMETHORPHAN HYDROBROMIDE,HUMAN OTC DRUG,03/24/2026,N/A,OTC MONOGRAPH DRUG,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (72090-063-01)","Sigma-1 Agonist [EPC], Sigma-1 Receptor Agonists [MoA], Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC], Uncompetitive NMDA Receptor Antagonists [MoA]",N/A,No,12/31/2027
Gencare- Pain Relief Acetaminophen,72090-069-01,325 mg/1,TABLET,ORAL,M013,"Pioneer Life Sciences, LLC",72090-069,Acetaminophen,ACETAMINOPHEN,HUMAN OTC DRUG,08/12/2026,N/A,OTC MONOGRAPH DRUG,1000 TABLET in 1 BOTTLE (72090-069-01),N/A,N/A,No,12/31/2027
Gencare-Allergy Relief,72090-068-01,60 mg/1,TABLET,ORAL,ANDA204507,"Pioneer Life Sciences, LLC",72090-068,Fexofenadine Hydrochloride,FEXOFENADINE HYDROCHLORIDE,HUMAN OTC DRUG,06/22/2026,N/A,ANDA,100 TABLET in 1 BOTTLE (72090-068-01),"Histamine H1 Receptor Antagonists [MoA], Histamine-1 Receptor Antagonist [EPC]",N/A,No,12/31/2027
"Gencare-Allergy Relief Loratadine Tablets, 10 mg",72090-051-01,10 mg/1,TABLET,ORAL,ANDA214684,"Pioneer Life Sciences, LLC",72090-051,loratadine,LORATADINE,HUMAN OTC DRUG,06/30/2025,N/A,ANDA,300 TABLET in 1 BOTTLE (72090-051-01),N/A,N/A,No,12/31/2026
Gencare-Arthritis Pain Relief,72090-017-01,.01 g/g,GEL,TOPICAL,ANDA210986,"Pioneer Life Sciences, LLC",72090-017,Diclofenac Sodium,DICLOFENAC SODIUM,HUMAN OTC DRUG,09/10/2024,N/A,ANDA,1 TUBE in 1 CARTON (72090-017-01) / 150 g in 1 TUBE,"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC]",N/A,No,12/31/2026
Gencare-Aspirin Low Dose Pain reliever (NSAID),72090-037-01,81 mg/1,TABLET,ORAL,M013,"Pioneer Life Sciences, LLC",72090-037,Aspirin,ASPIRIN,HUMAN OTC DRUG,11/07/2024,N/A,OTC MONOGRAPH DRUG,500 TABLET in 1 BOTTLE (72090-037-01),"Anti-Inflammatory Agents, Non-Steroidal [CS], Cyclooxygenase Inhibitors [MoA], Decreased Platelet Aggregation [PE], Decreased Prostaglandin Production [PE], Nonsteroidal Anti-inflammatory Drug [EPC], Platelet Aggregation Inhibitor [EPC]",N/A,No,12/31/2027
Gencare-Gas Relief,72090-073-01,180 mg/1,"CAPSULE, LIQUID FILLED",ORAL,M002,"PIONEER LIFE SCIENCES, LLC",72090-073,simethicone 180 mg,DIMETHICONE,HUMAN OTC DRUG,08/04/2026,N/A,OTC MONOGRAPH DRUG,"180 CAPSULE, LIQUID FILLED in 1 BOTTLE (72090-073-01)",Skin Barrier Activity [PE],N/A,No,12/31/2027
Gencare-Nasal Decongestant PE,72090-025-01,10 mg/1,TABLET,ORAL,M012,"Pioneer Life Sciences, LLC",72090-025,PHENYLEPHRINE HYDROCHLORIDE,PHENYLEPHRINE HYDROCHLORIDE,HUMAN OTC DRUG,11/07/2024,N/A,OTC MONOGRAPH DRUG,300 TABLET in 1 BOTTLE (72090-025-01),"Adrenergic alpha1-Agonists [MoA], alpha-1 Adrenergic Agonist [EPC]",N/A,No,12/31/2026
