Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Amikacin Sulfate,0641-6166-10,250 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA063315,Hikma Pharmaceuticals USA Inc.,0641-6166,Amikacin Sulfate,AMIKACIN SULFATE,HUMAN PRESCRIPTION DRUG,08/01/2015,N/A,ANDA,10 VIAL in 1 CARTON (0641-6166-10) / 4 mL in 1 VIAL (0641-6166-01),"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Amikacin Sulfate,0641-6167-10,250 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA063315,Hikma Pharmaceuticals USA Inc.,0641-6167,Amikacin Sulfate,AMIKACIN SULFATE,HUMAN PRESCRIPTION DRUG,08/01/2015,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (0641-6167-10) / 2 mL in 1 VIAL, SINGLE-DOSE (0641-6167-01)","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Amikacin Sulfate,23155-290-41,250 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA204040,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-290,Amikacin Sulfate,AMIKACIN SULFATE,HUMAN PRESCRIPTION DRUG,12/24/2013,N/A,ANDA,"10 VIAL, GLASS in 1 CARTON (23155-290-41) / 2 mL in 1 VIAL, GLASS (23155-290-31)","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Amikacin Sulfate,23155-290-42,250 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA204040,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-290,Amikacin Sulfate,AMIKACIN SULFATE,HUMAN PRESCRIPTION DRUG,12/24/2013,N/A,ANDA,"10 VIAL, GLASS in 1 CARTON (23155-290-42) / 4 mL in 1 VIAL, GLASS (23155-290-32)","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Amikacin Sulfate,23155-785-41,500 mg/2mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA204040,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-785,Amikacin Sulfate,AMIKACIN SULFATE,HUMAN PRESCRIPTION DRUG,12/15/2020,N/A,ANDA,"10 VIAL, GLASS in 1 CARTON (23155-785-41) / 2 mL in 1 VIAL, GLASS (23155-785-31)","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Amikacin Sulfate,23155-786-41,1 g/4mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA204040,Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.,23155-786,Amikacin Sulfate,AMIKACIN SULFATE,HUMAN PRESCRIPTION DRUG,12/15/2020,N/A,ANDA,"10 VIAL, GLASS in 1 CARTON (23155-786-41) / 4 mL in 1 VIAL, GLASS (23155-786-31)","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
amikacin sulfate,25021-173-02,250 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA203323,Sagent Pharmaceuticals,25021-173,amikacin sulfate,AMIKACIN SULFATE,HUMAN PRESCRIPTION DRUG,06/15/2016,N/A,ANDA,10 VIAL in 1 CARTON (25021-173-02) / 2 mL in 1 VIAL,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2027
amikacin sulfate,25021-173-04,250 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA203323,Sagent Pharmaceuticals,25021-173,amikacin sulfate,AMIKACIN SULFATE,HUMAN PRESCRIPTION DRUG,06/15/2016,N/A,ANDA,10 VIAL in 1 CARTON (25021-173-04) / 4 mL in 1 VIAL,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2027
Amikacin Sulfate,63323-815-02,250 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA205604,"Fresenius Kabi USA, LLC",63323-815,Amikacin Sulfate,AMIKACIN SULFATE,HUMAN PRESCRIPTION DRUG,12/09/2015,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (63323-815-02) / 2 mL in 1 VIAL, SINGLE-DOSE (63323-815-21)","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Amikacin Sulfate,63323-815-04,250 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA205604,"Fresenius Kabi USA, LLC",63323-815,Amikacin Sulfate,AMIKACIN SULFATE,HUMAN PRESCRIPTION DRUG,12/09/2015,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (63323-815-04) / 4 mL in 1 VIAL, SINGLE-DOSE (63323-815-22)","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
