"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"AMOXICILLIN","42571-233-01","250 mg/1","CAPSULE","ORAL","ANDA207471","Micro Labs Limited","42571-233","Amoxicillin","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","11/01/2022","N/A","ANDA","100 CAPSULE in 1 BOTTLE (42571-233-01)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026"
"AMOXICILLIN","42571-233-05","250 mg/1","CAPSULE","ORAL","ANDA207471","Micro Labs Limited","42571-233","Amoxicillin","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","11/01/2022","N/A","ANDA","500 CAPSULE in 1 BOTTLE (42571-233-05)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026"
"AMOXICILLIN","42571-233-10","250 mg/1","CAPSULE","ORAL","ANDA207471","Micro Labs Limited","42571-233","Amoxicillin","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","11/01/2022","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (42571-233-10)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026"
"AMOXICILLIN","42571-233-30","250 mg/1","CAPSULE","ORAL","ANDA207471","Micro Labs Limited","42571-233","Amoxicillin","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","11/01/2022","N/A","ANDA","30 CAPSULE in 1 BOTTLE (42571-233-30)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026"
"Amoxicillin","50090-6323-0","400 mg/5mL","POWDER, FOR SUSPENSION","ORAL","ANDA065334","A-S Medication Solutions","50090-6323","Amoxicillin","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","01/12/2023","N/A","ANDA","100 mL in 1 BOTTLE (50090-6323-0)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026"
"Amoxicillin","63187-262-00","400 mg/5mL","POWDER, FOR SUSPENSION","ORAL","ANDA065334","Proficient Rx LP","63187-262","Amoxicillin","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","02/02/2015","N/A","ANDA","100 mL in 1 BOTTLE (63187-262-00)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026"
"Amoxicillin","63187-262-50","400 mg/5mL","POWDER, FOR SUSPENSION","ORAL","ANDA065334","Proficient Rx LP","63187-262","Amoxicillin","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","01/11/2024","N/A","ANDA","50 mL in 1 BOTTLE (63187-262-50)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026"
"Amoxicillin and Clavulanate Potassium","80425-0180-1","125 mg/1,  875 mg/1","TABLET, FILM COATED","ORAL","ANDA204755","Advanced Rx Pharmacy of Tennessee, LLC","80425-0180","Amoxicillin and Clavulanate Potassium","CLAVULANATE POTASSIUM,  AMOXICILLIN","HUMAN PRESCRIPTION DRUG","03/01/2017","N/A","ANDA","20 TABLET, FILM COATED in 1 BOTTLE (80425-0180-1)","Penicillin-class Antibacterial [EPC],  Penicillins [CS],  beta Lactamase Inhibitor [EPC],  beta Lactamase Inhibitors [MoA]","N/A","No","12/31/2026"
"Amoxicillin and Clavulanate Potassium","80425-0180-2","125 mg/1,  875 mg/1","TABLET, FILM COATED","ORAL","ANDA204755","Advanced Rx Pharmacy of Tennessee, LLC","80425-0180","Amoxicillin and Clavulanate Potassium","CLAVULANATE POTASSIUM,  AMOXICILLIN","HUMAN PRESCRIPTION DRUG","03/01/2017","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (80425-0180-2)","Penicillin-class Antibacterial [EPC],  Penicillins [CS],  beta Lactamase Inhibitor [EPC],  beta Lactamase Inhibitors [MoA]","N/A","No","12/31/2026"
"Amoxicillin and Clavulanate Potassium","80425-0180-3","125 mg/1,  875 mg/1","TABLET, FILM COATED","ORAL","ANDA204755","Advanced Rx Pharmacy of Tennessee, LLC","80425-0180","Amoxicillin and Clavulanate Potassium","CLAVULANATE POTASSIUM,  AMOXICILLIN","HUMAN PRESCRIPTION DRUG","02/02/2025","N/A","ANDA","14 TABLET, FILM COATED in 1 BOTTLE (80425-0180-3)","Penicillin-class Antibacterial [EPC],  Penicillins [CS],  beta Lactamase Inhibitor [EPC],  beta Lactamase Inhibitors [MoA]","N/A","No","12/31/2026"
"Amoxicillin","50090-0303-0","500 mg/1","CAPSULE","ORAL","ANDA065291","A-S Medication Solutions","50090-0303","Amoxicillin","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","11/28/2014","N/A","ANDA","14 CAPSULE in 1 BOTTLE (50090-0303-0)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026"
"Amoxicillin","50090-6319-0","250 mg/5mL","POWDER, FOR SUSPENSION","ORAL","ANDA204030","A-S Medication Solutions","50090-6319","Amoxicillin","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","01/09/2023","N/A","ANDA","100 mL in 1 BOTTLE (50090-6319-0)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026"
"Amoxicillin and Clavulanate Potassium","71205-651-10","875 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA065063","Proficient Rx LP","71205-651","Amoxicillin and Clavulanate Potassium","AMOXICILLIN,  CLAVULANATE POTASSIUM","HUMAN PRESCRIPTION DRUG","04/21/2022","N/A","ANDA","10 TABLET, FILM COATED in 1 BOTTLE (71205-651-10)","Penicillin-class Antibacterial [EPC],  Penicillins [CS],  beta Lactamase Inhibitor [EPC],  beta Lactamase Inhibitors [MoA]","N/A","No","12/31/2026"
"Amoxicillin and Clavulanate Potassium","71205-651-20","875 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA065063","Proficient Rx LP","71205-651","Amoxicillin and Clavulanate Potassium","AMOXICILLIN,  CLAVULANATE POTASSIUM","HUMAN PRESCRIPTION DRUG","04/21/2022","N/A","ANDA","20 TABLET, FILM COATED in 1 BOTTLE (71205-651-20)","Penicillin-class Antibacterial [EPC],  Penicillins [CS],  beta Lactamase Inhibitor [EPC],  beta Lactamase Inhibitors [MoA]","N/A","No","12/31/2026"
"Amoxicillin and Clavulanate Potassium","71205-651-30","875 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA065063","Proficient Rx LP","71205-651","Amoxicillin and Clavulanate Potassium","AMOXICILLIN,  CLAVULANATE POTASSIUM","HUMAN PRESCRIPTION DRUG","04/21/2022","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (71205-651-30)","Penicillin-class Antibacterial [EPC],  Penicillins [CS],  beta Lactamase Inhibitor [EPC],  beta Lactamase Inhibitors [MoA]","N/A","No","12/31/2026"
"Amoxicillin and Clavulanate Potassium","71205-651-60","875 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA065063","Proficient Rx LP","71205-651","Amoxicillin and Clavulanate Potassium","AMOXICILLIN,  CLAVULANATE POTASSIUM","HUMAN PRESCRIPTION DRUG","04/21/2022","N/A","ANDA","60 TABLET, FILM COATED in 1 BOTTLE (71205-651-60)","Penicillin-class Antibacterial [EPC],  Penicillins [CS],  beta Lactamase Inhibitor [EPC],  beta Lactamase Inhibitors [MoA]","N/A","No","12/31/2026"
"Amoxicillin and Clavulanate Potassium","71205-651-90","875 mg/1,  125 mg/1","TABLET, FILM COATED","ORAL","ANDA065063","Proficient Rx LP","71205-651","Amoxicillin and Clavulanate Potassium","AMOXICILLIN,  CLAVULANATE POTASSIUM","HUMAN PRESCRIPTION DRUG","04/21/2022","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE (71205-651-90)","Penicillin-class Antibacterial [EPC],  Penicillins [CS],  beta Lactamase Inhibitor [EPC],  beta Lactamase Inhibitors [MoA]","N/A","No","12/31/2026"
"Amoxicillin","50090-0304-0","500 mg/1","CAPSULE","ORAL","ANDA065291","A-S Medication Solutions","50090-0304","Amoxicillin","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","11/28/2014","N/A","ANDA","30 CAPSULE in 1 BOTTLE (50090-0304-0)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026"
"Amoxicillin","68071-1760-1","125 mg/5mL","POWDER, FOR SUSPENSION","ORAL","ANDA065322","NuCare Pharmaceuticals,Inc.","68071-1760","Amoxicillin","AMOXICILLIN","HUMAN PRESCRIPTION DRUG","12/04/2017","N/A","ANDA","100 mL in 1 BOTTLE (68071-1760-1)","Penicillin-class Antibacterial [EPC],  Penicillins [CS]","N/A","No","12/31/2026"
