Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
AZASITE,82584-307-03,10 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,NDA050810,Thea Pharma Inc.,82584-307,azithromycin monohydrate,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,11/01/2022,N/A,NDA,"1 BOTTLE, DROPPER in 1 CARTON (82584-307-03) / 2.5 mL in 1 BOTTLE, DROPPER","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
AZASITE,82584-307-02,10 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,NDA050810,Thea Pharma Inc.,82584-307,azithromycin monohydrate,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,11/01/2022,N/A,NDA,"1 BOTTLE, DROPPER in 1 CARTON (82584-307-02) / 2.5 mL in 1 BOTTLE, DROPPER","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,Yes,12/31/2026
Azithromycin,0093-2026-94,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA065246,"Teva Pharmaceuticals USA, Inc.",0093-2026,Azithromycin,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,01/20/2011,N/A,ANDA,22.5 mL in 1 BOTTLE (0093-2026-94),"Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
Azithromycin,0093-2026-31,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA065246,"Teva Pharmaceuticals USA, Inc.",0093-2026,Azithromycin,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,12/28/2010,N/A,ANDA,30 mL in 1 BOTTLE (0093-2026-31),"Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
Azithromycin,0093-2026-23,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA065246,"Teva Pharmaceuticals USA, Inc.",0093-2026,Azithromycin,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,12/17/2010,N/A,ANDA,15 mL in 1 BOTTLE (0093-2026-23),"Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
Azithromycin,0093-2027-23,100 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA065246,"Teva Pharmaceuticals USA, Inc.",0093-2027,Azithromycin,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,12/28/2010,N/A,ANDA,15 mL in 1 BOTTLE (0093-2027-23),"Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
azithromycin,0527-2370-32,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA209045,"Lannett Company, Inc.",0527-2370,AZITHROMYCIN,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,07/04/2019,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (0527-2370-32)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
azithromycin,0527-2370-20,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA209045,"Lannett Company, Inc.",0527-2370,AZITHROMYCIN,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,10/22/2024,N/A,ANDA,"6 TABLET, FILM COATED in 1 BLISTER PACK (0527-2370-20)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
azithromycin,0527-2395-32,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA209044,"Lannett Company, Inc.",0527-2395,AZITHROMYCIN,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,07/04/2019,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (0527-2395-32)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
azithromycin,0527-2395-19,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA209044,"Lannett Company, Inc.",0527-2395,AZITHROMYCIN,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,07/04/2019,N/A,ANDA,"1 BLISTER PACK in 1 CARTON (0527-2395-19) / 3 TABLET, FILM COATED in 1 BLISTER PACK","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
Azithromycin,0781-8089-69,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA065211,Sandoz Inc,0781-8089,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2019,N/A,ANDA,"5 BLISTER PACK in 1 CARTON (0781-8089-69) / 10 TABLET, FILM COATED in 1 BLISTER PACK","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,0781-8089-31,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA065211,Sandoz Inc,0781-8089,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2019,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (0781-8089-31)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,0781-8089-26,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA065211,Sandoz Inc,0781-8089,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2019,N/A,ANDA,"6 DOSE PACK in 1 CARTON (0781-8089-26) / 1 TABLET, FILM COATED in 1 DOSE PACK","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,0781-8090-31,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA065212,Sandoz Inc,0781-8090,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2019,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (0781-8090-31)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,0781-8090-03,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA065212,Sandoz Inc,0781-8090,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2019,N/A,ANDA,"1 DOSE PACK in 1 CARTON (0781-8090-03) / 3 TABLET, FILM COATED in 1 DOSE PACK","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,0781-8091-31,600 mg/1,"TABLET, FILM COATED",ORAL,ANDA065209,Sandoz Inc,0781-8091,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,02/14/2019,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (0781-8091-31)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
azithromycin,0904-7350-61,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA065398,Major Pharmaceuticals,0904-7350,azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,05/01/2023,N/A,ANDA,"100 BLISTER PACK in 1 CARTON (0904-7350-61) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
azithromycin,0904-7350-06,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA065398,Major Pharmaceuticals,0904-7350,azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,05/01/2023,N/A,ANDA,"50 BLISTER PACK in 1 CARTON (0904-7350-06) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
azithromycin,0904-7351-04,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA065399,Major Pharmaceuticals,0904-7351,azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,05/01/2023,N/A,ANDA,"30 BLISTER PACK in 1 CARTON (0904-7351-04) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,11788-128-13,100 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA217036,"AiPing Pharmaceutical, Inc.",11788-128,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,01/16/2026,N/A,ANDA,1 BOTTLE in 1 CARTON (11788-128-13) / 15 mL in 1 BOTTLE,"Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,11788-129-15,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA217036,"AiPing Pharmaceutical, Inc.",11788-129,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,01/16/2026,N/A,ANDA,1 BOTTLE in 1 CARTON (11788-129-15) / 30 mL in 1 BOTTLE,"Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,11788-129-13,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA217036,"AiPing Pharmaceutical, Inc.",11788-129,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,01/16/2026,N/A,ANDA,1 BOTTLE in 1 CARTON (11788-129-13) / 15 mL in 1 BOTTLE,"Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,11788-129-14,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA217036,"AiPing Pharmaceutical, Inc.",11788-129,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,01/16/2026,N/A,ANDA,1 BOTTLE in 1 CARTON (11788-129-14) / 22.5 mL in 1 BOTTLE,"Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
AZITHROMYCIN,24658-706-32,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA207531,PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS,24658-706,AZITHROMYCIN,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,04/30/2020,N/A,ANDA,"15 mL in 1 BOTTLE, PLASTIC (24658-706-32)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
AZITHROMYCIN,24658-707-33,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA207531,PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS,24658-707,AZITHROMYCIN,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,05/30/2025,N/A,ANDA,"22.5 mL in 1 BOTTLE, PLASTIC (24658-707-33)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
AZITHROMYCIN,24658-708-34,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA207531,PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS,24658-708,AZITHROMYCIN,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,04/30/2020,N/A,ANDA,"30 mL in 1 BOTTLE, PLASTIC (24658-708-34)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
Azithromycin,25021-180-10,500 mg/5mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA065501,Sagent Pharmaceuticals,25021-180,azithromycin monohydrate,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,08/01/2025,N/A,ANDA,10 VIAL in 1 CARTON (25021-180-10) / 5 mL in 1 VIAL,"Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
Azithromycin,25021-180-66,500 mg/5mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA065501,Sagent Pharmaceuticals,25021-180,azithromycin monohydrate,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,09/15/2024,N/A,ANDA,10 VIAL in 1 CARTON (25021-180-66) / 5 mL in 1 VIAL,"Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
Azithromycin,42291-044-30,600 mg/1,"TABLET, FILM COATED",ORAL,ANDA065218,AvKARE,42291-044,Azithromycin,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,04/24/2024,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (42291-044-30)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,42291-082-06,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA210000,AvKARE,42291-082,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,04/11/2022,N/A,ANDA,"6 TABLET, FILM COATED in 1 BOTTLE (42291-082-06)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,42291-082-30,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA210000,AvKARE,42291-082,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,04/11/2022,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (42291-082-30)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,42291-083-03,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA210001,AvKARE,42291-083,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,04/11/2022,N/A,ANDA,"3 TABLET, FILM COATED in 1 BOTTLE (42291-083-03)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,42291-083-30,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA210001,AvKARE,42291-083,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,04/11/2022,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (42291-083-30)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
AZITHROMYCIN,42806-147-31,100 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA207531,"Epic Pharma, LLC",42806-147,azithromycin,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,04/10/2018,N/A,ANDA,"15 mL in 1 BOTTLE, PLASTIC (42806-147-31)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
AZITHROMYCIN,42806-149-32,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA207531,"Epic Pharma, LLC",42806-149,azithromycin,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,04/10/2018,N/A,ANDA,"15 mL in 1 BOTTLE, PLASTIC (42806-149-32)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
AZITHROMYCIN,42806-150-33,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA207531,"Epic Pharma, LLC",42806-150,azithromycin,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,04/10/2018,N/A,ANDA,"22.5 mL in 1 BOTTLE, PLASTIC (42806-150-33)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
AZITHROMYCIN,42806-151-34,200 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA207531,"Epic Pharma, LLC",42806-151,azithromycin,AZITHROMYCIN MONOHYDRATE,HUMAN PRESCRIPTION DRUG,04/10/2018,N/A,ANDA,"30 mL in 1 BOTTLE, PLASTIC (42806-151-34)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2027
Azithromycin,46708-057-06,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA211791,Alembic Pharmaceuticals Limited,46708-057,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,01/29/2020,N/A,ANDA,"18 BLISTER PACK in 1 CARTON (46708-057-06) / 6 TABLET, FILM COATED in 1 BLISTER PACK","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
Azithromycin,46708-057-18,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA211791,Alembic Pharmaceuticals Limited,46708-057,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,01/29/2020,N/A,ANDA,"18 BLISTER PACK in 1 CARTON (46708-057-18) / 6 TABLET, FILM COATED in 1 BLISTER PACK","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
Azithromycin,46708-057-30,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA211791,Alembic Pharmaceuticals Limited,46708-057,Azithromycin,AZITHROMYCIN DIHYDRATE,HUMAN PRESCRIPTION DRUG,01/29/2020,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (46708-057-30)","Macrolide Antimicrobial [EPC], Macrolides [CS]",N/A,No,12/31/2026
