Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Cefepime,0338-1301-48,1 g/50mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA050817,Baxter Healthcare Corporation,0338-1301,cefepime,CEFEPIME HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/05/2008,N/A,NDA,12 BAG in 1 BOX (0338-1301-48) / 100 mL in 1 BAG,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2027
Cefepime,0338-1301-41,1 g/50mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA050817,Baxter Healthcare Corporation,0338-1301,cefepime,CEFEPIME HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/05/2008,N/A,NDA,24 BAG in 1 BOX (0338-1301-41) / 50 mL in 1 BAG,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2027
Cefepime,0409-9566-10,1 g/1,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA065441,"Hospira, Inc.",0409-9566,Cefepime,CEFEPIME HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/24/2020,N/A,ANDA,"10 VIAL in 1 CARTON (0409-9566-10) / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL (0409-9566-01)","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2026
Cefepime,0409-9735-10,2 g/1,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,ANDA065441,"Hospira, Inc.",0409-9735,Cefepime,CEFEPIME HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/24/2020,N/A,ANDA,"10 VIAL in 1 CARTON (0409-9735-10) / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL (0409-9735-01)","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2026
cefepime,25021-121-20,1 g/20mL,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA065441,Sagent Pharmaceuticals,25021-121,cefepime hydrochloride,CEFEPIME HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/01/2008,N/A,ANDA,10 VIAL in 1 CARTON (25021-121-20) / 20 mL in 1 VIAL,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2027
cefepime,25021-122-50,2 g/20mL,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,ANDA065441,Sagent Pharmaceuticals,25021-122,cefepime hydrochloride,CEFEPIME HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/01/2008,N/A,ANDA,10 VIAL in 1 CARTON (25021-122-50) / 20 mL in 1 VIAL,"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2027
Cefepime,44567-130-10,1 g/1,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA065441,"WG Critical Care, LLC",44567-130,Cefepime,CEFEPIME HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/31/2021,N/A,ANDA,"10 VIAL in 1 CARTON (44567-130-10) / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2027
Cefepime,44567-131-10,2 g/1,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,ANDA065441,"WG Critical Care, LLC",44567-131,Cefepime,CEFEPIME HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/31/2021,N/A,ANDA,"10 VIAL in 1 CARTON (44567-131-10) / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2027
Cefepime,44567-240-10,1 g/1,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA065441,"WG Critical Care, LLC",44567-240,Cefepime,CEFEPIME HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/10/2014,N/A,ANDA,"10 VIAL in 1 CARTON (44567-240-10) / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2027
Cefepime,44567-241-10,2 g/1,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,ANDA065441,"WG Critical Care, LLC",44567-241,Cefepime,CEFEPIME HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/10/2014,N/A,ANDA,"10 VIAL in 1 CARTON (44567-241-10) / 1 INJECTION, POWDER, FOR SOLUTION in 1 VIAL","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2027
