Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Cefuroxime axetil,0904-7542-10,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA065496,Major Pharmaceuticals,0904-7542,Cefuroxime axetil,CEFUROXIME AXETIL,HUMAN PRESCRIPTION DRUG,08/25/2025,N/A,ANDA,"2 BLISTER PACK in 1 CARTON (0904-7542-10) / 10 TABLET, FILM COATED in 1 BLISTER PACK","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2026
Cefuroxime Axetil,16714-400-02,250 mg/1,TABLET,ORAL,ANDA065308,NorthStar Rx LLC,16714-400,Cefuroxime Axetil,CEFUROXIME AXETIL,HUMAN PRESCRIPTION DRUG,03/29/2006,N/A,ANDA,60 TABLET in 1 BOTTLE (16714-400-02),"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2026
Cefuroxime Axetil,16714-400-01,250 mg/1,TABLET,ORAL,ANDA065308,NorthStar Rx LLC,16714-400,Cefuroxime Axetil,CEFUROXIME AXETIL,HUMAN PRESCRIPTION DRUG,03/29/2006,N/A,ANDA,20 TABLET in 1 BOTTLE (16714-400-01),"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2026
Cefuroxime Axetil,16714-401-02,500 mg/1,TABLET,ORAL,ANDA065308,NorthStar Rx LLC,16714-401,Cefuroxime Axetil,CEFUROXIME AXETIL,HUMAN PRESCRIPTION DRUG,03/29/2006,N/A,ANDA,60 TABLET in 1 BOTTLE (16714-401-02),"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2026
Cefuroxime Axetil,16714-401-01,500 mg/1,TABLET,ORAL,ANDA065308,NorthStar Rx LLC,16714-401,Cefuroxime Axetil,CEFUROXIME AXETIL,HUMAN PRESCRIPTION DRUG,03/29/2006,N/A,ANDA,20 TABLET in 1 BOTTLE (16714-401-01),"Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2026
Cefuroxime Axetil,43063-623-14,250 mg/1,TABLET,ORAL,ANDA065308,"PD-Rx Pharmaceuticals, Inc.",43063-623,Cefuroxime Axetil,CEFUROXIME AXETIL,HUMAN PRESCRIPTION DRUG,10/10/2024,N/A,ANDA,"14 TABLET in 1 BOTTLE, PLASTIC (43063-623-14)","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2027
Cefuroxime Axetil,43063-623-20,250 mg/1,TABLET,ORAL,ANDA065308,"PD-Rx Pharmaceuticals, Inc.",43063-623,Cefuroxime Axetil,CEFUROXIME AXETIL,HUMAN PRESCRIPTION DRUG,10/27/2015,N/A,ANDA,"20 TABLET in 1 BOTTLE, PLASTIC (43063-623-20)","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2027
Cefuroxime axetil,43063-656-14,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA065496,"PD-Rx Pharmaceuticals, Inc.",43063-656,Cefuroxime axetil,CEFUROXIME AXETIL,HUMAN PRESCRIPTION DRUG,07/08/2024,N/A,ANDA,"14 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (43063-656-14)","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2026
Cefuroxime axetil,43063-656-20,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA065496,"PD-Rx Pharmaceuticals, Inc.",43063-656,Cefuroxime axetil,CEFUROXIME AXETIL,HUMAN PRESCRIPTION DRUG,02/05/2016,N/A,ANDA,"20 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (43063-656-20)","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2026
Cefuroxime axetil,43063-657-60,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA065496,"PD-Rx Pharmaceuticals, Inc.",43063-657,Cefuroxime axetil,CEFUROXIME AXETIL,HUMAN PRESCRIPTION DRUG,12/18/2019,N/A,ANDA,"60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (43063-657-60)","Cephalosporin Antibacterial [EPC], Cephalosporins [CS]",N/A,No,12/31/2026
