Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Clarithromycin,0527-1930-06,500 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,ANDA208987,"Lannett Company, Inc.",0527-1930,Clarithromycin,CLARITHROMYCIN,HUMAN PRESCRIPTION DRUG,09/10/2019,N/A,ANDA,"60 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE (0527-1930-06)","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Clarithromycin,0527-1931-06,250 mg/1,"TABLET, FILM COATED",ORAL,ANDA203584,"Lannett Company, Inc.",0527-1931,Clarithromycin,CLARITHROMYCIN,HUMAN PRESCRIPTION DRUG,11/23/2019,N/A,ANDA,"60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0527-1931-06)","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Clarithromycin,0527-1932-06,500 mg/1,"TABLET, FILM COATED",ORAL,ANDA203584,"Lannett Company, Inc.",0527-1932,Clarithromycin,CLARITHROMYCIN,HUMAN PRESCRIPTION DRUG,11/23/2019,N/A,ANDA,"60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0527-1932-06)","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
clarithromycin,0591-2805-60,500 mg/1,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,ANDA065145,"Actavis Pharma, Inc.",0591-2805,clarithromycin,CLARITHROMYCIN,HUMAN PRESCRIPTION DRUG,02/27/2014,N/A,ANDA,"60 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0591-2805-60)","Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2027
Clarithromycin,0781-1961-60,250 mg/1,TABLET,ORAL,ANDA065144,Sandoz Inc,0781-1961,Clarithromycin,CLARITHROMYCIN,HUMAN PRESCRIPTION DRUG,10/18/2005,N/A,ANDA,60 TABLET in 1 BOTTLE (0781-1961-60),"Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Clarithromycin,0781-1962-60,500 mg/1,TABLET,ORAL,ANDA065136,Sandoz Inc,0781-1962,Clarithromycin,CLARITHROMYCIN,HUMAN PRESCRIPTION DRUG,08/25/2005,N/A,ANDA,60 TABLET in 1 BOTTLE (0781-1962-60),"Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Clarithromycin,0781-6022-46,125 mg/5mL,FOR SUSPENSION,ORAL,ANDA065283,Sandoz Inc,0781-6022,Clarithromycin,CLARITHROMYCIN,HUMAN PRESCRIPTION DRUG,09/04/2007,N/A,ANDA,100 mL in 1 BOTTLE (0781-6022-46),"Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Clarithromycin,0781-6022-52,125 mg/5mL,FOR SUSPENSION,ORAL,ANDA065283,Sandoz Inc,0781-6022,Clarithromycin,CLARITHROMYCIN,HUMAN PRESCRIPTION DRUG,09/04/2007,N/A,ANDA,50 mL in 1 BOTTLE (0781-6022-52),"Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Clarithromycin,0781-6023-52,250 mg/5mL,FOR SUSPENSION,ORAL,ANDA065283,Sandoz Inc,0781-6023,Clarithromycin,CLARITHROMYCIN,HUMAN PRESCRIPTION DRUG,09/04/2007,N/A,ANDA,50 mL in 1 BOTTLE (0781-6023-52),"Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
Clarithromycin,0781-6023-46,250 mg/5mL,FOR SUSPENSION,ORAL,ANDA065283,Sandoz Inc,0781-6023,Clarithromycin,CLARITHROMYCIN,HUMAN PRESCRIPTION DRUG,09/04/2007,N/A,ANDA,100 mL in 1 BOTTLE (0781-6023-46),"Cytochrome P450 3A Inhibitors [MoA], Cytochrome P450 3A4 Inhibitors [MoA], Macrolide Antimicrobial [EPC], Macrolides [CS], P-Glycoprotein Inhibitors [MoA]",N/A,No,12/31/2026
