Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Acticlate,16110-601-01,75 mg/1,CAPSULE,ORAL,NDA208253,Aqua Pharmaceuticals,16110-601,doxycycline hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,05/31/2018,N/A,NDA,60 CAPSULE in 1 BOTTLE (16110-601-01),"Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2026
DORYX MPC,51862-560-60,60 mg/1,"TABLET, DELAYED RELEASE",ORAL,NDA050795,Mayne Pharma Commercial LLC,51862-560,doxycycline hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,05/13/2024,N/A,NDA,"60 TABLET, DELAYED RELEASE in 1 BOTTLE (51862-560-60)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
DORYX MPC,51862-560-00,60 mg/1,"TABLET, DELAYED RELEASE",ORAL,NDA050795,Mayne Pharma Commercial LLC,51862-560,doxycycline hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,01/02/2023,N/A,NDA,"1 BOTTLE in 1 CARTON (51862-560-00) / 6 TABLET, DELAYED RELEASE in 1 BOTTLE","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycyclate Hyclate,70518-1627-9,100 mg/1,CAPSULE,ORAL,ANDA062396,REMEDYREPACK INC.,70518-1627,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,06/15/2023,N/A,ANDA,"56 CAPSULE in 1 BOTTLE, PLASTIC (70518-1627-9)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycyclate Hyclate,70518-1627-8,100 mg/1,CAPSULE,ORAL,ANDA062396,REMEDYREPACK INC.,70518-1627,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,06/14/2023,N/A,ANDA,"28 CAPSULE in 1 BOTTLE, PLASTIC (70518-1627-8)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycyclate Hyclate,70518-1627-7,100 mg/1,CAPSULE,ORAL,ANDA062396,REMEDYREPACK INC.,70518-1627,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,06/08/2022,N/A,ANDA,"20 CAPSULE in 1 BOTTLE, PLASTIC (70518-1627-7)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycyclate Hyclate,70518-1627-5,100 mg/1,CAPSULE,ORAL,ANDA062396,REMEDYREPACK INC.,70518-1627,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,07/15/2021,N/A,ANDA,"14 CAPSULE in 1 BOTTLE, PLASTIC (70518-1627-5)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycyclate Hyclate,70518-1627-4,100 mg/1,CAPSULE,ORAL,ANDA062396,REMEDYREPACK INC.,70518-1627,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,10/20/2020,N/A,ANDA,"14 CAPSULE in 1 BOTTLE, PLASTIC (70518-1627-4)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycyclate Hyclate,70518-1627-0,100 mg/1,CAPSULE,ORAL,ANDA062396,REMEDYREPACK INC.,70518-1627,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,11/02/2018,N/A,ANDA,30 CAPSULE in 1 BLISTER PACK (70518-1627-0),"Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycycline,42192-501-50,100 mg/1,"TABLET, COATED",ORAL,ANDA210664,"Acella Pharmaceuticals, LLC",42192-501,Doxycycline hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,08/21/2020,N/A,ANDA,"50 TABLET, COATED in 1 BOTTLE (42192-501-50)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycycline,42192-501-05,100 mg/1,"TABLET, COATED",ORAL,ANDA210664,"Acella Pharmaceuticals, LLC",42192-501,Doxycycline hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,08/21/2020,N/A,ANDA,"500 TABLET, COATED in 1 BOTTLE (42192-501-05)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycycline,55154-7128-5,100 mg/1,"TABLET, COATED",ORAL,ANDA065095,"Cardinal Health 107, LLC",55154-7128,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,03/22/2013,N/A,ANDA,"10 BLISTER PACK in 1 BAG (55154-7128-5) / 1 TABLET, COATED in 1 BLISTER PACK","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2026
Doxycycline,55289-866-07,100 mg/1,"TABLET, COATED",ORAL,ANDA065095,"PD-Rx Pharmaceuticals, Inc.",55289-866,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,09/07/2016,N/A,ANDA,"7 TABLET, COATED in 1 BOTTLE, PLASTIC (55289-866-07)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycycline,55289-866-06,100 mg/1,"TABLET, COATED",ORAL,ANDA065095,"PD-Rx Pharmaceuticals, Inc.",55289-866,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,12/02/2008,N/A,ANDA,"6 TABLET, COATED in 1 BOTTLE, PLASTIC (55289-866-06)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycycline,55289-866-50,100 mg/1,"TABLET, COATED",ORAL,ANDA065095,"PD-Rx Pharmaceuticals, Inc.",55289-866,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,12/26/2024,N/A,ANDA,"50 TABLET, COATED in 1 BOTTLE, PLASTIC (55289-866-50)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycycline,55289-866-85,100 mg/1,"TABLET, COATED",ORAL,ANDA065095,"PD-Rx Pharmaceuticals, Inc.",55289-866,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,12/02/2008,N/A,ANDA,"330 TABLET, COATED in 1 BOTTLE, PLASTIC (55289-866-85)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
Doxycycline,55289-866-74,100 mg/1,"TABLET, COATED",ORAL,ANDA065095,"PD-Rx Pharmaceuticals, Inc.",55289-866,Doxycycline Hyclate,DOXYCYCLINE HYCLATE,HUMAN PRESCRIPTION DRUG,12/02/2008,N/A,ANDA,"400 TABLET, COATED in 1 BOTTLE, PLASTIC (55289-866-74)","Tetracycline-class Drug [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
