Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Ertapenem,0143-9429-10,1 g/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA218067,Hikma Pharmaceuticals USA Inc.,0143-9429,ertapenem sodium,ERTAPENEM SODIUM,HUMAN PRESCRIPTION DRUG,02/28/2025,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (0143-9429-10) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (0143-9429-01)","Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
Ertapenem,0409-3510-22,1 g/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA208790,"Hospira, Inc.",0409-3510,Ertapenem,ERTAPENEM SODIUM,HUMAN PRESCRIPTION DRUG,10/19/2020,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (0409-3510-22) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (0409-3510-21)","Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
Ertapenem,25021-199-20,1 g/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA218067,Sagent Pharmaceuticals,25021-199,Ertapenem Sodium,ERTAPENEM SODIUM,HUMAN PRESCRIPTION DRUG,08/15/2025,N/A,ANDA,"10 VIAL in 1 CARTON (25021-199-20) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL","Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
Ertapenem,25021-199-66,1 g/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA218067,Sagent Pharmaceuticals,25021-199,Ertapenem Sodium,ERTAPENEM SODIUM,HUMAN PRESCRIPTION DRUG,01/15/2026,N/A,ANDA,"10 VIAL in 1 CARTON (25021-199-66) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL","Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2027
ERTAPENEM,42023-221-85,1 g/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,NDA021337,"ENDO USA, Inc.",42023-221,ertapenem sodium,ERTAPENEM SODIUM,HUMAN PRESCRIPTION DRUG,11/01/2018,N/A,NDA,"10 VIAL, SINGLE-DOSE in 1 PACKAGE (42023-221-85) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (42023-221-89)","Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2027
ERTAPENEM,42023-221-10,1 g/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,NDA021337,"ENDO USA, Inc.",42023-221,ertapenem sodium,ERTAPENEM SODIUM,HUMAN PRESCRIPTION DRUG,07/26/2018,N/A,NDA,"10 VIAL, SINGLE-DOSE in 1 PACKAGE (42023-221-10) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (42023-221-01)","Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2027
ertapenem,44567-820-10,1 g/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA208790,"WG Critical Care, LLC",44567-820,ertapenem,ERTAPENEM SODIUM,HUMAN PRESCRIPTION DRUG,01/07/2020,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (44567-820-10) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (44567-820-01)","Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
Ertapenem,44647-051-10,1 g/20mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA207647,Savior Lifetec Corporation,44647-051,Ertapenem Sodium,ERTAPENEM SODIUM,HUMAN PRESCRIPTION DRUG,03/19/2019,N/A,ANDA,10 VIAL in 1 CARTON (44647-051-10) / 20 mL in 1 VIAL (44647-051-01),"Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
Ertapenem,51810-504-02,1 g/1,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA218067,"Qilu Antibiotics Pharmaceutical Co., Ltd.",51810-504,ertapenem sodium,ERTAPENEM SODIUM,HUMAN PRESCRIPTION DRUG,10/31/2024,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (51810-504-02) / 1 INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION in 1 VIAL, SINGLE-DOSE (51810-504-01)","Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
Ertapenem,55150-282-20,1 g/1,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA209133,Eugia US LLC,55150-282,Ertapenem,ERTAPENEM SODIUM,HUMAN PRESCRIPTION DRUG,06/25/2018,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (55150-282-20) / 1 INJECTION in 1 VIAL, SINGLE-DOSE","Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
