Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Gentak,63187-873-35,3 mg/g,OINTMENT,OPHTHALMIC,ANDA064093,Proficient Rx LP,63187-873,Gentamicin Sulfate,GENTAMICIN SULFATE,HUMAN PRESCRIPTION DRUG,07/03/2017,N/A,ANDA,1 TUBE in 1 CARTON (63187-873-35) / 3.5 g in 1 TUBE,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Gentamicin,0404-9866-20,40 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA062366,"Henry Schein, Inc",0404-9866,Gentamicin Sulfate,GENTAMICIN SULFATE,HUMAN PRESCRIPTION DRUG,01/10/2022,N/A,ANDA,"1 VIAL, MULTI-DOSE in 1 BAG (0404-9866-20) / 20 mL in 1 VIAL, MULTI-DOSE","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Gentamicin,63323-010-96,40 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA062366,"Fresenius Kabi USA, LLC",63323-010,GENTAMICIN SULFATE,GENTAMICIN SULFATE,HUMAN PRESCRIPTION DRUG,08/10/2000,N/A,ANDA,"25 VIAL, MULTI-DOSE in 1 TRAY (63323-010-96) / 20 mL in 1 VIAL, MULTI-DOSE","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Gentamicin,63323-010-95,40 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA062366,"Fresenius Kabi USA, LLC",63323-010,GENTAMICIN SULFATE,GENTAMICIN SULFATE,HUMAN PRESCRIPTION DRUG,08/10/2000,N/A,ANDA,"25 VIAL, MULTI-DOSE in 1 TRAY (63323-010-95) / 20 mL in 1 VIAL, MULTI-DOSE (63323-010-42)","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Gentamicin,63323-010-94,40 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA062366,"Fresenius Kabi USA, LLC",63323-010,GENTAMICIN SULFATE,GENTAMICIN SULFATE,HUMAN PRESCRIPTION DRUG,08/10/2000,N/A,ANDA,"25 VIAL, MULTI-DOSE in 1 TRAY (63323-010-94) / 2 mL in 1 VIAL, MULTI-DOSE (63323-010-41)","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Gentamicin,63323-010-02,40 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA062366,"Fresenius Kabi USA, LLC",63323-010,GENTAMICIN SULFATE,GENTAMICIN SULFATE,HUMAN PRESCRIPTION DRUG,08/10/2000,N/A,ANDA,25 VIAL in 1 TRAY (63323-010-02) / 2 mL in 1 VIAL (63323-010-01),"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Gentamicin,63323-010-20,40 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA062366,"Fresenius Kabi USA, LLC",63323-010,GENTAMICIN SULFATE,GENTAMICIN SULFATE,HUMAN PRESCRIPTION DRUG,08/10/2000,N/A,ANDA,25 VIAL in 1 TRAY (63323-010-20) / 20 mL in 1 VIAL (63323-010-03),"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Gentamicin,71872-7311-1,40 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA062366,"Medical Purchasing Solutions, LLC",71872-7311,GENTAMICIN SULFATE,GENTAMICIN SULFATE,HUMAN PRESCRIPTION DRUG,09/22/2023,N/A,ANDA,1 VIAL in 1 BAG (71872-7311-1) / 2 mL in 1 VIAL,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Gentamicin Sulfate,0404-9865-02,40 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA062420,"Henry Schein, Inc.",0404-9865,Gentamicin Sulfate,GENTAMICIN SULFATE,HUMAN PRESCRIPTION DRUG,01/10/2022,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 BAG (0404-9865-02) / 2 mL in 1 VIAL, SINGLE-DOSE","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Gentamicin Sulfate,0409-1207-03,40 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA062420,"Hospira, Inc.",0409-1207,GENTAMICIN SULFATE,GENTAMICIN SULFATE,HUMAN PRESCRIPTION DRUG,08/29/2005,N/A,ANDA,"25 VIAL, SINGLE-DOSE in 1 TRAY (0409-1207-03) / 2 mL in 1 VIAL, SINGLE-DOSE (0409-1207-13)","Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2027
