Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Linezolid,0054-0319-50,100 mg/5mL,"POWDER, FOR SUSPENSION",ORAL,ANDA200068,Hikma Pharmaceuticals USA Inc.,0054-0319,linezolid,LINEZOLID,HUMAN PRESCRIPTION DRUG,06/03/2015,N/A,ANDA,150 mL in 1 BOTTLE (0054-0319-50),"Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",N/A,No,12/31/2027
Linezolid,0143-9534-10,600 mg/300mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA206454,Hikma Pharmaceuticals USA Inc.,0143-9534,Linezolid,LINEZOLID,HUMAN PRESCRIPTION DRUG,12/27/2022,N/A,ANDA,10 POUCH in 1 BOX (0143-9534-10) / 1 BAG in 1 POUCH / 300 mL in 1 BAG,"Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",N/A,No,12/31/2026
Linezolid,0409-4883-10,2 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA206473,"Hospira, Inc.",0409-4883,LINEZOLID,LINEZOLID,HUMAN PRESCRIPTION DRUG,06/19/2023,N/A,NDA,10 POUCH in 1 CASE (0409-4883-10) / 1 BAG in 1 POUCH / 300 mL in 1 BAG (0409-4883-03),"Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",N/A,No,12/31/2027
Linezolid,0781-3433-95,600 mg/300mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA200904,Sandoz Inc,0781-3433,Linezolid,LINEZOLID,HUMAN PRESCRIPTION DRUG,06/15/2016,N/A,ANDA,10 BAG in 1 CARTON (0781-3433-95) / 300 mL in 1 BAG (0781-3433-46),"Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",N/A,No,12/31/2026
Linezolid,0904-6553-04,600 mg/1,"TABLET, FILM COATED",ORAL,ANDA205517,Major Pharmaceuticals,0904-6553,Linezolid,LINEZOLID,HUMAN PRESCRIPTION DRUG,12/21/2015,N/A,ANDA,"30 BLISTER PACK in 1 CARTON (0904-6553-04) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",N/A,No,12/31/2026
Linezolid,31722-749-20,600 mg/1,"TABLET, FILM COATED",ORAL,ANDA204239,"Camber Pharmaceuticals, Inc.",31722-749,Linezolid,LINEZOLID,HUMAN PRESCRIPTION DRUG,12/21/2015,N/A,ANDA,"20 TABLET, FILM COATED in 1 BOTTLE (31722-749-20)","Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",N/A,No,12/31/2026
Linezolid,31722-749-01,600 mg/1,"TABLET, FILM COATED",ORAL,ANDA204239,"Camber Pharmaceuticals, Inc.",31722-749,Linezolid,LINEZOLID,HUMAN PRESCRIPTION DRUG,12/21/2015,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (31722-749-01)","Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",N/A,No,12/31/2026
Linezolid,31722-749-30,600 mg/1,"TABLET, FILM COATED",ORAL,ANDA204239,"Camber Pharmaceuticals, Inc.",31722-749,Linezolid,LINEZOLID,HUMAN PRESCRIPTION DRUG,12/21/2015,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (31722-749-30)","Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",N/A,No,12/31/2026
Linezolid,31722-749-31,600 mg/1,"TABLET, FILM COATED",ORAL,ANDA204239,"Camber Pharmaceuticals, Inc.",31722-749,Linezolid,LINEZOLID,HUMAN PRESCRIPTION DRUG,12/21/2015,N/A,ANDA,"150 TABLET, FILM COATED in 1 CARTON (31722-749-31)","Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",N/A,No,12/31/2026
Linezolid,31722-865-25,100 mg/5mL,"GRANULE, FOR SUSPENSION",ORAL,ANDA211813,"Camber Pharmaceuticals, Inc.",31722-865,Linezolid,LINEZOLID,HUMAN PRESCRIPTION DRUG,10/31/2022,N/A,ANDA,"1 BOTTLE, GLASS in 1 CARTON (31722-865-25) / 150 mL in 1 BOTTLE, GLASS","Oxazolidinone Antibacterial [EPC], Oxazolidinones [CS]",N/A,No,12/31/2026
