Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Meropenem,0143-9430-10,500 mg/20mL,INJECTION,INTRAVENOUS,ANDA216424,Hikma Pharmaceuticals USA Inc.,0143-9430,Meropenem,MEROPENEM,HUMAN PRESCRIPTION DRUG,09/01/2024,N/A,ANDA,10 VIAL in 1 CARTON (0143-9430-10) / 20 mL in 1 VIAL (0143-9430-01),"Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
Meropenem,0143-9431-10,1 g/30mL,INJECTION,INTRAVENOUS,ANDA216424,Hikma Pharmaceuticals USA Inc.,0143-9431,Meropenem,MEROPENEM,HUMAN PRESCRIPTION DRUG,09/01/2024,N/A,ANDA,10 VIAL in 1 CARTON (0143-9431-10) / 30 mL in 1 VIAL (0143-9431-01),"Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
Meropenem,0143-9485-10,500 mg/10mL,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,ANDA210773,Hikma Pharmaceuticals USA Inc.,0143-9485,Meropenem,MEROPENEM,HUMAN PRESCRIPTION DRUG,08/25/2026,N/A,ANDA,10 VIAL in 1 CARTON (0143-9485-10) / 10 mL in 1 VIAL (0143-9485-01),"Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2027
Meropenem,0143-9486-10,1 g/20mL,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,ANDA210773,Hikma Pharmaceuticals USA Inc.,0143-9486,Meropenem,MEROPENEM,HUMAN PRESCRIPTION DRUG,06/08/2026,N/A,ANDA,10 VIAL in 1 CARTON (0143-9486-10) / 20 mL in 1 VIAL (0143-9486-01),"Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2027
Meropenem,0409-0222-10,500 mg/10mL,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,ANDA091404,"Hospira, Inc.",0409-0222,Meropenem,MEROPENEM,HUMAN PRESCRIPTION DRUG,12/06/2022,N/A,ANDA,10 VIAL in 1 CARTON (0409-0222-10) / 10 mL in 1 VIAL (0409-0222-01),"Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
Meropenem,0409-1390-51,500 mg/10mL,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,ANDA091404,"Hospira, Inc.",0409-1390,Meropenem,MEROPENEM,HUMAN PRESCRIPTION DRUG,10/09/2019,N/A,ANDA,10 VIAL in 1 CARTON (0409-1390-51) / 10 mL in 1 VIAL (0409-1390-21),"Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
Meropenem,0409-1391-22,1 g/20mL,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,ANDA091404,"Hospira, Inc.",0409-1391,Meropenem,MEROPENEM,HUMAN PRESCRIPTION DRUG,10/09/2019,N/A,ANDA,10 VIAL in 1 CARTON (0409-1391-22) / 20 mL in 1 VIAL (0409-1391-21),"Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
Meropenem,0409-3412-10,1 g/20mL,"INJECTION, POWDER, FOR SOLUTION",INTRAVENOUS,ANDA091404,"Hospira, Inc.",0409-3412,Meropenem,MEROPENEM,HUMAN PRESCRIPTION DRUG,12/06/2022,N/A,ANDA,10 VIAL in 1 CARTON (0409-3412-10) / 20 mL in 1 VIAL (0409-3412-01),"Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
MEROPENEM,0781-3000-96,500 mg/20mL,INJECTION,INTRAVENOUS,ANDA206086,Sandoz Inc,0781-3000,MEROPENEM,MEROPENEM,HUMAN PRESCRIPTION DRUG,08/29/2016,N/A,ANDA,25 VIAL in 1 CARTON (0781-3000-96) / 20 mL in 1 VIAL (0781-3000-94),"Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
MEROPENEM,0781-3000-95,500 mg/20mL,INJECTION,INTRAVENOUS,ANDA206086,Sandoz Inc,0781-3000,MEROPENEM,MEROPENEM,HUMAN PRESCRIPTION DRUG,08/29/2016,N/A,ANDA,10 VIAL in 1 CARTON (0781-3000-95) / 20 mL in 1 VIAL (0781-3000-94),"Carbapenems [CS], Penem Antibacterial [EPC]",N/A,No,12/31/2026
