Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
"Bismuth Subcitrate Potassium, Metronidazole and Tetracycline Hydrochloride",49884-151-54,"140 mg/1, 125 mg/1, 125 mg/1",CAPSULE,ORAL,ANDA205770,"Par Health USA, LLC",49884-151,"Bismuth Subcitrate Potassium, Metronidazole and Tetracycline Hydrochloride",BISMUTH SUBCITRATE POTASSIUM; METRONIDAZOLE; TETRACYCLINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/07/2023,N/A,ANDA,120 CAPSULE in 1 CARTON (49884-151-54),"Bismuth [CS], Bismuth [EPC], Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS], Tetracycline-class Antimicrobial [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
"Bismuth Subcitrate Potassium, Metronidazole and Tetracycline Hydrochloride",61269-386-12,"140 mg/1, 125 mg/1, 125 mg/1",CAPSULE,ORAL,NDA050786,"H2-Pharma, LLC",61269-386,"Bismuth Subcitrate Potassium, Metronidazole and Tetracycline Hydrochloride",BISMUTH SUBCITRATE POTASSIUM; METRONIDAZOLE; TETRACYCLINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/01/2025,N/A,NDA AUTHORIZED GENERIC,10 BLISTER PACK in 1 BOX (61269-386-12) / 12 CAPSULE in 1 BLISTER PACK,"Bismuth [CS], Bismuth [EPC], Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS], Tetracycline-class Antimicrobial [EPC], Tetracyclines [CS]",N/A,No,12/31/2027
"Bismuth subcitrate potassium, Metronidazole, Tetracycline hydrochloride",50742-283-13,"140 mg/1, 125 mg/1, 125 mg/1",CAPSULE,ORAL,ANDA217511,"Ingenus Pharmaceuticals, LLC",50742-283,"Bismuth subcitrate potassium, Metronidazole, Tetracycline hydrochloride",BISMUTH SUBCITRATE POTASSIUM; METRONIDAZOLE; TETRACYCLINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/04/2023,N/A,ANDA,120 CAPSULE in 1 CARTON (50742-283-13),"Bismuth [CS], Bismuth [EPC], Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS], Tetracycline-class Antimicrobial [EPC], Tetracyclines [CS]",N/A,No,12/31/2026
Flagyl,0025-1942-34,375 mg/1,CAPSULE,ORAL,NDA020334,Pfizer Laboratories Div Pfizer Inc,0025-1942,metronidazole,METRONIDAZOLE,HUMAN PRESCRIPTION DRUG,05/03/1995,N/A,NDA,100 BLISTER PACK in 1 CARTON (0025-1942-34) / 1 CAPSULE in 1 BLISTER PACK,"Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]",N/A,No,12/31/2027
LIKMEZ,71656-066-75,100 mg/mL,SUSPENSION,ORAL,NDA216755,"Saptalis Pharmaceuticals, LLC",71656-066,Metronidazole Oral,METRONIDAZOLE,HUMAN PRESCRIPTION DRUG,07/22/2024,N/A,NDA,75 mL in 1 BOTTLE (71656-066-75),"Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]",N/A,No,12/31/2026
LIKMEZ,71656-066-20,100 mg/mL,SUSPENSION,ORAL,NDA216755,"Saptalis Pharmaceuticals, LLC",71656-066,Metronidazole Oral,METRONIDAZOLE,HUMAN PRESCRIPTION DRUG,10/13/2023,N/A,NDA,200 mL in 1 BOTTLE (71656-066-20),"Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]",N/A,No,12/31/2026
LIKMEZ,81033-066-20,100 mg/mL,SUSPENSION,ORAL,NDA216755,Kesin Pharma Corporation,81033-066,Metronidazole Oral,METRONIDAZOLE,HUMAN PRESCRIPTION DRUG,10/13/2023,N/A,NDA,200 mL in 1 BOTTLE (81033-066-20),"Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]",N/A,No,12/31/2026
Metronidazole,0168-0323-46,7.5 mg/g,CREAM,TOPICAL,ANDA076408,"Fougera Pharmaceuticals, LLC",0168-0323,Metronidazole,METRONIDAZOLE,HUMAN PRESCRIPTION DRUG,05/28/2004,N/A,ANDA,45 g in 1 TUBE (0168-0323-46),"Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]",N/A,No,12/31/2027
Metronidazole,0168-0383-60,7.5 mg/mL,LOTION,TOPICAL,ANDA077197,"Fougera Pharmaceuticals, LLC",0168-0383,Metronidazole,METRONIDAZOLE,HUMAN PRESCRIPTION DRUG,05/24/2006,N/A,ANDA,"59 mL in 1 BOTTLE, PLASTIC (0168-0383-60)","Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]",N/A,No,12/31/2027
METRONIDAZOLE,0264-5535-32,500 mg/100mL,SOLUTION,INTRAVENOUS,NDA018900,B. Braun Medical Inc.,0264-5535,METRONIDAZOLE,METRONIDAZOLE,HUMAN PRESCRIPTION DRUG,09/29/1983,N/A,NDA,6 CARTON in 1 CASE (0264-5535-32) / 4 CONTAINER in 1 CARTON / 100 mL in 1 CONTAINER,"Nitroimidazole Antimicrobial [EPC], Nitroimidazoles [CS]",N/A,No,12/31/2027
