Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
MOXIFLOXACIN,16714-643-01,5 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,ANDA206242,NorthStar Rx LLC,16714-643,MOXIFLOXACIN,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/04/2017,N/A,ANDA,1 BOTTLE in 1 CARTON (16714-643-01) / 3 mL in 1 BOTTLE,"Quinolone Antimicrobial [EPC], Quinolones [CS]",N/A,No,12/31/2026
Moxifloxacin,31722-845-05,400 mg/1,"TABLET, FILM COATED",ORAL,ANDA204836,"Camber Pharmaceuticals, Inc.",31722-845,Moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/02/2023,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (31722-845-05)","Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2026
Moxifloxacin,31722-845-30,400 mg/1,"TABLET, FILM COATED",ORAL,ANDA204836,"Camber Pharmaceuticals, Inc.",31722-845,Moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/02/2023,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (31722-845-30)","Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2026
Moxifloxacin,33342-322-07,400 mg/1,"TABLET, FILM COATED",ORAL,ANDA209143,Macleods Pharmaceuticals Limited,33342-322,Moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/02/2026,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (33342-322-07)","Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2027
Moxifloxacin,33342-322-12,400 mg/1,"TABLET, FILM COATED",ORAL,ANDA209143,Macleods Pharmaceuticals Limited,33342-322,Moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/02/2026,N/A,ANDA,"10 BLISTER PACK in 1 CARTON (33342-322-12) / 10 TABLET, FILM COATED in 1 BLISTER PACK","Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2027
Moxifloxacin,50090-6357-0,5 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,ANDA202867,A-S Medication Solutions,50090-6357,Moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/06/2023,N/A,ANDA,1 BOTTLE in 1 CARTON (50090-6357-0) / 3 mL in 1 BOTTLE,"Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2026
MOXIFLOXACIN,50090-8029-0,5 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,ANDA206242,A-S Medication Solutions,50090-8029,MOXIFLOXACIN,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/03/2026,N/A,ANDA,1 BOTTLE in 1 CARTON (50090-8029-0) / 3 mL in 1 BOTTLE,"Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2027
Moxifloxacin,51407-321-03,5 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,ANDA090080,"Golden State Medical Supply, Inc.",51407-321,moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE MONOHYDRATE,HUMAN PRESCRIPTION DRUG,04/21/2023,N/A,ANDA,"1 BOTTLE, DROPPER in 1 CARTON (51407-321-03) / 3 mL in 1 BOTTLE, DROPPER","Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2026
Moxifloxacin,55111-112-01,400 mg/1,"TABLET, FILM COATED",ORAL,ANDA076938,Dr. Reddy's Laboratories Limited,55111-112,Moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/05/2014,N/A,ANDA,"100 TABLET, FILM COATED in 1 BOTTLE (55111-112-01)","Quinolone Antimicrobial [EPC], Quinolones [CS]",N/A,No,12/31/2026
Moxifloxacin,55111-112-05,400 mg/1,"TABLET, FILM COATED",ORAL,ANDA076938,Dr. Reddy's Laboratories Limited,55111-112,Moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/05/2014,N/A,ANDA,"500 TABLET, FILM COATED in 1 BOTTLE (55111-112-05)","Quinolone Antimicrobial [EPC], Quinolones [CS]",N/A,No,12/31/2026
Moxifloxacin,55111-112-30,400 mg/1,"TABLET, FILM COATED",ORAL,ANDA076938,Dr. Reddy's Laboratories Limited,55111-112,Moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/05/2014,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (55111-112-30)","Quinolone Antimicrobial [EPC], Quinolones [CS]",N/A,No,12/31/2026
Moxifloxacin,55111-112-66,400 mg/1,"TABLET, FILM COATED",ORAL,ANDA076938,Dr. Reddy's Laboratories Limited,55111-112,Moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/05/2014,N/A,ANDA,"5 BLISTER PACK in 1 CARTON (55111-112-66) / 10 TABLET, FILM COATED in 1 BLISTER PACK (55111-112-79)","Quinolone Antimicrobial [EPC], Quinolones [CS]",N/A,No,12/31/2026
Moxifloxacin,60505-0582-4,5 mg/mL,SOLUTION/ DROPS,OPHTHALMIC,ANDA090080,Apotex Corp.,60505-0582,moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE MONOHYDRATE,HUMAN PRESCRIPTION DRUG,07/01/2017,N/A,ANDA,"1 BOTTLE, DROPPER in 1 CARTON (60505-0582-4) / 3 mL in 1 BOTTLE, DROPPER","Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2026
Moxifloxacin,62135-014-30,400 mg/1,"TABLET, FILM COATED",ORAL,ANDA207285,"Chartwell RX, LLC",62135-014,Moxifloxacin,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/11/2026,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (62135-014-30)","Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2027
Moxifloxacin,63323-850-04,400 mg/250mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA205572,"Fresenius Kabi USA, LLC",63323-850,MOXIFLOXACIN HYDROCHLORIDE,MOXIFLOXACIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/18/2015,N/A,NDA,12 BAG in 1 CASE (63323-850-04) / 250 mL in 1 BAG (63323-850-74),"Fluoroquinolone Antibacterial [EPC], Fluoroquinolones [CS]",N/A,No,12/31/2026
