Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
American Safety and First Aid Triple Antibiotic,71927-016-03,"400 [USP'U]/g, .0035 g/g, 5000 [USP'U]/g",OINTMENT,TOPICAL,M004,Orazen Inc,71927-016,"Bacitracin zinc, Neomycin sulfate, Polymyxin B sulfate",BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,HUMAN OTC DRUG,10/17/2022,N/A,OTC MONOGRAPH DRUG,144 POUCH in 1 BOX (71927-016-03) / .5 g in 1 POUCH (71927-016-01),"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,12/31/2026
Antibiotic,0363-0018-56,"500 [iU]/g, 3.5 mg/g, 10000 [iU]/g",OINTMENT,TOPICAL,M004,Walgreens,0363-0018,"Bacitracin Zinc, Neomycin Sulfate, Polymyxin B Sulfate",BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,HUMAN OTC DRUG,06/16/1998,01/31/2027,OTC MONOGRAPH DRUG,1 TUBE in 1 CARTON (0363-0018-56) / 28 g in 1 TUBE,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,N/A
ANTIBIOTIC,0363-1331-01,"500 [iU]/g, 3.5 mg/g, 10000 [iU]/g",OINTMENT,TOPICAL,M004,Walgreens Co.,0363-1331,"Bacitracin Zinc, Neomycin Sulfate, Polymyxin B Sulfate",BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,HUMAN OTC DRUG,01/29/2025,N/A,OTC MONOGRAPH DRUG,1 TUBE in 1 CARTON (0363-1331-01) / 28 g in 1 TUBE,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,12/31/2027
Antibiotic,50814-037-01,,KIT,,M003,"GFA Production (Xiamen) Co., Ltd.",50814-037,"BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE",,HUMAN OTC DRUG,02/08/2018,N/A,OTC MONOGRAPH DRUG,1 KIT in 1 KIT (50814-037-01) * .9 g in 1 BAG (50814-007-01),N/A,N/A,No,12/31/2026
Antibiotic,55550-730-21,3.5 mg/g,OINTMENT,TOPICAL,M004,Total Resources International,55550-730,neomycin sulfate,NEOMYCIN SULFATE,HUMAN OTC DRUG,10/07/2019,N/A,OTC MONOGRAPH DRUG,.9 g in 1 POUCH (55550-730-21),"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS]",N/A,No,12/31/2026
Antibiotic,72663-560-34,"6 mg/mL, 3.5 mg/mL, .77 mg/mL",OINTMENT,TOPICAL,M004,Welly Health PBC,72663-560,"bacitracin zinc, neomycin sulfate, polymyxin b sulfate",BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,HUMAN OTC DRUG,02/25/2019,N/A,OTC MONOGRAPH DRUG,.5 mL in 1 POUCH (72663-560-34),"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,12/31/2026
Antibiotic and Pain Relief,11673-770-14,"10000 [USP'U]/g, 3.5 mg/g, 10 mg/g",CREAM,TOPICAL,M004,Target Corporation,11673-770,"neomycin sulfate, polymyxin b sulfate, and pramoxine hydrochloride",NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PRAMOXINE HYDROCHLORIDE,HUMAN OTC DRUG,01/31/2024,N/A,OTC MONOGRAPH DRUG,1 TUBE in 1 CARTON (11673-770-14) / 14 g in 1 TUBE,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,12/31/2026
Antibiotic and Pain Relief,70677-1218-1,"3.5 mg/g, 10000 [USP'U]/g, 10 mg/g",CREAM,TOPICAL,M017,STRATEGIC SOURCING SERVICES LLC,70677-1218,"Neomycin Sulfate, Polymyxin B Sulfate, and Pramoxine Hydrochloride",NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PRAMOXINE HYDROCHLORIDE,HUMAN OTC DRUG,01/24/2024,03/31/2027,OTC MONOGRAPH DRUG,1 TUBE in 1 CARTON (70677-1218-1) / 14.2 g in 1 TUBE,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,N/A
Antibiotic Application,49687-0013-0,"400 [iU]/g, 3.5 mg/g, 5000 [iU]/g",OINTMENT,TOPICAL,M003,"CMC Group, Inc.",49687-0013,"BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE",BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,HUMAN OTC DRUG,08/06/2016,N/A,OTC MONOGRAPH DRUG,10 PACKAGE in 1 KIT (49687-0013-0) / .9 g in 1 PACKAGE,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,12/31/2026
Antibiotic Plus Pain Relief,11673-393-01,"3.5 mg/g, 10000 [iU]/g, 10 mg/g",CREAM,TOPICAL,M017,TARGET Corporation,11673-393,"Neomycin sulfate, Polymyxin B sulfate, and Pramoxine hydrochloride",NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PRAMOXINE HYDROCHLORIDE,HUMAN OTC DRUG,10/16/2020,N/A,OTC MONOGRAPH DRUG,1 TUBE in 1 CARTON (11673-393-01) / 14.2 g in 1 TUBE,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,12/31/2026
"Antibiotic, Pain and Scar",69842-669-58,"500 [USP'U]/g, 3.5 mg/g, 10000 [USP'U]/g, 10 mg/g",OINTMENT,TOPICAL,M004,CVS Pharmacy,69842-669,"Bacitracin Zinc, Neomycin sulfate, Polymyxin B, Pramoxine HCl",BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PRAMOXINE HYDROCHLORIDE,HUMAN OTC DRUG,02/20/2017,N/A,OTC MONOGRAPH DRUG,1 TUBE in 1 CARTON (69842-669-58) / 14 g in 1 TUBE,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,12/31/2026
"Antibiotic, Pain and Scar",69842-669-64,"500 [USP'U]/g, 3.5 mg/g, 10000 [USP'U]/g, 10 mg/g",OINTMENT,TOPICAL,M004,CVS Pharmacy,69842-669,"Bacitracin Zinc, Neomycin sulfate, Polymyxin B, Pramoxine HCl",BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PRAMOXINE HYDROCHLORIDE,HUMAN OTC DRUG,02/22/2017,N/A,OTC MONOGRAPH DRUG,1 TUBE in 1 CARTON (69842-669-64) / 28 g in 1 TUBE,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,12/31/2026
AOSI HEALTHCARE TRIPLE ANTIBIOTIC,43473-053-01,"400 [USP'U]/g, .0035 g/g, 5000 [USP'U]/g",OINTMENT,TOPICAL,M004,Nantong Health & Beyond Hygienic Products Inc.,43473-053,"Bacitracin zinc, Neomycin sulfate, Polymyxin B sulfate",BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,HUMAN OTC DRUG,09/24/2024,N/A,OTC MONOGRAPH DRUG,.9 g in 1 PACKET (43473-053-01),"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,12/31/2026
AVON HeXashield Triple Antibiotic with Pain Relief,43136-100-01,"10000 [USP'U]/g, 3.5 mg/g, 500 [USP'U]/g, 10 mg/g",OINTMENT,TOPICAL,M004,"Tai Guk Pharm. Co., Ltd.",43136-100,"BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN B SULFATE, PRAMOXINE HCl",BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE; PRAMOXINE HYDROCHLORIDE,HUMAN OTC DRUG,07/31/2019,N/A,OTC MONOGRAPH DRUG,1 TUBE in 1 CARTON (43136-100-01) / 28 g in 1 TUBE,"Aminoglycoside Antibacterial [EPC], Aminoglycosides [CS], Decreased Cell Wall Synthesis & Repair [PE], Polymyxin-class Antibacterial [EPC], Polymyxins [CS]",N/A,No,12/31/2026
