Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
nitrofurantoin,50090-7217-0,100 mg/1,CAPSULE,ORAL,ANDA217272,A-S Medication Solutions,50090-7217,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,08/12/2024,N/A,ANDA,28 CAPSULE in 1 BOTTLE (50090-7217-0),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
nitrofurantoin,50090-7217-2,100 mg/1,CAPSULE,ORAL,ANDA217272,A-S Medication Solutions,50090-7217,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,08/12/2024,N/A,ANDA,20 CAPSULE in 1 BOTTLE (50090-7217-2),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
nitrofurantoin,50090-7217-3,100 mg/1,CAPSULE,ORAL,ANDA217272,A-S Medication Solutions,50090-7217,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,08/12/2024,N/A,ANDA,14 CAPSULE in 1 BOTTLE (50090-7217-3),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
nitrofurantoin,71335-1069-9,100 mg/1,CAPSULE,ORAL,ANDA205005,Bryant Ranch Prepack,71335-1069,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,05/17/2024,N/A,ANDA,6 CAPSULE in 1 BOTTLE (71335-1069-9),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
nitrofurantoin,71335-1069-4,100 mg/1,CAPSULE,ORAL,ANDA205005,Bryant Ranch Prepack,71335-1069,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,05/17/2024,N/A,ANDA,20 CAPSULE in 1 BOTTLE (71335-1069-4),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
nitrofurantoin,71335-1069-8,100 mg/1,CAPSULE,ORAL,ANDA205005,Bryant Ranch Prepack,71335-1069,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,05/17/2024,N/A,ANDA,90 CAPSULE in 1 BOTTLE (71335-1069-8),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
nitrofurantoin,71335-1069-7,100 mg/1,CAPSULE,ORAL,ANDA205005,Bryant Ranch Prepack,71335-1069,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,05/17/2024,N/A,ANDA,12 CAPSULE in 1 BOTTLE (71335-1069-7),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
nitrofurantoin,71335-1069-3,100 mg/1,CAPSULE,ORAL,ANDA205005,Bryant Ranch Prepack,71335-1069,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,05/17/2024,N/A,ANDA,30 CAPSULE in 1 BOTTLE (71335-1069-3),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
nitrofurantoin,71335-1069-6,100 mg/1,CAPSULE,ORAL,ANDA205005,Bryant Ranch Prepack,71335-1069,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,02/25/2019,N/A,ANDA,10 CAPSULE in 1 BOTTLE (71335-1069-6),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
nitrofurantoin,71335-1069-2,100 mg/1,CAPSULE,ORAL,ANDA205005,Bryant Ranch Prepack,71335-1069,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,05/17/2024,N/A,ANDA,28 CAPSULE in 1 BOTTLE (71335-1069-2),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
nitrofurantoin,71335-1069-5,100 mg/1,CAPSULE,ORAL,ANDA205005,Bryant Ranch Prepack,71335-1069,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,01/21/2019,N/A,ANDA,14 CAPSULE in 1 BOTTLE (71335-1069-5),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
nitrofurantoin,71335-1069-1,100 mg/1,CAPSULE,ORAL,ANDA205005,Bryant Ranch Prepack,71335-1069,nitrofurantoin macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,05/17/2024,N/A,ANDA,40 CAPSULE in 1 BOTTLE (71335-1069-1),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
Nitrofurantoin,71335-1135-9,100 mg/1,CAPSULE,ORAL,ANDA073652,Bryant Ranch Prepack,71335-1135,Nitrofurantoin Macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,09/09/2021,N/A,ANDA,6 CAPSULE in 1 BOTTLE (71335-1135-9),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
Nitrofurantoin,71335-1135-6,100 mg/1,CAPSULE,ORAL,ANDA073652,Bryant Ranch Prepack,71335-1135,Nitrofurantoin Macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,03/20/2019,N/A,ANDA,10 CAPSULE in 1 BOTTLE (71335-1135-6),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
Nitrofurantoin,71335-1135-1,100 mg/1,CAPSULE,ORAL,ANDA073652,Bryant Ranch Prepack,71335-1135,Nitrofurantoin Macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,04/02/2024,N/A,ANDA,40 CAPSULE in 1 BOTTLE (71335-1135-1),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
Nitrofurantoin,71335-1135-3,100 mg/1,CAPSULE,ORAL,ANDA073652,Bryant Ranch Prepack,71335-1135,Nitrofurantoin Macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,04/02/2024,N/A,ANDA,30 CAPSULE in 1 BOTTLE (71335-1135-3),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
Nitrofurantoin,71335-1135-2,100 mg/1,CAPSULE,ORAL,ANDA073652,Bryant Ranch Prepack,71335-1135,Nitrofurantoin Macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,04/02/2019,N/A,ANDA,28 CAPSULE in 1 BOTTLE (71335-1135-2),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
Nitrofurantoin,71335-1135-4,100 mg/1,CAPSULE,ORAL,ANDA073652,Bryant Ranch Prepack,71335-1135,Nitrofurantoin Macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,07/09/2019,N/A,ANDA,20 CAPSULE in 1 BOTTLE (71335-1135-4),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
Nitrofurantoin,71335-1135-5,100 mg/1,CAPSULE,ORAL,ANDA073652,Bryant Ranch Prepack,71335-1135,Nitrofurantoin Macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,02/28/2019,N/A,ANDA,14 CAPSULE in 1 BOTTLE (71335-1135-5),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
Nitrofurantoin,71335-1135-8,100 mg/1,CAPSULE,ORAL,ANDA073652,Bryant Ranch Prepack,71335-1135,Nitrofurantoin Macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,04/02/2024,N/A,ANDA,90 CAPSULE in 1 BOTTLE (71335-1135-8),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
Nitrofurantoin,71335-1135-7,100 mg/1,CAPSULE,ORAL,ANDA073652,Bryant Ranch Prepack,71335-1135,Nitrofurantoin Macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,04/02/2024,N/A,ANDA,12 CAPSULE in 1 BOTTLE (71335-1135-7),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2026
Nitrofurantoin Macrocrystals,0115-1643-03,50 mg/1,CAPSULE,ORAL,ANDA073671,Amneal Pharmaceuticals of New York LLC,0115-1643,Nitrofurantoin Macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,03/08/2007,N/A,ANDA,1000 CAPSULE in 1 BOTTLE (0115-1643-03),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2027
Nitrofurantoin Macrocrystals,0115-1643-01,50 mg/1,CAPSULE,ORAL,ANDA073671,Amneal Pharmaceuticals of New York LLC,0115-1643,Nitrofurantoin Macrocrystals,NITROFURANTOIN,HUMAN PRESCRIPTION DRUG,03/08/2007,N/A,ANDA,100 CAPSULE in 1 BOTTLE (0115-1643-01),"Nitrofuran Antibacterial [EPC], Nitrofurans [CS]",N/A,No,12/31/2027
