Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
FIRVANQ,65628-204-05,,KIT,,NDA208910,"Azurity Pharmaceuticals, Inc",65628-204,vancomycin hydrochloride,,HUMAN PRESCRIPTION DRUG,01/26/2018,N/A,NDA,1 KIT in 1 CARTON (65628-204-05) * 3.75 g in 1 BOTTLE * 147 mL in 1 BOTTLE,N/A,N/A,No,12/31/2027
FIRVANQ,65628-205-10,,KIT,,NDA208910,"Azurity Pharmaceuticals, Inc",65628-205,vancomycin hydrochloride,,HUMAN PRESCRIPTION DRUG,01/26/2018,N/A,NDA,1 KIT in 1 CARTON (65628-205-10) * 7.5 g in 1 BOTTLE * 295 mL in 1 BOTTLE,N/A,N/A,No,12/31/2027
FIRVANQ,65628-206-05,,KIT,,NDA208910,"Azurity Pharmaceuticals, Inc",65628-206,vancomycin hydrochloride,,HUMAN PRESCRIPTION DRUG,01/26/2018,N/A,NDA,1 KIT in 1 CARTON (65628-206-05) * 7.5 g in 1 BOTTLE * 145 mL in 1 BOTTLE,N/A,N/A,No,12/31/2027
FIRVANQ,65628-208-10,,KIT,,NDA208910,"Azurity Pharmaceuticals, Inc",65628-208,vancomycin hydrochloride,,HUMAN PRESCRIPTION DRUG,01/26/2018,N/A,NDA,1 KIT in 1 CARTON (65628-208-10) * 15 g in 1 BOTTLE * 289 mL in 1 BOTTLE,N/A,N/A,No,12/31/2027
Vancocin,62559-310-20,125 mg/1,CAPSULE,ORAL,NDA050606,"ANI Pharmaceuticals, Inc.",62559-310,vancomycin hydrochloride,VANCOMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/17/2014,N/A,NDA,2 BLISTER PACK in 1 CARTON (62559-310-20) / 10 CAPSULE in 1 BLISTER PACK,"Glycopeptide Antibacterial [EPC], Glycopeptides [CS]",N/A,No,12/31/2026
Vancocin,62559-311-20,250 mg/1,CAPSULE,ORAL,NDA050606,"ANI Pharmaceuticals, Inc.",62559-311,vancomycin hydrochloride,VANCOMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/17/2014,N/A,NDA,2 BLISTER PACK in 1 CARTON (62559-311-20) / 10 CAPSULE in 1 BLISTER PACK,"Glycopeptide Antibacterial [EPC], Glycopeptides [CS]",N/A,No,12/31/2026
Vancomycin,25021-157-99,5 g/100mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA200837,Sagent Pharmaceuticals,25021-157,vancomycin hydrochloride,VANCOMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/20/2012,N/A,ANDA,1 BOTTLE in 1 CARTON (25021-157-99) / 100 mL in 1 BOTTLE,"Glycopeptide Antibacterial [EPC], Glycopeptides [CS]",N/A,No,12/31/2026
Vancomycin,25021-158-99,10 g/100mL,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,ANDA200837,Sagent Pharmaceuticals,25021-158,vancomycin hydrochloride,VANCOMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/20/2012,N/A,ANDA,1 BOTTLE in 1 CARTON (25021-158-99) / 100 mL in 1 BOTTLE,"Glycopeptide Antibacterial [EPC], Glycopeptides [CS]",N/A,No,12/31/2026
VANCOMYCIN HYDROCHLORIDE,0121-1032-50,125 mg/1,CAPSULE,ORAL,ANDA065478,"PAI Holdings, LLC dba PAI Pharma",0121-1032,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/01/2026,N/A,ANDA,50 CAPSULE in 1 BOTTLE (0121-1032-50),"Glycopeptide Antibacterial [EPC], Glycopeptides [CS]",N/A,No,12/31/2027
VANCOMYCIN HYDROCHLORIDE,0121-1032-20,125 mg/1,CAPSULE,ORAL,ANDA065478,"PAI Holdings, LLC dba PAI Pharma",0121-1032,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/01/2026,N/A,ANDA,2 BLISTER PACK in 1 CARTON (0121-1032-20) / 10 CAPSULE in 1 BLISTER PACK,"Glycopeptide Antibacterial [EPC], Glycopeptides [CS]",N/A,No,12/31/2027
VANCOMYCIN HYDROCHLORIDE,0121-1033-50,250 mg/1,CAPSULE,ORAL,ANDA065478,"PAI Holdings, LLC dba PAI Pharma",0121-1033,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/01/2026,N/A,ANDA,50 CAPSULE in 1 BOTTLE (0121-1033-50),"Glycopeptide Antibacterial [EPC], Glycopeptides [CS]",N/A,No,12/31/2027
VANCOMYCIN HYDROCHLORIDE,0121-1033-20,250 mg/1,CAPSULE,ORAL,ANDA065478,"PAI Holdings, LLC dba PAI Pharma",0121-1033,VANCOMYCIN HYDROCHLORIDE,VANCOMYCIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/01/2026,N/A,ANDA,2 BLISTER PACK in 1 CARTON (0121-1033-20) / 10 CAPSULE in 1 BLISTER PACK,"Glycopeptide Antibacterial [EPC], Glycopeptides [CS]",N/A,No,12/31/2027
