Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Alogliptin,45802-087-65,6.25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,Padagis Israel Pharmaceuticals Ltd,45802-087,Alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,04/08/2016,N/A,NDA AUTHORIZED GENERIC,"30 TABLET, FILM COATED in 1 BOTTLE (45802-087-65)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Alogliptin,45802-103-65,12.5 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,Padagis Israel Pharmaceuticals Ltd,45802-103,Alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,04/08/2016,N/A,NDA AUTHORIZED GENERIC,"30 TABLET, FILM COATED in 1 BOTTLE (45802-103-65)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Alogliptin,45802-150-65,25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,Padagis Israel Pharmaceuticals Ltd,45802-150,Alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,04/08/2016,N/A,NDA AUTHORIZED GENERIC,"30 TABLET, FILM COATED in 1 BOTTLE (45802-150-65)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Alogliptin,50090-5574-0,25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,A-S Medication Solutions,50090-5574,Alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,07/02/2021,N/A,NDA AUTHORIZED GENERIC,"30 TABLET, FILM COATED in 1 BOTTLE (50090-5574-0)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Alogliptin,63629-4946-1,25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,Bryant Ranch Prepack,63629-4946,Alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/28/2025,N/A,NDA AUTHORIZED GENERIC,"30 TABLET, FILM COATED in 1 BOTTLE (63629-4946-1)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Alogliptin,71610-300-18,25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Aphena Pharma Solutions - Tennessee, LLC",71610-300,Alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,01/25/2022,N/A,NDA AUTHORIZED GENERIC,"3000 TABLET, FILM COATED in 1 BOTTLE (71610-300-18)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Alogliptin,71610-300-09,25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Aphena Pharma Solutions - Tennessee, LLC",71610-300,Alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,07/03/2019,N/A,NDA AUTHORIZED GENERIC,"9000 TABLET, FILM COATED in 1 BOTTLE (71610-300-09)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Alogliptin,71610-300-60,25 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Aphena Pharma Solutions - Tennessee, LLC",71610-300,Alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,02/02/2023,N/A,NDA AUTHORIZED GENERIC,"90 TABLET, FILM COATED in 1 BOTTLE (71610-300-60)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Alogliptin,71610-661-09,12.5 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Aphena Pharma Solutions - Tennessee, LLC",71610-661,Alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,09/08/2022,N/A,NDA AUTHORIZED GENERIC,"9000 TABLET, FILM COATED in 1 BOTTLE (71610-661-09)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Alogliptin,71610-661-18,12.5 mg/1,"TABLET, FILM COATED",ORAL,NDA022271,"Aphena Pharma Solutions - Tennessee, LLC",71610-661,Alogliptin,ALOGLIPTIN BENZOATE,HUMAN PRESCRIPTION DRUG,10/17/2022,N/A,NDA AUTHORIZED GENERIC,"3000 TABLET, FILM COATED in 1 BOTTLE (71610-661-18)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
alogliptin and metformin hydrochloride,45802-169-72,"12.5 mg/1, 500 mg/1","TABLET, FILM COATED",ORAL,NDA203414,Padagis Israel Pharmaceuticals Ltd,45802-169,alogliptin and metformin hydrochloride,ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/08/2016,N/A,NDA AUTHORIZED GENERIC,"60 TABLET, FILM COATED in 1 BOTTLE (45802-169-72)","Biguanide [EPC], Biguanides [CS], Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2027
alogliptin and metformin hydrochloride,45802-211-72,"12.5 mg/1, 1000 mg/1","TABLET, FILM COATED",ORAL,NDA203414,Padagis Israel Pharmaceuticals Ltd,45802-211,alogliptin and metformin hydrochloride,ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/08/2016,N/A,NDA AUTHORIZED GENERIC,"60 TABLET, FILM COATED in 1 BOTTLE (45802-211-72)","Biguanide [EPC], Biguanides [CS], Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2027
alogliptin and metformin hydrochloride,50090-5993-0,"12.5 mg/1, 1000 mg/1","TABLET, FILM COATED",ORAL,NDA203414,A-S Medication Solutions,50090-5993,alogliptin and metformin hydrochloride,ALOGLIPTIN BENZOATE; METFORMIN HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/10/2022,N/A,NDA AUTHORIZED GENERIC,"90 TABLET, FILM COATED in 1 BOTTLE (50090-5993-0)","Biguanide [EPC], Biguanides [CS], Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
Alogliptin and Pioglitazone,45802-260-65,"12.5 mg/1, 30 mg/1","TABLET, FILM COATED",ORAL,NDA022426,Padagis Israel Pharmaceuticals Ltd,45802-260,Alogliptin Benzoate and Pioglitazone hydrochloride,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/08/2016,N/A,NDA AUTHORIZED GENERIC,"30 TABLET, FILM COATED in 1 BOTTLE (45802-260-65)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA], Peroxisome Proliferator Receptor alpha Agonist [EPC], Peroxisome Proliferator Receptor gamma Agonist [EPC], Peroxisome Proliferator-activated Receptor alpha Agonists [MoA], Peroxisome Proliferator-activated Receptor gamma Agonists [MoA], Thiazolidinedione [EPC], Thiazolidinediones [CS]",N/A,No,12/31/2026
Alogliptin and Pioglitazone,45802-351-65,"25 mg/1, 15 mg/1","TABLET, FILM COATED",ORAL,NDA022426,Padagis Israel Pharmaceuticals Ltd,45802-351,Alogliptin Benzoate and Pioglitazone hydrochloride,ALOGLIPTIN BENZOATE; PIOGLITAZONE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/08/2016,N/A,NDA AUTHORIZED GENERIC,"30 TABLET, FILM COATED in 1 BOTTLE (45802-351-65)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA], Peroxisome Proliferator Receptor alpha Agonist [EPC], Peroxisome Proliferator Receptor gamma Agonist [EPC], Peroxisome Proliferator-activated Receptor alpha Agonists [MoA], Peroxisome Proliferator-activated Receptor gamma Agonists [MoA], Thiazolidinedione [EPC], Thiazolidinediones [CS]",N/A,No,12/31/2026
