Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Glipizide,0591-0460-10,5 mg/1,TABLET,ORAL,ANDA074223,"Actavis Pharma, Inc.",0591-0460,Glipizide,GLIPIZIDE,HUMAN PRESCRIPTION DRUG,02/27/1995,N/A,ANDA,"1000 TABLET in 1 BOTTLE, PLASTIC (0591-0460-10)","Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glipizide,0591-0460-05,5 mg/1,TABLET,ORAL,ANDA074223,"Actavis Pharma, Inc.",0591-0460,Glipizide,GLIPIZIDE,HUMAN PRESCRIPTION DRUG,02/27/1995,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0591-0460-05)","Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glipizide,0591-0460-01,5 mg/1,TABLET,ORAL,ANDA074223,"Actavis Pharma, Inc.",0591-0460,Glipizide,GLIPIZIDE,HUMAN PRESCRIPTION DRUG,02/27/1995,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-0460-01)","Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glipizide,0591-0461-01,10 mg/1,TABLET,ORAL,ANDA074223,"Actavis Pharma, Inc.",0591-0461,Glipizide,GLIPIZIDE,HUMAN PRESCRIPTION DRUG,02/27/1995,N/A,ANDA,"100 TABLET in 1 BOTTLE, PLASTIC (0591-0461-01)","Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glipizide,0591-0461-05,10 mg/1,TABLET,ORAL,ANDA074223,"Actavis Pharma, Inc.",0591-0461,Glipizide,GLIPIZIDE,HUMAN PRESCRIPTION DRUG,02/27/1995,N/A,ANDA,"500 TABLET in 1 BOTTLE, PLASTIC (0591-0461-05)","Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glipizide,0591-0461-10,10 mg/1,TABLET,ORAL,ANDA074223,"Actavis Pharma, Inc.",0591-0461,Glipizide,GLIPIZIDE,HUMAN PRESCRIPTION DRUG,02/27/1995,N/A,ANDA,"1000 TABLET in 1 BOTTLE, PLASTIC (0591-0461-10)","Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glipizide,0615-8407-05,5 mg/1,TABLET,ORAL,ANDA074223,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8407,Glipizide,GLIPIZIDE,HUMAN PRESCRIPTION DRUG,10/07/2021,N/A,ANDA,15 TABLET in 1 BLISTER PACK (0615-8407-05),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glipizide,0615-8407-39,5 mg/1,TABLET,ORAL,ANDA074223,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8407,Glipizide,GLIPIZIDE,HUMAN PRESCRIPTION DRUG,10/07/2021,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8407-39),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glipizide,0615-8408-39,10 mg/1,TABLET,ORAL,ANDA074223,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8408,Glipizide,GLIPIZIDE,HUMAN PRESCRIPTION DRUG,10/06/2021,N/A,ANDA,30 TABLET in 1 BLISTER PACK (0615-8408-39),"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2026
Glipizide,0904-6637-61,5 mg/1,TABLET,ORAL,ANDA075795,Major Pharmaceuticals,0904-6637,Glipizide,GLIPIZIDE,HUMAN PRESCRIPTION DRUG,09/25/2002,N/A,ANDA,100 BLISTER PACK in 1 CARTON (0904-6637-61) / 1 TABLET in 1 BLISTER PACK,"Sulfonylurea Compounds [CS], Sulfonylurea [EPC]",N/A,No,12/31/2027
