Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
.Insulin Aspart Protamine and Insulin Aspart,50090-4959-0,100 [iU]/mL,"INJECTION, SUSPENSION",SUBCUTANEOUS,BLA021172,A-S Medication Solutions,50090-4959,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,03/12/2020,N/A,BLA,"5 SYRINGE, PLASTIC in 1 CARTON (50090-4959-0) / 3 mL in 1 SYRINGE, PLASTIC","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Fiasp,0169-3201-11,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA208751,Novo Nordisk,0169-3201,insulin aspart injection,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,10/20/2017,N/A,BLA,"1 VIAL, GLASS in 1 CARTON (0169-3201-11) / 10 mL in 1 VIAL, GLASS","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Fiasp,0169-3201-90,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA208751,Novo Nordisk,0169-3201,insulin aspart injection,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,10/20/2017,N/A,BLA,"1 VIAL, GLASS in 1 CARTON (0169-3201-90) / 10 mL in 1 VIAL, GLASS","Insulin Analog [EPC], Insulin [CS]",N/A,Yes,12/31/2026
Fiasp,0169-3204-15,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA208751,Novo Nordisk,0169-3204,insulin aspart injection,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,10/20/2017,N/A,BLA,"5 SYRINGE, PLASTIC in 1 CARTON (0169-3204-15) / 3 mL in 1 SYRINGE, PLASTIC","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Fiasp,0169-3204-97,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA208751,Novo Nordisk,0169-3204,insulin aspart injection,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,10/20/2017,N/A,BLA,"1 SYRINGE, PLASTIC in 1 CARTON (0169-3204-97) / 3 mL in 1 SYRINGE, PLASTIC (0169-3204-90)","Insulin Analog [EPC], Insulin [CS]",N/A,Yes,12/31/2026
Fiasp,0169-3205-15,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA208751,Novo Nordisk,0169-3205,insulin aspart injection,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,10/01/2019,N/A,BLA,5 CARTRIDGE in 1 CARTON (0169-3205-15) / 3 mL in 1 CARTRIDGE (0169-3205-11),"Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Fiasp,0169-3205-95,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA208751,Novo Nordisk,0169-3205,insulin aspart injection,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,10/01/2019,N/A,BLA,5 CARTRIDGE in 1 CARTON (0169-3205-95) / 3 mL in 1 CARTRIDGE (0169-3205-91),"Insulin Analog [EPC], Insulin [CS]",N/A,Yes,12/31/2026
Fiasp,0169-3206-15,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA208751,Novo Nordisk,0169-3206,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,09/14/2023,N/A,BLA,5 CARTRIDGE in 1 CARTON (0169-3206-15) / 1.6 mL in 1 CARTRIDGE (0169-3206-11),"Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Fiasp,0169-3206-95,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA208751,Novo Nordisk,0169-3206,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,09/14/2023,N/A,BLA,5 CARTRIDGE in 1 CARTON (0169-3206-95) / 1.6 mL in 1 CARTRIDGE (0169-3206-91),"Insulin Analog [EPC], Insulin [CS]",N/A,Yes,12/31/2026
Garzulys,71288-903-81,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761497,Meitheal Pharmaceuticals Inc.,71288-903,insulin aspart-fsan,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,07/24/2026,N/A,BLA,"5 SYRINGE, PLASTIC in 1 CARTON (71288-903-81) / 3 mL in 1 SYRINGE, PLASTIC (71288-903-80)","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2027
Garzulys,71288-904-10,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA761497,Meitheal Pharmaceuticals Inc.,71288-904,insulin aspart-fsan,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,07/24/2026,N/A,BLA,"1 VIAL, GLASS in 1 CARTON (71288-904-10) / 10 mL in 1 VIAL, GLASS","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2027
Insulin Aspart,50090-4955-0,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020986,A-S Medication Solutions,50090-4955,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,03/06/2020,N/A,BLA,"1 VIAL, GLASS in 1 CARTON (50090-4955-0) / 10 mL in 1 VIAL, GLASS","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Insulin Aspart,50090-4956-0,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020986,A-S Medication Solutions,50090-4956,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,03/06/2020,N/A,BLA,"5 SYRINGE, PLASTIC in 1 CARTON (50090-4956-0) / 3 mL in 1 SYRINGE, PLASTIC","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Insulin Aspart,70518-3865-0,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020986,REMEDYREPACK INC.,70518-3865,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,09/18/2023,N/A,BLA,"5 SYRINGE, PLASTIC in 1 CARTON (70518-3865-0) / 3 mL in 1 SYRINGE, PLASTIC","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2027
Insulin Aspart,73070-100-11,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020986,"Novo Nordisk Pharma, Inc.",73070-100,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,09/10/2019,12/31/2027,BLA,"1 VIAL, GLASS in 1 CARTON (73070-100-11) / 10 mL in 1 VIAL, GLASS","Insulin Analog [EPC], Insulin [CS]",N/A,No,N/A
Insulin Aspart,73070-102-15,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020986,"Novo Nordisk Pharma, Inc.",73070-102,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,09/10/2019,12/31/2027,BLA,5 CARTRIDGE in 1 CARTON (73070-102-15) / 3 mL in 1 CARTRIDGE (73070-102-10),"Insulin Analog [EPC], Insulin [CS]",N/A,No,N/A
Insulin Aspart,73070-103-15,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020986,"Novo Nordisk Pharma, Inc.",73070-103,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,09/10/2019,01/31/2028,BLA,"5 SYRINGE, PLASTIC in 1 CARTON (73070-103-15) / 3 mL in 1 SYRINGE, PLASTIC (73070-103-10)","Insulin Analog [EPC], Insulin [CS]",N/A,No,N/A
Insulin Aspart Protamine and Insulin Aspart,70518-3236-0,100 [iU]/mL,"INJECTION, SUSPENSION",SUBCUTANEOUS,BLA021172,REMEDYREPACK INC.,70518-3236,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,01/28/2022,N/A,BLA,"5 SYRINGE, PLASTIC in 1 CARTON (70518-3236-0) / 3 mL in 1 SYRINGE, PLASTIC","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2027
Insulin Aspart Protamine and Insulin Aspart,73070-200-11,100 [iU]/mL,"INJECTION, SUSPENSION",SUBCUTANEOUS,BLA021172,"Novo Nordisk Pharma, Inc.",73070-200,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,09/10/2019,07/31/2027,BLA,"1 VIAL, GLASS in 1 CARTON (73070-200-11) / 10 mL in 1 VIAL, GLASS","Insulin Analog [EPC], Insulin [CS]",N/A,No,N/A
Insulin Aspart Protamine and Insulin Aspart,73070-203-15,100 [iU]/mL,"INJECTION, SUSPENSION",SUBCUTANEOUS,BLA021172,"Novo Nordisk Pharma, Inc.",73070-203,insulin aspart,INSULIN ASPART,HUMAN PRESCRIPTION DRUG,09/10/2019,06/30/2027,BLA,"5 SYRINGE, PLASTIC in 1 CARTON (73070-203-15) / 3 mL in 1 SYRINGE, PLASTIC (73070-203-10)","Insulin Analog [EPC], Insulin [CS]",N/A,No,N/A
