Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Insulin Degludec,50090-7175-0,200 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA203314,A-S Medication Solutions,50090-7175,insulin degludec,INSULIN DEGLUDEC,HUMAN PRESCRIPTION DRUG,05/29/2024,N/A,BLA,"3 SYRINGE, PLASTIC in 1 CARTON (50090-7175-0) / 3 mL in 1 SYRINGE, PLASTIC","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Insulin Degludec,50090-7176-0,100 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA203314,A-S Medication Solutions,50090-7176,insulin degludec,INSULIN DEGLUDEC,HUMAN PRESCRIPTION DRUG,05/29/2024,N/A,BLA,"5 SYRINGE, PLASTIC in 1 CARTON (50090-7176-0) / 3 mL in 1 SYRINGE, PLASTIC","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Insulin Degludec,73070-400-11,100 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA203314,"Novo Nordisk Pharma, Inc.",73070-400,insulin degludec,INSULIN DEGLUDEC,HUMAN PRESCRIPTION DRUG,07/01/2022,08/31/2027,BLA,"1 VIAL, GLASS in 1 CARTON (73070-400-11) / 10 mL in 1 VIAL, GLASS","Insulin Analog [EPC], Insulin [CS]",N/A,No,N/A
Insulin Degludec,73070-403-15,100 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA203314,"Novo Nordisk Pharma, Inc.",73070-403,insulin degludec,INSULIN DEGLUDEC,HUMAN PRESCRIPTION DRUG,07/01/2022,12/31/2027,BLA,"5 SYRINGE, PLASTIC in 1 CARTON (73070-403-15) / 3 mL in 1 SYRINGE, PLASTIC","Insulin Analog [EPC], Insulin [CS]",N/A,No,N/A
Insulin Degludec,73070-503-15,200 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA203314,"Novo Nordisk Pharma, Inc.",73070-503,insulin degludec,INSULIN DEGLUDEC,HUMAN PRESCRIPTION DRUG,07/01/2022,10/31/2027,BLA,"3 SYRINGE, PLASTIC in 1 CARTON (73070-503-15) / 3 mL in 1 SYRINGE, PLASTIC","Insulin Analog [EPC], Insulin [CS]",N/A,No,N/A
Tresiba,0169-2550-13,200 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA203314,Novo Nordisk,0169-2550,insulin degludec,INSULIN DEGLUDEC,HUMAN PRESCRIPTION DRUG,09/25/2015,N/A,BLA,"3 SYRINGE, PLASTIC in 1 CARTON (0169-2550-13) / 3 mL in 1 SYRINGE, PLASTIC","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Tresiba,0169-2550-97,200 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA203314,Novo Nordisk,0169-2550,insulin degludec,INSULIN DEGLUDEC,HUMAN PRESCRIPTION DRUG,09/25/2015,N/A,BLA,"1 SYRINGE, PLASTIC in 1 CARTON (0169-2550-97) / 3 mL in 1 SYRINGE, PLASTIC (0169-2550-90)","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Tresiba,0169-2660-15,100 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA203314,Novo Nordisk,0169-2660,insulin degludec,INSULIN DEGLUDEC,HUMAN PRESCRIPTION DRUG,09/25/2015,N/A,BLA,"5 SYRINGE, PLASTIC in 1 CARTON (0169-2660-15) / 3 mL in 1 SYRINGE, PLASTIC","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Tresiba,0169-2660-97,100 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA203314,Novo Nordisk,0169-2660,insulin degludec,INSULIN DEGLUDEC,HUMAN PRESCRIPTION DRUG,09/25/2015,N/A,BLA,"1 SYRINGE, PLASTIC in 1 CARTON (0169-2660-97) / 3 mL in 1 SYRINGE, PLASTIC (0169-2660-90)","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
Tresiba,0169-2662-11,100 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA203314,Novo Nordisk,0169-2662,insulin degludec,INSULIN DEGLUDEC,HUMAN PRESCRIPTION DRUG,02/05/2019,N/A,BLA,"1 VIAL, GLASS in 1 CARTON (0169-2662-11) / 10 mL in 1 VIAL, GLASS","Insulin Analog [EPC], Insulin [CS]",N/A,No,12/31/2026
