Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ADMELOG,0024-5924-10,100 U/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA209196,Sanofi-Aventis U.S. LLC,0024-5924,insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,12/11/2017,N/A,BLA,"1 VIAL, MULTI-DOSE in 1 CARTON (0024-5924-10) / 10 mL in 1 VIAL, MULTI-DOSE","Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
ADMELOG,0024-5925-00,100 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA209196,Sanofi-Aventis U.S. LLC,0024-5925,insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,12/11/2017,N/A,BLA,1 SYRINGE in 1 CARTON (0024-5925-00) / 3 mL in 1 SYRINGE,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,Yes,12/31/2026
ADMELOG,0024-5925-05,100 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA209196,Sanofi-Aventis U.S. LLC,0024-5925,insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,12/11/2017,N/A,BLA,5 SYRINGE in 1 CARTON (0024-5925-05) / 3 mL in 1 SYRINGE (0024-5925-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
ADMELOG,0024-5926-05,100 U/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA209196,Sanofi-Aventis U.S. LLC,0024-5926,insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,10/19/2018,N/A,BLA,1 VIAL in 1 CARTON (0024-5926-05) / 3 mL in 1 VIAL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
ADMELOG,70518-4275-0,100 U/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA209196,REMEDYREPACK INC.,70518-4275,insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,02/04/2025,N/A,BLA,5 SYRINGE in 1 CARTON (70518-4275-0) / 3 mL in 1 SYRINGE,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
Humalog,0002-7510-01,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020563,Eli Lilly and Company,0002-7510,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,07/24/1996,N/A,BLA,1 VIAL in 1 CARTON (0002-7510-01) / 10 mL in 1 VIAL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
Humalog,0002-7511-01,100 [iU]/mL,"INJECTION, SUSPENSION",SUBCUTANEOUS,BLA021017,Eli Lilly and Company,0002-7511,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,10/10/2000,N/A,BLA,"1 VIAL, MULTI-DOSE in 1 CARTON (0002-7511-01) / 10 mL in 1 VIAL, MULTI-DOSE","Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
Humalog,0002-7516-59,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020563,Eli Lilly and Company,0002-7516,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,07/26/2000,N/A,BLA,5 CARTRIDGE in 1 CARTON (0002-7516-59) / 3 mL in 1 CARTRIDGE (0002-7516-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
Humalog,0002-7712-27,200 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA205747,Eli Lilly and Company,0002-7712,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,05/26/2015,N/A,BLA,2 SYRINGE in 1 CARTON (0002-7712-27) / 3 mL in 1 SYRINGE (0002-7712-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
Humalog,0002-7714-59,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA020563,Eli Lilly and Company,0002-7714,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,09/14/2017,N/A,BLA,5 SYRINGE in 1 CARTON (0002-7714-59) / 3 mL in 1 SYRINGE (0002-7714-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
Humalog,0002-8213-05,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA020563,Eli Lilly and Company,0002-8213,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,11/15/2019,04/04/2027,BLA,5 SYRINGE in 1 CARTON (0002-8213-05) / 3 mL in 1 SYRINGE (0002-8213-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,N/A
Humalog,0002-8797-59,100 [iU]/mL,"INJECTION, SUSPENSION",SUBCUTANEOUS,BLA021017,Eli Lilly and Company,0002-8797,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,01/16/2008,N/A,BLA,5 SYRINGE in 1 CARTON (0002-8797-59) / 3 mL in 1 SYRINGE (0002-8797-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
Humalog,0002-8798-59,100 [iU]/mL,"INJECTION, SUSPENSION",SUBCUTANEOUS,BLA021018,Eli Lilly and Company,0002-8798,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,01/16/2008,N/A,BLA,5 SYRINGE in 1 CARTON (0002-8798-59) / 3 mL in 1 SYRINGE (0002-8798-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
Humalog,0002-8799-59,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020563,Eli Lilly and Company,0002-8799,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,01/16/2008,N/A,BLA,5 SYRINGE in 1 CARTON (0002-8799-59) / 3 mL in 1 SYRINGE (0002-8799-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
HUMALOG,50090-1375-0,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020563,A-S Medication Solutions,50090-1375,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,11/28/2014,N/A,BLA,1 VIAL in 1 CARTON (50090-1375-0) / 10 mL in 1 VIAL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
Humalog,50090-1663-0,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020563,A-S Medication Solutions,50090-1663,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,01/23/2015,N/A,BLA,5 SYRINGE in 1 CARTON (50090-1663-0) / 3 mL in 1 SYRINGE,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
Humalog,50090-4073-0,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020563,A-S Medication Solutions,50090-4073,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,01/21/2019,N/A,BLA,5 SYRINGE in 1 CARTON (50090-4073-0) / 3 mL in 1 SYRINGE,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
HUMALOG,50090-4488-0,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020563,A-S Medication Solutions,50090-4488,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,08/29/2019,N/A,BLA,1 VIAL in 1 CARTON (50090-4488-0) / 10 mL in 1 VIAL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
Insulin Lispro,0002-7737-01,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020563,Eli Lilly and Company,0002-7737,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,02/12/2020,N/A,BLA,1 VIAL in 1 CARTON (0002-7737-01) / 10 mL in 1 VIAL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
Insulin Lispro,0002-7752-05,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA020563,Eli Lilly and Company,0002-7752,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,02/12/2020,N/A,BLA,5 SYRINGE in 1 CARTON (0002-7752-05) / 3 mL in 1 SYRINGE (0002-7752-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
Insulin Lispro,0002-8222-59,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020563,Eli Lilly and Company,0002-8222,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,02/12/2020,N/A,BLA,5 SYRINGE in 1 CARTON (0002-8222-59) / 3 mL in 1 SYRINGE (0002-8222-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
Insulin Lispro,50090-5391-0,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA020563,A-S Medication Solutions,50090-5391,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,11/24/2020,N/A,BLA,1 VIAL in 1 CARTON (50090-5391-0) / 10 mL in 1 VIAL,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
Insulin Lispro Protamine and Insulin Lispro Injectable Suspension,0002-8233-05,100 [iU]/mL,"INJECTION, SUSPENSION",SUBCUTANEOUS,BLA021017,Eli Lilly and Company,0002-8233,Insulin lispro,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,02/12/2020,N/A,BLA,5 SYRINGE in 1 CARTON (0002-8233-05) / 3 mL in 1 SYRINGE (0002-8233-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2026
LYUMJEV,0002-7726-05,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761109,Eli Lilly and Company,0002-7726,Insulin lispro-aabc,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,06/15/2020,N/A,BLA,5 CARTRIDGE in 1 CARTON (0002-7726-05) / 3 mL in 1 CARTRIDGE (0002-7726-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
LYUMJEV,0002-7728-01,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA761109,Eli Lilly and Company,0002-7728,Insulin lispro-aabc,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,06/15/2020,N/A,BLA,"1 VIAL, MULTI-DOSE in 1 CARTON (0002-7728-01) / 10 mL in 1 VIAL, MULTI-DOSE","Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
LYUMJEV,0002-8207-05,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761109,Eli Lilly and Company,0002-8207,Insulin lispro-aabc,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,06/15/2020,N/A,BLA,5 SYRINGE in 1 CARTON (0002-8207-05) / 3 mL in 1 SYRINGE (0002-8207-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
LYUMJEV,0002-8228-27,200 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761109,Eli Lilly and Company,0002-8228,Insulin lispro-aabc,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,06/15/2020,N/A,BLA,2 SYRINGE in 1 CARTON (0002-8228-27) / 3 mL in 1 SYRINGE (0002-8228-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
LYUMJEV,0002-8235-99,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761109,Eli Lilly and Company,0002-8235,Insulin lispro-aabc,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,01/10/2024,11/06/2027,BLA,1 SYRINGE in 1 CARTON (0002-8235-99) / 3 mL in 1 SYRINGE,"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,Yes,N/A
LYUMJEV,0002-8235-05,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761109,Eli Lilly and Company,0002-8235,Insulin lispro-aabc,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,09/29/2022,11/06/2027,BLA,5 SYRINGE in 1 CARTON (0002-8235-05) / 3 mL in 1 SYRINGE (0002-8235-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,N/A
LYUMJEV,0002-8351-05,100 [iU]/mL,"INJECTION, SOLUTION",SUBCUTANEOUS,BLA761109,Eli Lilly and Company,0002-8351,Insulin lispro-aabc,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,06/15/2020,N/A,BLA,5 SYRINGE in 1 CARTON (0002-8351-05) / 3 mL in 1 SYRINGE (0002-8351-01),"Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
LYUMJEV,50090-7433-0,100 [iU]/mL,"INJECTION, SOLUTION",INTRAVENOUS; SUBCUTANEOUS,BLA761109,A-S Medication Solutions,50090-7433,Insulin lispro-aabc,INSULIN LISPRO,HUMAN PRESCRIPTION DRUG,11/04/2024,N/A,BLA,"1 VIAL, MULTI-DOSE in 1 CARTON (50090-7433-0) / 10 mL in 1 VIAL, MULTI-DOSE","Insulin Analog [EPC], Insulin [Chemical/Ingredient]",N/A,No,12/31/2027
