Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
JANUVIA,0006-0112-31,50 mg/1,"TABLET, FILM COATED",ORAL,NDA021995,Merck Sharp & Dohme LLC,0006-0112,sitagliptin,SITAGLIPTIN PHOSPHATE,HUMAN PRESCRIPTION DRUG,10/16/2006,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0006-0112-31)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
JANUVIA,0006-0112-28,50 mg/1,"TABLET, FILM COATED",ORAL,NDA021995,Merck Sharp & Dohme LLC,0006-0112,sitagliptin,SITAGLIPTIN PHOSPHATE,HUMAN PRESCRIPTION DRUG,10/16/2006,N/A,NDA,"100 BLISTER PACK in 1 CARTON (0006-0112-28) / 1 TABLET, FILM COATED in 1 BLISTER PACK (0006-0112-01)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
JANUVIA,0006-0112-54,50 mg/1,"TABLET, FILM COATED",ORAL,NDA021995,Merck Sharp & Dohme LLC,0006-0112,sitagliptin,SITAGLIPTIN PHOSPHATE,HUMAN PRESCRIPTION DRUG,10/16/2006,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (0006-0112-54)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
JANUVIA,0006-0221-31,25 mg/1,"TABLET, FILM COATED",ORAL,NDA021995,Merck Sharp & Dohme LLC,0006-0221,sitagliptin,SITAGLIPTIN PHOSPHATE,HUMAN PRESCRIPTION DRUG,10/16/2006,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0006-0221-31)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
JANUVIA,0006-0221-28,25 mg/1,"TABLET, FILM COATED",ORAL,NDA021995,Merck Sharp & Dohme LLC,0006-0221,sitagliptin,SITAGLIPTIN PHOSPHATE,HUMAN PRESCRIPTION DRUG,10/16/2006,N/A,NDA,"100 BLISTER PACK in 1 CARTON (0006-0221-28) / 1 TABLET, FILM COATED in 1 BLISTER PACK (0006-0221-01)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
JANUVIA,0006-0221-54,25 mg/1,"TABLET, FILM COATED",ORAL,NDA021995,Merck Sharp & Dohme LLC,0006-0221,sitagliptin,SITAGLIPTIN PHOSPHATE,HUMAN PRESCRIPTION DRUG,10/16/2006,N/A,NDA,"90 TABLET, FILM COATED in 1 BOTTLE (0006-0221-54)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
JANUVIA,0006-0277-14,100 mg/1,"TABLET, FILM COATED",ORAL,NDA021995,Merck Sharp & Dohme LLC,0006-0277,sitagliptin,SITAGLIPTIN PHOSPHATE,HUMAN PRESCRIPTION DRUG,10/12/2012,N/A,NDA,"2 BLISTER PACK in 1 CARTON (0006-0277-14) / 7 TABLET, FILM COATED in 1 BLISTER PACK","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
JANUVIA,0006-0277-28,100 mg/1,"TABLET, FILM COATED",ORAL,NDA021995,Merck Sharp & Dohme LLC,0006-0277,sitagliptin,SITAGLIPTIN PHOSPHATE,HUMAN PRESCRIPTION DRUG,10/16/2006,N/A,NDA,"100 BLISTER PACK in 1 CARTON (0006-0277-28) / 1 TABLET, FILM COATED in 1 BLISTER PACK (0006-0277-01)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
JANUVIA,0006-0277-31,100 mg/1,"TABLET, FILM COATED",ORAL,NDA021995,Merck Sharp & Dohme LLC,0006-0277,sitagliptin,SITAGLIPTIN PHOSPHATE,HUMAN PRESCRIPTION DRUG,10/16/2006,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0006-0277-31)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
JANUVIA,0006-0277-82,100 mg/1,"TABLET, FILM COATED",ORAL,NDA021995,Merck Sharp & Dohme LLC,0006-0277,sitagliptin,SITAGLIPTIN PHOSPHATE,HUMAN PRESCRIPTION DRUG,10/16/2006,N/A,NDA,"1000 TABLET, FILM COATED in 1 BOTTLE (0006-0277-82)","Dipeptidyl Peptidase 4 Inhibitor [EPC], Dipeptidyl Peptidase 4 Inhibitors [MoA]",N/A,No,12/31/2026
