Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Caduet,0069-6180-30,"5 mg/1, 10 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Pfizer Laboratories Div Pfizer Inc,0069-6180,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0069-6180-30)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,0069-6323-30,"5 mg/1, 20 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Pfizer Laboratories Div Pfizer Inc,0069-6323,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0069-6323-30)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,0069-6565-30,"5 mg/1, 40 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Pfizer Laboratories Div Pfizer Inc,0069-6565,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0069-6565-30)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,0069-6747-30,"5 mg/1, 80 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Pfizer Laboratories Div Pfizer Inc,0069-6747,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0069-6747-30)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,0069-7232-30,"10 mg/1, 20 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Pfizer Laboratories Div Pfizer Inc,0069-7232,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0069-7232-30)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,0069-7476-30,"10 mg/1, 80 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Pfizer Laboratories Div Pfizer Inc,0069-7476,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0069-7476-30)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,0069-7654-30,"10 mg/1, 40 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Pfizer Laboratories Div Pfizer Inc,0069-7654,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0069-7654-30)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,0069-7810-30,"10 mg/1, 10 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Pfizer Laboratories Div Pfizer Inc,0069-7810,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,06/06/2022,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (0069-7810-30)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,58151-062-93,"10 mg/1, 40 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Viatris Specialty LLC,58151-062,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,02/25/2026,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (58151-062-93)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,58151-063-93,"10 mg/1, 80 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Viatris Specialty LLC,58151-063,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,02/25/2026,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (58151-063-93)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,58151-064-93,"5 mg/1, 10 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Viatris Specialty LLC,58151-064,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,06/24/2026,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (58151-064-93)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,58151-065-93,"5 mg/1, 20 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Viatris Specialty LLC,58151-065,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,02/25/2026,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (58151-065-93)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
Caduet,58151-066-93,"5 mg/1, 40 mg/1","TABLET, FILM COATED",ORAL,NDA021540,Viatris Specialty LLC,58151-066,amlodipine and atorvastatin,AMLODIPINE BESYLATE; ATORVASTATIN CALCIUM TRIHYDRATE,HUMAN PRESCRIPTION DRUG,02/26/2026,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE (58151-066-93)","Calcium Channel Antagonists [MoA], Calcium Channel Blocker [EPC], Cytochrome P450 3A Inhibitors [MoA], Dihydropyridine Calcium Channel Blocker [EPC], Dihydropyridines [CS], HMG-CoA Reductase Inhibitor [EPC], Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]",N/A,No,12/31/2027
