Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Cholestyramine,11788-150-60,4 g/9g,"POWDER, FOR SUSPENSION",ORAL,ANDA214877,"AiPing Pharmaceutical, Inc.",11788-150,Cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,09/01/2026,N/A,ANDA,60 POUCH in 1 CARTON (11788-150-60) / 9 g in 1 POUCH (11788-150-16),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,N/A
Cholestyramine,11788-150-17,4 g/9g,"POWDER, FOR SUSPENSION",ORAL,ANDA214877,"AiPing Pharmaceutical, Inc.",11788-150,Cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,09/01/2026,N/A,ANDA,378 g in 1 JAR (11788-150-17),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,N/A
CHOLESTYRAMINE,24658-266-97,4 g/9g,"POWDER, FOR SUSPENSION",ORAL,ANDA074557,PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS,24658-266,cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,03/14/2023,N/A,ANDA,378 g in 1 CAN (24658-266-97),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
CHOLESTYRAMINE,24658-266-95,4 g/9g,"POWDER, FOR SUSPENSION",ORAL,ANDA074557,PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS,24658-266,cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,03/14/2023,N/A,ANDA,60 POUCH in 1 CARTON (24658-266-95) / 9 g in 1 POUCH,"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
CHOLESTYRAMINE,24658-266-93,4 g/9g,"POWDER, FOR SUSPENSION",ORAL,ANDA074557,PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS,24658-266,cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,04/29/2024,N/A,ANDA,378 g in 1 JAR (24658-266-93),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Cholestyramine,27241-134-36,4 g/9g,"POWDER, FOR SUSPENSION",ORAL,ANDA211119,Ajanta Pharma USA Inc.,27241-134,Cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,04/06/2020,N/A,ANDA,60 PACKET in 1 CARTON (27241-134-36) / 9 g in 1 PACKET (27241-134-21),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Cholestyramine,27241-134-51,4 g/9g,"POWDER, FOR SUSPENSION",ORAL,ANDA211119,Ajanta Pharma USA Inc.,27241-134,Cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,04/06/2020,N/A,ANDA,378 g in 1 BOTTLE (27241-134-51),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Cholestyramine,33342-293-70,4 g/9g,"POWDER, FOR SUSPENSION",ORAL,ANDA207294,Macleods Pharmaceuticals Limited,33342-293,Cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,11/21/2024,N/A,ANDA,60 POUCH in 1 CARTON (33342-293-70) / 9 g in 1 POUCH (33342-293-75),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Cholestyramine,33342-293-71,4 g/9g,"POWDER, FOR SUSPENSION",ORAL,ANDA207294,Macleods Pharmaceuticals Limited,33342-293,Cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,11/21/2024,N/A,ANDA,378 g in 1 JAR (33342-293-71),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Cholestyramine,33342-319-83,4 g/5.7g,"POWDER, FOR SUSPENSION",ORAL,ANDA209109,Macleods Pharmaceuticals Limited,33342-319,Cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,11/21/2024,N/A,ANDA,239.4 g in 1 JAR (33342-319-83),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Cholestyramine,33342-319-70,4 g/5.7g,"POWDER, FOR SUSPENSION",ORAL,ANDA209109,Macleods Pharmaceuticals Limited,33342-319,Cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,11/21/2024,N/A,ANDA,60 POUCH in 1 CARTON (33342-319-70) / 5.7 g in 1 POUCH (33342-319-01),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Cholestyramine,33342-319-72,4 g/5.7g,"POWDER, FOR SUSPENSION",ORAL,ANDA209109,Macleods Pharmaceuticals Limited,33342-319,Cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,11/21/2024,N/A,ANDA,42 POUCH in 1 CARTON (33342-319-72) / 5.7 g in 1 POUCH (33342-319-01),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2026
Cholestyramine,42571-508-29,4 g/9g,"POWDER, FOR SUSPENSION",ORAL,ANDA219318,Micro Labs Limited,42571-508,Cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,04/01/2026,N/A,ANDA,60 POUCH in 1 CARTON (42571-508-29) / 9 g in 1 POUCH (42571-508-04),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2027
CHOLESTYRAMINE,42806-265-98,4 g/9g,"POWDER, FOR SUSPENSION",ORAL,ANDA074557,"EPIC PHARMA, LLC",42806-265,cholestyramine,CHOLESTYRAMINE,HUMAN PRESCRIPTION DRUG,12/15/2021,N/A,ANDA,9 g in 1 POUCH (42806-265-98),"Bile Acid Sequestrant [EPC], Bile-acid Binding Activity [MoA]",N/A,No,12/31/2027
