Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Fenofibric Acid,0115-1324-10,45 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA200264,Amneal Pharmaceuticals of New York LLC,0115-1324,FENOFIBRIC ACID,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,06/01/2024,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0115-1324-10)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,0115-1325-10,135 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA200264,Amneal Pharmaceuticals of New York LLC,0115-1325,FENOFIBRIC ACID,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,06/01/2024,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (0115-1325-10)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric acid,33342-294-10,45 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA207796,Macleods Pharmaceuticals Limited,33342-294,Fenofibric acid,CHOLINE FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/26/2024,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (33342-294-10)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric acid,33342-294-12,45 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA207796,Macleods Pharmaceuticals Limited,33342-294,Fenofibric acid,CHOLINE FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/26/2024,N/A,ANDA,"10 BLISTER PACK in 1 CARTON (33342-294-12) / 10 CAPSULE, DELAYED RELEASE in 1 BLISTER PACK",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric acid,33342-295-10,135 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA207796,Macleods Pharmaceuticals Limited,33342-295,Fenofibric acid,CHOLINE FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/26/2024,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (33342-295-10)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric acid,33342-295-56,135 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA207796,Macleods Pharmaceuticals Limited,33342-295,Fenofibric acid,CHOLINE FENOFIBRATE,HUMAN PRESCRIPTION DRUG,02/26/2024,N/A,ANDA,"10 BLISTER PACK in 1 CARTON (33342-295-56) / 14 CAPSULE, DELAYED RELEASE in 1 BLISTER PACK",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,46708-244-90,45 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Limited,46708-244,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/15/2017,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (46708-244-90)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,46708-244-30,45 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Limited,46708-244,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/15/2017,N/A,ANDA,"30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (46708-244-30)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,46708-244-91,45 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Limited,46708-244,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/15/2017,N/A,ANDA,"1000 CAPSULE, DELAYED RELEASE in 1 BOTTLE (46708-244-91)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,46708-245-30,135 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Limited,46708-245,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/18/2017,N/A,ANDA,"30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (46708-245-30)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,46708-245-90,135 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Limited,46708-245,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/18/2017,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (46708-245-90)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,46708-245-91,135 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Limited,46708-245,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/18/2017,N/A,ANDA,"1000 CAPSULE, DELAYED RELEASE in 1 BOTTLE (46708-245-91)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRIC ACID,59651-216-90,45 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA212598,Aurobindo Pharma Limited,59651-216,FENOFIBRIC ACID,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,07/25/2019,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (59651-216-90)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRIC ACID,59651-217-90,135 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA212598,Aurobindo Pharma Limited,59651-217,FENOFIBRIC ACID,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,07/25/2019,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (59651-217-90)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,62332-244-90,45 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Inc.,62332-244,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/15/2017,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (62332-244-90)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,62332-244-30,45 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Inc.,62332-244,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/15/2017,N/A,ANDA,"30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (62332-244-30)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,62332-244-91,45 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Inc.,62332-244,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/15/2017,N/A,ANDA,"1000 CAPSULE, DELAYED RELEASE in 1 BOTTLE (62332-244-91)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,62332-245-30,135 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Inc.,62332-245,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/15/2017,N/A,ANDA,"30 CAPSULE, DELAYED RELEASE in 1 BOTTLE (62332-245-30)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,62332-245-90,135 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Inc.,62332-245,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/15/2017,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (62332-245-90)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
Fenofibric Acid,62332-245-91,135 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA208705,Alembic Pharmaceuticals Inc.,62332-245,Fenofibric Acid,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,05/15/2017,N/A,ANDA,"1000 CAPSULE, DELAYED RELEASE in 1 BOTTLE (62332-245-91)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRIC ACID,69315-281-09,45 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA211626,"Leading Pharma, LLC",69315-281,FENOFIBRIC ACID,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,07/18/2019,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (69315-281-09)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
FENOFIBRIC ACID,69315-282-09,135 mg/1,"CAPSULE, DELAYED RELEASE",ORAL,ANDA211626,"Leading Pharma, LLC",69315-282,FENOFIBRIC ACID,FENOFIBRIC ACID,HUMAN PRESCRIPTION DRUG,07/18/2019,N/A,ANDA,"90 CAPSULE, DELAYED RELEASE in 1 BOTTLE (69315-282-09)",Peroxisome Proliferator Receptor alpha Agonist [EPC],N/A,No,12/31/2026
