Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Icosapent,43598-267-04,1000 mg/1,CAPSULE,ORAL,ANDA209499,"Dr. Reddy's Laboratories, Inc.",43598-267,Icosapent Ethyl,ICOSAPENT ETHYL,HUMAN PRESCRIPTION DRUG,06/21/2021,09/30/2027,ANDA,120 CAPSULE in 1 BOTTLE (43598-267-04),N/A,N/A,No,N/A
Icosapent,63629-9312-1,1000 mg/1,CAPSULE,ORAL,ANDA209499,Bryant Ranch Prepack,63629-9312,Icosapent Ethyl,ICOSAPENT ETHYL,HUMAN PRESCRIPTION DRUG,08/10/2026,09/30/2027,ANDA,120 CAPSULE in 1 BOTTLE (63629-9312-1),N/A,N/A,No,N/A
Icosapent Ethyl,0054-0508-23,1 g/1,CAPSULE,ORAL,ANDA209457,Hikma Pharmaceuticals USA Inc.,0054-0508,Icosapent Ethyl,ICOSAPENT ETHYL,HUMAN PRESCRIPTION DRUG,11/04/2020,N/A,ANDA,120 CAPSULE in 1 BOTTLE (0054-0508-23),N/A,N/A,No,12/31/2027
Icosapent Ethyl,0054-0621-27,.5 g/1,CAPSULE,ORAL,ANDA209457,Hikma Pharmaceuticals USA Inc.,0054-0621,Icosapent Ethyl,ICOSAPENT ETHYL,HUMAN PRESCRIPTION DRUG,03/09/2023,N/A,ANDA,240 CAPSULE in 1 BOTTLE (0054-0621-27),N/A,N/A,No,12/31/2027
Icosapent Ethyl,0480-0126-49,500 mg/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA209525,"Teva Pharmaceuticals, Inc.",0480-0126,Icosapent Ethyl,ICOSAPENT ETHYL,HUMAN PRESCRIPTION DRUG,09/09/2022,N/A,ANDA,"240 CAPSULE, LIQUID FILLED in 1 BOTTLE (0480-0126-49)",N/A,N/A,No,12/31/2027
Icosapent Ethyl,0480-0127-89,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA209525,"Teva Pharmaceuticals, Inc.",0480-0127,Icosapent Ethyl,ICOSAPENT ETHYL,HUMAN PRESCRIPTION DRUG,12/15/2022,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (0480-0127-89)",N/A,N/A,No,12/31/2027
Icosapent Ethyl,13668-761-12,1 g/g,"CAPSULE, LIQUID FILLED",ORAL,ANDA218994,Torrent Pharmaceuticals Limited,13668-761,Icosapent Ethyl Capsules,ICOSAPENT ETHYL,HUMAN PRESCRIPTION DRUG,04/22/2026,N/A,ANDA,120 g in 1 BOTTLE (13668-761-12),N/A,N/A,No,12/31/2027
ICOSAPENT ETHYL,16714-636-01,1 g/1,CAPSULE,ORAL,ANDA216811,Northstar Rx LLC,16714-636,Icosapent ethyl,ICOSAPENT ETHYL,HUMAN PRESCRIPTION DRUG,07/01/2025,N/A,ANDA,120 CAPSULE in 1 BOTTLE (16714-636-01),N/A,N/A,No,12/31/2026
ICOSAPENT ETHYL,31722-298-24,.5 g/1,CAPSULE,ORAL,ANDA216811,"Camber Pharmaceuticals, Inc.",31722-298,Icosapent ethyl,ICOSAPENT ETHYL,HUMAN PRESCRIPTION DRUG,02/16/2024,N/A,ANDA,240 CAPSULE in 1 BOTTLE (31722-298-24),N/A,N/A,No,12/31/2027
ICOSAPENT ETHYL,31722-299-12,1 g/1,CAPSULE,ORAL,ANDA216811,"Camber Pharmaceuticals, Inc.",31722-299,Icosapent ethyl,ICOSAPENT ETHYL,HUMAN PRESCRIPTION DRUG,02/16/2024,N/A,ANDA,120 CAPSULE in 1 BOTTLE (31722-299-12),N/A,N/A,No,12/31/2027
