Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Omega-3-Acid Ethyl Ester,63629-2448-1,900 mg/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA206455,Bryant Ranch Prepack,63629-2448,omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,11/10/2021,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (63629-2448-1)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
Omega-3-Acid Ethyl Ester,69452-175-17,900 mg/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA206455,Bionpharma Inc.,69452-175,omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,01/15/2017,N/A,ANDA,"60 CAPSULE, LIQUID FILLED in 1 BOTTLE (69452-175-17)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
Omega-3-Acid Ethyl Ester,69452-175-22,900 mg/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA206455,Bionpharma Inc.,69452-175,omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,01/15/2017,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (69452-175-22)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
Omega-3-acid ethyl esters,0254-3010-08,900 mg/1,CAPSULE,ORAL,ANDA203893,Par Pharmaceutical Inc.,0254-3010,Omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,09/19/2017,N/A,ANDA,120 CAPSULE in 1 BOTTLE (0254-3010-08),"Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
OMEGA-3-ACID ETHYL ESTERS,0615-8550-39,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA210093,"NCS HealthCare of KY, LLC dba Vangard Labs",0615-8550,OMEGA-3-ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,10/15/2024,N/A,ANDA,"30 CAPSULE, LIQUID FILLED in 1 BLISTER PACK (0615-8550-39)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
OMEGA-3-ACID ETHYL ESTERS,0904-7495-06,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA215458,Major Pharmaceuticals,0904-7495,Omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,12/13/2024,12/31/2026,ANDA,"50 BLISTER PACK in 1 CARTON (0904-7495-06) / 1 CAPSULE, LIQUID FILLED in 1 BLISTER PACK","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,N/A
OMEGA-3-ACID ETHYL ESTERS,24658-350-12,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA210093,PURACAP LABORATORIES LLC DBA BLU PHARMACEUTICALS,24658-350,OMEGA-3-ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,08/22/2023,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (24658-350-12)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
Omega-3-acid ethyl esters,31722-936-05,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA207420,"Camber Pharmaceuticals, Inc.",31722-936,Omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,02/25/2019,N/A,ANDA,"500 CAPSULE, LIQUID FILLED in 1 BOTTLE (31722-936-05)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2027
Omega-3-acid ethyl esters,31722-936-12,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA207420,"Camber Pharmaceuticals, Inc.",31722-936,Omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,02/25/2019,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (31722-936-12)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2027
OMEGA-3-ACID ETHYL ESTERS,42806-552-12,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA210093,"EPIC PHARMA, LLC",42806-552,OMEGA-3-ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,07/02/2020,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (42806-552-12)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
Omega-3-acid ethyl esters,50090-5799-0,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA207420,A-S Medication Solutions,50090-5799,Omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,10/14/2021,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (50090-5799-0)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
Omega-3-acid ethyl esters,50090-5800-2,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA207420,A-S Medication Solutions,50090-5800,Omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,01/25/2022,N/A,ANDA,"1440 CAPSULE, LIQUID FILLED in 1 BOTTLE (50090-5800-2)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
OMEGA-3-ACID ETHYL ESTERS,50090-6691-0,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA210093,A-S Medication Solutions,50090-6691,OMEGA-3-ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,09/18/2023,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (50090-6691-0)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2027
OMEGA-3-ACID ETHYL ESTERS,50090-6692-0,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA210093,A-S Medication Solutions,50090-6692,OMEGA-3-ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,09/18/2023,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (50090-6692-0)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2027
Omega-3-acid ethyl esters,50090-6822-0,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA207420,A-S Medication Solutions,50090-6822,Omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,01/04/2024,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (50090-6822-0)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
Omega-3-Acid Ethyl Esters,51407-763-12,1 g/1,CAPSULE,ORAL,ANDA091028,"Golden State Medical Supply, Inc.",51407-763,Omega-3-Acid Ethyl Esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,12/19/2023,N/A,ANDA,"120 CAPSULE in 1 BOTTLE, PLASTIC (51407-763-12)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2027
omega-3-acid ethyl esters,60687-846-65,900 mg/1,CAPSULE,ORAL,ANDA203893,American Health Packaging,60687-846,omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,04/29/2025,N/A,ANDA,50 BLISTER PACK in 1 CARTON (60687-846-65) / 1 CAPSULE in 1 BLISTER PACK (60687-846-11),"Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
omega-3-acid ethyl esters,62135-780-12,900 mg/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA211355,"Chartwell RX, LLC",62135-780,omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,10/10/2023,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (62135-780-12)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
Omega-3-acid ethyl esters,63629-1918-1,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA207420,Bryant Ranch Prepack,63629-1918,Omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,02/25/2019,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (63629-1918-1)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2026
omega-3-acid ethyl esters,64380-761-02,900 mg/1,CAPSULE,ORAL,ANDA203893,Strides Pharma Science Limited,64380-761,omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,05/29/2026,N/A,ANDA,5 BLISTER PACK in 1 CARTON (64380-761-02) / 10 CAPSULE in 1 BLISTER PACK (64380-761-01),"Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2027
omega-3-acid ethyl esters,64380-761-11,900 mg/1,CAPSULE,ORAL,ANDA203893,Strides Pharma Science Limited,64380-761,omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,05/29/2026,N/A,ANDA,120 CAPSULE in 1 BOTTLE (64380-761-11),"Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2027
OMEGA-3-ACID ETHYL ESTERS,70518-3040-1,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA210093,REMEDYREPACK INC.,70518-3040,OMEGA-3-ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,04/25/2026,N/A,ANDA,"50 POUCH in 1 BOX (70518-3040-1) / 1 CAPSULE, LIQUID FILLED in 1 POUCH (70518-3040-2)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2027
OMEGA-3-ACID ETHYL ESTERS,70518-3040-0,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA210093,REMEDYREPACK INC.,70518-3040,OMEGA-3-ACID ETHYL ESTERS,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,03/04/2021,N/A,ANDA,"180 CAPSULE, LIQUID FILLED in 1 BOTTLE, PLASTIC (70518-3040-0)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2027
OMEGA-3-ACID ETHYL ESTERS,70756-423-22,1 g/1,"CAPSULE, LIQUID FILLED",ORAL,ANDA215458,Lifestar Pharma LLC,70756-423,Omega-3-acid ethyl esters,OMEGA-3-ACID ETHYL ESTERS,HUMAN PRESCRIPTION DRUG,11/16/2021,N/A,ANDA,"120 CAPSULE, LIQUID FILLED in 1 BOTTLE (70756-423-22)","Fatty Acids, Omega-3 [CS], Omega-3 Fatty Acid [EPC]",N/A,No,12/31/2027
