Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
ELIQUIS,0003-0893-21,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"E.R. Squibb & Sons, L.L.C.",0003-0893,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,12/28/2012,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0003-0893-21)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,0003-0893-91,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"E.R. Squibb & Sons, L.L.C.",0003-0893,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,12/28/2012,N/A,NDA,"1 BLISTER PACK in 1 CARTON (0003-0893-91) / 14 TABLET, FILM COATED in 1 BLISTER PACK","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,Yes,12/31/2027
ELIQUIS,0003-0893-31,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"E.R. Squibb & Sons, L.L.C.",0003-0893,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,12/28/2012,N/A,NDA,"10 BLISTER PACK in 1 CARTON (0003-0893-31) / 10 TABLET, FILM COATED in 1 BLISTER PACK","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,0003-0894-21,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"E.R. Squibb & Sons, L.L.C.",0003-0894,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,12/28/2012,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0003-0894-21)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,0003-0894-70,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"E.R. Squibb & Sons, L.L.C.",0003-0894,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,06/01/2017,N/A,NDA,"74 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0003-0894-70)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,0003-0894-31,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"E.R. Squibb & Sons, L.L.C.",0003-0894,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,12/28/2012,N/A,NDA,"10 BLISTER PACK in 1 CARTON (0003-0894-31) / 10 TABLET, FILM COATED in 1 BLISTER PACK","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,0003-0894-91,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"E.R. Squibb & Sons, L.L.C.",0003-0894,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,12/28/2012,N/A,NDA,"1 BLISTER PACK in 1 CARTON (0003-0894-91) / 14 TABLET, FILM COATED in 1 BLISTER PACK","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,Yes,12/31/2027
ELIQUIS,0003-1028-28,.5 mg/1,"TABLET, FOR SUSPENSION",ORAL,NDA202155,"E.R. Squibb & Sons, L.L.C.",0003-1028,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,09/15/2025,N/A,NDA,"28 PACKET in 1 CARTON (0003-1028-28) / 1 TABLET, FOR SUSPENSION in 1 PACKET","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,0003-1028-84,.5 mg/1,"TABLET, FOR SUSPENSION",ORAL,NDA202155,"E.R. Squibb & Sons, L.L.C.",0003-1028,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,09/15/2025,N/A,NDA,"28 PACKET in 1 CARTON (0003-1028-84) / 3 TABLET, FOR SUSPENSION in 1 PACKET","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,0003-1028-12,.5 mg/1,"TABLET, FOR SUSPENSION",ORAL,NDA202155,"E.R. Squibb & Sons, L.L.C.",0003-1028,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,09/15/2025,N/A,NDA,"28 PACKET in 1 CARTON (0003-1028-12) / 4 TABLET, FOR SUSPENSION in 1 PACKET","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,0003-3764-74,,KIT,,NDA202155,"E.R. Squibb & Sons, L.L.C.",0003-3764,apixaban,,HUMAN PRESCRIPTION DRUG,11/30/2017,N/A,NDA,"1 KIT in 1 CARTON (0003-3764-74) * 32 TABLET, COATED in 1 BLISTER PACK * 42 TABLET, COATED in 1 BLISTER PACK",N/A,N/A,No,12/31/2027
ELIQUIS,50090-1436-0,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,A-S Medication Solutions,50090-1436,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,11/28/2014,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50090-1436-0)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,50090-1437-0,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,A-S Medication Solutions,50090-1437,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,11/28/2014,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50090-1437-0)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,50090-6451-0,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,A-S Medication Solutions,50090-6451,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,04/24/2023,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE (50090-6451-0)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,50090-6454-0,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,A-S Medication Solutions,50090-6454,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,04/27/2023,N/A,NDA,"60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50090-6454-0)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,55154-0612-8,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"Cardinal Health 107, LLC",55154-0612,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,12/28/2012,N/A,NDA,"4140 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55154-0612-8)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,55154-0612-0,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"Cardinal Health 107, LLC",55154-0612,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,12/28/2012,N/A,NDA,"10 BLISTER PACK in 1 BAG (55154-0612-0) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,55154-0613-0,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"Cardinal Health 107, LLC",55154-0613,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,12/28/2012,N/A,NDA,"10 BLISTER PACK in 1 BAG (55154-0613-0) / 1 TABLET, FILM COATED in 1 BLISTER PACK","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,55154-0613-8,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"Cardinal Health 107, LLC",55154-0613,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,12/28/2012,N/A,NDA,"2040 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (55154-0613-8)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
ELIQUIS,70518-4462-0,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,REMEDYREPACK INC.,70518-4462,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,08/29/2025,N/A,NDA,"30 TABLET, FILM COATED in 1 BLISTER PACK (70518-4462-0)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,71610-662-09,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"Aphena Pharma Solutions - Tennessee, LLC",71610-662,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,09/08/2022,N/A,NDA,"9000 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-662-09)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,71610-662-18,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"Aphena Pharma Solutions - Tennessee, LLC",71610-662,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,10/17/2022,N/A,NDA,"3000 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-662-18)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,71610-662-80,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"Aphena Pharma Solutions - Tennessee, LLC",71610-662,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,02/01/2023,N/A,NDA,"180 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-662-80)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,71610-662-42,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"Aphena Pharma Solutions - Tennessee, LLC",71610-662,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,01/27/2025,N/A,NDA,"1800 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (71610-662-42)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,71610-811-42,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"Aphena Pharma Solutions - Tennessee, LLC",71610-811,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,01/27/2025,N/A,NDA,"1800 TABLET, FILM COATED in 1 BOTTLE (71610-811-42)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,71610-811-80,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"Aphena Pharma Solutions - Tennessee, LLC",71610-811,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,01/27/2025,N/A,NDA,"180 TABLET, FILM COATED in 1 BOTTLE (71610-811-80)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,71610-811-83,2.5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,"Aphena Pharma Solutions - Tennessee, LLC",71610-811,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,03/28/2024,N/A,NDA,"3600 TABLET, FILM COATED in 1 BOTTLE (71610-811-83)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,82804-085-30,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,Proficient Rx LP,82804-085,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,05/30/2024,N/A,NDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (82804-085-30)","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS,82804-085-31,5 mg/1,"TABLET, FILM COATED",ORAL,NDA202155,Proficient Rx LP,82804-085,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,06/27/2024,N/A,NDA,"3 BLISTER PACK in 1 BAG (82804-085-31) / 10 TABLET, FILM COATED in 1 BLISTER PACK","Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2026
ELIQUIS SPRINKLE,0003-0898-28,.15 mg/1,CAPSULE,ORAL,NDA220073,"E.R. Squibb & Sons, L.L.C.",0003-0898,apixaban,APIXABAN,HUMAN PRESCRIPTION DRUG,09/15/2025,N/A,NDA,28 CAPSULE in 1 BOTTLE (0003-0898-28),"Factor Xa Inhibitor [EPC], Factor Xa Inhibitors [MoA]",N/A,No,12/31/2027
