Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Dobutamine,0143-9141-10,12.5 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA074277,Hikma Pharmaceuticals USA Inc.,0143-9141,Dobutamine,DOBUTAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,05/03/2023,N/A,ANDA,10 VIAL in 1 CARTON (0143-9141-10) / 20 mL in 1 VIAL,"Adrenergic beta-Agonists [MoA], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2026
DOBUTAMINE,0409-2344-01,12.5 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA074086,"Hospira, Inc.",0409-2344,DOBUTAMINE,DOBUTAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/03/2005,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0409-2344-01) / 20 mL in 1 VIAL, SINGLE-DOSE","Adrenergic beta-Agonists [MoA], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2026
DOBUTAMINE,0409-2344-02,12.5 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA074086,"Hospira, Inc.",0409-2344,DOBUTAMINE,DOBUTAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/29/2005,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 TRAY (0409-2344-02) / 20 mL in 1 VIAL, SINGLE-DOSE (0409-2344-62)","Adrenergic beta-Agonists [MoA], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2026
DOBUTAMINE,0409-2344-88,12.5 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA074086,"Hospira, Inc.",0409-2344,DOBUTAMINE,DOBUTAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/30/2005,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 TRAY (0409-2344-88) / 20 mL in 1 VIAL, SINGLE-DOSE (0409-2344-68)","Adrenergic beta-Agonists [MoA], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2027
DOBUTAMINE,51662-1337-3,12.5 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA074086,"HF Acquisition Co LLC, DBA HealthFirst",51662-1337,DOBUTAMINE,DOBUTAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/12/2022,N/A,ANDA,"10 POUCH in 1 CASE (51662-1337-3) / 1 VIAL, SINGLE-DOSE in 1 POUCH (51662-1337-2) / 20 mL in 1 VIAL, SINGLE-DOSE","Adrenergic beta-Agonists [MoA], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2026
DOBUTAMINE,51662-1337-1,12.5 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,ANDA074086,"HF Acquisition Co LLC, DBA HealthFirst",51662-1337,DOBUTAMINE,DOBUTAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/26/2018,N/A,ANDA,"20 mL in 1 VIAL, SINGLE-DOSE (51662-1337-1)","Adrenergic beta-Agonists [MoA], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2026
Dobutamine,70436-203-80,250 mg/20mL,INJECTION,INTRAVENOUS,ANDA216131,Slate Run Pharmaceuticals,70436-203,dobutamine,DOBUTAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/03/2023,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (70436-203-80) / 20 mL in 1 VIAL, SINGLE-DOSE","Adrenergic beta-Agonists [MoA], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2027
Dobutamine,70436-203-82,250 mg/20mL,INJECTION,INTRAVENOUS,ANDA216131,Slate Run Pharmaceuticals,70436-203,dobutamine,DOBUTAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/03/2023,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (70436-203-82) / 20 mL in 1 VIAL, SINGLE-DOSE","Adrenergic beta-Agonists [MoA], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2027
DOBUTAMINE HYDROCHLORIDE,51662-1566-1,100 mg/100mL,INJECTION,INTRAVENOUS,NDA020255,"HF Acquisition Co LLC, DBA HealthFirst",51662-1566,DOBUTAMINE HYDROCHLORIDE,DOBUTAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/10/2021,N/A,NDA,250 mL in 1 BAG (51662-1566-1),"Adrenergic beta-Agonists [MoA], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2026
Dobutamine Hydrochloride in Dextrose,0338-1073-02,100 mg/100mL,INJECTION,INTRAVENOUS,NDA020255,Baxter Healthcare Corporation,0338-1073,Dobutamine Hydrochloride,DOBUTAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/27/1993,N/A,NDA,18 BAG in 1 CARTON (0338-1073-02) / 250 mL in 1 BAG,"Adrenergic beta-Agonists [MoA], beta-Adrenergic Agonist [EPC]",N/A,No,12/31/2027
