Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Dopamine,43742-1281-1,8 [hp_X]/mL,LIQUID,ORAL,,"Deseret Biologicals, Inc.",43742-1281,Dopamine Hydrochloride,DOPAMINE HYDROCHLORIDE,HUMAN OTC DRUG,07/27/2018,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43742-1281-1)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
Dopamine,43857-0279-1,6 [hp_X]/mL,LIQUID,ORAL,,"BioActive Nutritional, Inc.",43857-0279,Dopamine Hydrochloride,DOPAMINE HYDROCHLORIDE,HUMAN OTC DRUG,06/12/2014,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43857-0279-1)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2027
Dopamine,43857-0412-1,6 [hp_X]/mL,LIQUID,ORAL,,BioActive Nutritional,43857-0412,Dopamine Hydrochloride,DOPAMINE HYDROCHLORIDE,HUMAN OTC DRUG,08/16/2016,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, DROPPER (43857-0412-1)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
Dopamine,55714-9002-1,30 [hp_C]/mL,LIQUID,ORAL,,"Newton Laboratories, Inc.",55714-9002,Dopamine,DOPAMINE,HUMAN OTC DRUG,01/01/2020,N/A,UNAPPROVED HOMEOPATHIC,"30 mL in 1 BOTTLE, GLASS (55714-9002-1)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
Dopamine,63083-1515-1,9 [hp_X]/29.5mL,LIQUID,ORAL,,Professional Complementary Health Formulas,63083-1515,Dopamine,DOPAMINE,HUMAN OTC DRUG,08/15/1985,N/A,UNAPPROVED HOMEOPATHIC,"29.5 mL in 1 BOTTLE, DROPPER (63083-1515-1)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2027
DOPAMINE HCI,51662-1220-1,40 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,NDA018132,"HF Acquisition Co. LLC, DBA Health First",51662-1220,DOPAMINE HCI,DOPAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,08/23/2018,N/A,NDA,"10 mL in 1 VIAL, SINGLE-DOSE (51662-1220-1)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
DOPAMINE HCI,51662-1220-3,40 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,NDA018132,"HF Acquisition Co. LLC, DBA Health First",51662-1220,DOPAMINE HCI,DOPAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,11/10/2022,N/A,NDA,"25 POUCH in 1 CASE (51662-1220-3) / 1 VIAL, SINGLE-DOSE in 1 POUCH (51662-1220-2) / 10 mL in 1 VIAL, SINGLE-DOSE","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
DOPAMINE HCI,51662-1291-3,40 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,NDA018132,"HF Acquisition Co LLC, DBA HealthFirst",51662-1291,DOPAMINE HCI,DOPAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/15/2022,N/A,NDA,"25 POUCH in 1 CASE (51662-1291-3) / 1 VIAL, SINGLE-DOSE in 1 POUCH (51662-1291-2) / 5 mL in 1 VIAL, SINGLE-DOSE","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
DOPAMINE HCI,51662-1291-1,40 mg/mL,"INJECTION, SOLUTION, CONCENTRATE",INTRAVENOUS,NDA018132,"HF Acquisition Co LLC, DBA HealthFirst",51662-1291,DOPAMINE HCI,DOPAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,09/19/2018,N/A,NDA,"5 mL in 1 VIAL, SINGLE-DOSE (51662-1291-1)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
Dopamine Hydrochloride,0143-9252-25,40 mg/mL,INJECTION,INTRAVENOUS,ANDA207707,Hikma Pharmaceuticals USA Inc.,0143-9252,Dopamine Hydrochloride,DOPAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/11/2018,N/A,ANDA,"25 VIAL, SINGLE-DOSE in 1 CARTON (0143-9252-25) / 5 mL in 1 VIAL, SINGLE-DOSE (0143-9252-01)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
Dopamine Hydrochloride,0143-9253-25,80 mg/mL,INJECTION,INTRAVENOUS,ANDA207707,Hikma Pharmaceuticals USA Inc.,0143-9253,Dopamine Hydrochloride,DOPAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/11/2018,N/A,ANDA,"25 VIAL, SINGLE-DOSE in 1 CARTON (0143-9253-25) / 5 mL in 1 VIAL, SINGLE-DOSE (0143-9253-01)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
Dopamine Hydrochloride,0143-9254-25,40 mg/mL,INJECTION,INTRAVENOUS,ANDA207707,Hikma Pharmaceuticals USA Inc.,0143-9254,Dopamine Hydrochloride,DOPAMINE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,04/11/2018,N/A,ANDA,"25 VIAL, SINGLE-DOSE in 1 CARTON (0143-9254-25) / 10 mL in 1 VIAL, SINGLE-DOSE (0143-9254-01)","Catecholamine [EPC], Catecholamines [CS]",N/A,No,12/31/2026
