Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Macitentan,0378-0606-93,10 mg/1,"TABLET, FILM COATED",ORAL,ANDA211161,Mylan Pharmaceuticals Inc.,0378-0606,Macitentan,MACITENTAN,HUMAN PRESCRIPTION DRUG,06/08/2026,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (0378-0606-93)","Endothelin Receptor Antagonist [EPC], Endothelin Receptor Antagonists [MoA]",N/A,No,12/31/2027
macitentan,0480-0915-56,10 mg/1,"TABLET, FILM COATED",ORAL,ANDA211187,"Teva Pharmaceuticals, Inc.",0480-0915,macitentan,MACITENTAN,HUMAN PRESCRIPTION DRUG,06/08/2026,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (0480-0915-56)","Endothelin Receptor Antagonist [EPC], Endothelin Receptor Antagonists [MoA]",N/A,No,12/31/2027
macitentan,0781-8135-31,10 mg/1,"TABLET, FILM COATED",ORAL,ANDA211136,Sandoz Inc,0781-8135,macitentan,MACITENTAN,HUMAN PRESCRIPTION DRUG,06/05/2026,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (0781-8135-31)","Endothelin Receptor Antagonist [EPC], Endothelin Receptor Antagonists [MoA]",N/A,No,12/31/2027
Macitentan,13668-542-05,10 mg/1,TABLET,ORAL,ANDA211107,Torrent Pharmaceuticals Limited,13668-542,Macitentan,MACITENTAN,HUMAN PRESCRIPTION DRUG,06/01/2026,N/A,ANDA,500 TABLET in 1 BOTTLE (13668-542-05),"Endothelin Receptor Antagonist [EPC], Endothelin Receptor Antagonists [MoA]",N/A,No,12/31/2027
Macitentan,13668-542-90,10 mg/1,TABLET,ORAL,ANDA211107,Torrent Pharmaceuticals Limited,13668-542,Macitentan,MACITENTAN,HUMAN PRESCRIPTION DRUG,06/01/2026,N/A,ANDA,90 TABLET in 1 BOTTLE (13668-542-90),"Endothelin Receptor Antagonist [EPC], Endothelin Receptor Antagonists [MoA]",N/A,No,12/31/2027
Macitentan,13668-542-30,10 mg/1,TABLET,ORAL,ANDA211107,Torrent Pharmaceuticals Limited,13668-542,Macitentan,MACITENTAN,HUMAN PRESCRIPTION DRUG,06/01/2026,N/A,ANDA,30 TABLET in 1 BOTTLE (13668-542-30),"Endothelin Receptor Antagonist [EPC], Endothelin Receptor Antagonists [MoA]",N/A,No,12/31/2027
Macitentan,42385-907-30,10 mg/1,"TABLET, FILM COATED",ORAL,ANDA211120,Laurus Labs Limited,42385-907,Macitentan,MACITENTAN,HUMAN PRESCRIPTION DRUG,05/15/2026,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (42385-907-30)","Endothelin Receptor Antagonist [EPC], Endothelin Receptor Antagonists [MoA]",N/A,No,12/31/2026
Macitentan,42385-907-15,10 mg/1,"TABLET, FILM COATED",ORAL,ANDA211120,Laurus Labs Limited,42385-907,Macitentan,MACITENTAN,HUMAN PRESCRIPTION DRUG,05/15/2026,N/A,ANDA,"1 BLISTER PACK in 1 CARTON (42385-907-15) / 15 TABLET, FILM COATED in 1 BLISTER PACK","Endothelin Receptor Antagonist [EPC], Endothelin Receptor Antagonists [MoA]",N/A,No,12/31/2026
Macitentan,46708-373-30,10 mg/1,"TABLET, FILM COATED",ORAL,ANDA211128,Alembic Pharmaceuticals Limited,46708-373,Macitentan,MACITENTAN,HUMAN PRESCRIPTION DRUG,06/06/2026,N/A,ANDA,"30 TABLET, FILM COATED in 1 BOTTLE (46708-373-30)","Endothelin Receptor Antagonist [EPC], Endothelin Receptor Antagonists [MoA]",N/A,No,12/31/2027
Macitentan,47335-070-30,10 mg/1,"TABLET, FILM COATED",ORAL,ANDA211123,"Sun Pharmaceutical Industries, Inc.",47335-070,Macitentan,MACITENTAN,HUMAN PRESCRIPTION DRUG,06/06/2026,N/A,ANDA,"1 BOTTLE in 1 CARTON (47335-070-30) / 30 TABLET, FILM COATED in 1 BOTTLE","Endothelin Receptor Antagonist [EPC], Endothelin Receptor Antagonists [MoA]",N/A,No,12/31/2027
