Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Milrinone Lactate,0143-9326-10,1 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA077966,Hikma Pharmaceuticals USA Inc.,0143-9326,Milrinone Lactate,MILRINONE LACTATE,HUMAN PRESCRIPTION DRUG,12/03/2010,N/A,ANDA,10 VIAL in 1 CARTON (0143-9326-10) / 20 mL in 1 VIAL (0143-9326-01),"Phosphodiesterase 3 Inhibitor [EPC], Phosphodiesterase 3 Inhibitors [MoA]",N/A,No,12/31/2026
Milrinone Lactate,0143-9373-10,1 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA077966,Hikma Pharmaceuticals USA Inc.,0143-9373,Milrinone Lactate,MILRINONE LACTATE,HUMAN PRESCRIPTION DRUG,12/03/2010,N/A,ANDA,10 VIAL in 1 CARTON (0143-9373-10) / 10 mL in 1 VIAL (0143-9373-01),"Phosphodiesterase 3 Inhibitor [EPC], Phosphodiesterase 3 Inhibitors [MoA]",N/A,No,12/31/2026
Milrinone Lactate,0143-9374-10,1 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA077966,Hikma Pharmaceuticals USA Inc.,0143-9374,Milrinone Lactate,MILRINONE LACTATE,HUMAN PRESCRIPTION DRUG,12/03/2010,N/A,ANDA,10 VIAL in 1 CARTON (0143-9374-10) / 20 mL in 1 VIAL (0143-9374-01),"Phosphodiesterase 3 Inhibitor [EPC], Phosphodiesterase 3 Inhibitors [MoA]",N/A,No,12/31/2026
Milrinone Lactate,0143-9708-01,1 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA077966,Hikma Pharmaceuticals USA Inc.,0143-9708,Milrinone Lactate,MILRINONE LACTATE,HUMAN PRESCRIPTION DRUG,12/03/2010,N/A,ANDA,50 mL in 1 BOX (0143-9708-01),"Phosphodiesterase 3 Inhibitor [EPC], Phosphodiesterase 3 Inhibitors [MoA]",N/A,No,12/31/2027
Milrinone Lactate,0143-9708-10,1 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA077966,Hikma Pharmaceuticals USA Inc.,0143-9708,Milrinone Lactate,MILRINONE LACTATE,HUMAN PRESCRIPTION DRUG,12/03/2010,N/A,ANDA,10 BOX in 1 BOX (0143-9708-10) / 50 mL in 1 BOX (0143-9708-01),"Phosphodiesterase 3 Inhibitor [EPC], Phosphodiesterase 3 Inhibitors [MoA]",N/A,No,12/31/2027
Milrinone Lactate,0143-9709-10,1 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA077966,Hikma Pharmaceuticals USA Inc.,0143-9709,Milrinone Lactate,MILRINONE LACTATE,HUMAN PRESCRIPTION DRUG,12/03/2010,N/A,ANDA,10 VIAL in 1 BOX (0143-9709-10) / 20 mL in 1 VIAL (0143-9709-01),"Phosphodiesterase 3 Inhibitor [EPC], Phosphodiesterase 3 Inhibitors [MoA]",N/A,No,12/31/2027
Milrinone Lactate,0143-9710-10,1 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA077966,Hikma Pharmaceuticals USA Inc.,0143-9710,Milrinone Lactate,MILRINONE LACTATE,HUMAN PRESCRIPTION DRUG,12/03/2010,N/A,ANDA,10 VIAL in 1 BOX (0143-9710-10) / 10 mL in 1 VIAL (0143-9710-01),"Phosphodiesterase 3 Inhibitor [EPC], Phosphodiesterase 3 Inhibitors [MoA]",N/A,No,12/31/2027
Milrinone Lactate,0143-9710-25,1 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA077966,Hikma Pharmaceuticals USA Inc.,0143-9710,Milrinone Lactate,MILRINONE LACTATE,HUMAN PRESCRIPTION DRUG,12/03/2010,N/A,ANDA,25 VIAL in 1 BOX (0143-9710-25) / 10 mL in 1 VIAL (0143-9710-01),"Phosphodiesterase 3 Inhibitor [EPC], Phosphodiesterase 3 Inhibitors [MoA]",N/A,No,12/31/2027
MILRINONE LACTATE,0409-0212-03,1 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA203280,"Hospira, Inc.",0409-0212,MILRINONE LACTATE,MILRINONE LACTATE,HUMAN PRESCRIPTION DRUG,03/31/2015,N/A,ANDA,"1 VIAL, SINGLE-DOSE in 1 CARTON (0409-0212-03) / 50 mL in 1 VIAL, SINGLE-DOSE","Phosphodiesterase 3 Inhibitor [EPC], Phosphodiesterase 3 Inhibitors [MoA]",N/A,No,12/31/2026
MILRINONE LACTATE,0409-0212-01,1 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA203280,"Hospira, Inc.",0409-0212,MILRINONE LACTATE,MILRINONE LACTATE,HUMAN PRESCRIPTION DRUG,04/01/2015,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (0409-0212-01) / 10 mL in 1 VIAL, SINGLE-DOSE (0409-0212-10)","Phosphodiesterase 3 Inhibitor [EPC], Phosphodiesterase 3 Inhibitors [MoA]",N/A,No,12/31/2026
MILRINONE LACTATE,0409-0212-02,1 mg/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA203280,"Hospira, Inc.",0409-0212,MILRINONE LACTATE,MILRINONE LACTATE,HUMAN PRESCRIPTION DRUG,04/01/2015,N/A,ANDA,"10 VIAL, SINGLE-DOSE in 1 CARTON (0409-0212-02) / 20 mL in 1 VIAL, SINGLE-DOSE (0409-0212-11)","Phosphodiesterase 3 Inhibitor [EPC], Phosphodiesterase 3 Inhibitors [MoA]",N/A,No,12/31/2026
