Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Procainamide Hydrochloride,0409-1902-01,100 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA089069,"Hospira, Inc.",0409-1902,PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,03/08/2006,N/A,ANDA,"25 CARTON in 1 CASE (0409-1902-01) / 1 VIAL, MULTI-DOSE in 1 CARTON (0409-1902-11) / 10 mL in 1 VIAL, MULTI-DOSE",Antiarrhythmic [EPC],N/A,No,12/31/2027
Procainamide Hydrochloride,14789-900-02,500 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA206332,Nexus Pharmaceuticals LLC,14789-900,Procainamide Hydrochloride,PROCAINAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/14/2007,N/A,ANDA,"10 VIAL, MULTI-DOSE in 1 CARTON (14789-900-02) / 2 mL in 1 VIAL, MULTI-DOSE",Antiarrhythmic [EPC],N/A,No,12/31/2026
Procainamide Hydrochloride,14789-901-10,100 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA206332,Nexus Pharmaceuticals LLC,14789-901,Procainamide Hydrochloride,PROCAINAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,10/14/2007,N/A,ANDA,"10 VIAL, MULTI-DOSE in 1 CARTON (14789-901-10) / 10 mL in 1 VIAL, MULTI-DOSE",Antiarrhythmic [EPC],N/A,No,12/31/2026
Procainamide Hydrochloride,25021-322-10,100 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA218135,Sagent Pharmaceuticals,25021-322,Procainamide Hydrochloride,PROCAINAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/15/2025,N/A,ANDA,10 VIAL in 1 CARTON (25021-322-10) / 10 mL in 1 VIAL,Antiarrhythmic [EPC],N/A,No,12/31/2026
Procainamide Hydrochloride,25021-323-02,500 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA218135,Sagent Pharmaceuticals,25021-323,Procainamide Hydrochloride,PROCAINAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,01/15/2025,N/A,ANDA,10 VIAL in 1 CARTON (25021-323-02) / 2 mL in 1 VIAL,Antiarrhythmic [EPC],N/A,No,12/31/2026
PROCAINAMIDE HYDROCHLORIDE,51662-1630-3,100 mg/mL,INJECTION,INTRAMUSCULAR; INTRAVENOUS,ANDA088636,"HF Acquisition Co LLC, DBA HealthFirst",51662-1630,PROCAINAMIDE HYDROCHLORIDE,PROCAINAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,06/23/2023,N/A,ANDA,5 POUCH in 1 CASE (51662-1630-3) / 1 BOX in 1 POUCH (51662-1630-2) / 1 SYRINGE in 1 BOX / 10 mL in 1 SYRINGE (51662-1630-1),Antiarrhythmic [EPC],N/A,No,12/31/2027
Procainamide Hydrochloride,65145-155-10,100 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA218674,Caplin Steriles Limited,65145-155,Procainamide Hydrochloride,PROCAINAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2025,N/A,ANDA,"10 VIAL, MULTI-DOSE in 1 CARTON (65145-155-10) / 10 mL in 1 VIAL, MULTI-DOSE (65145-155-01)",Antiarrhythmic [EPC],N/A,No,12/31/2026
Procainamide Hydrochloride,65145-156-10,500 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA218674,Caplin Steriles Limited,65145-156,Procainamide Hydrochloride,PROCAINAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,02/17/2025,N/A,ANDA,"10 VIAL, MULTI-DOSE in 1 CARTON (65145-156-10) / 2 mL in 1 VIAL, MULTI-DOSE (65145-156-01)",Antiarrhythmic [EPC],N/A,No,12/31/2026
Procainamide Hydrochloride,68083-603-25,100 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA218135,Gland Pharma Limited,68083-603,Procainamide Hydrochloride,PROCAINAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/22/2024,N/A,ANDA,"25 CARTON in 1 CASE (68083-603-25) / 1 VIAL, MULTI-DOSE in 1 CARTON (68083-603-01) / 10 mL in 1 VIAL, MULTI-DOSE",Antiarrhythmic [EPC],N/A,No,12/31/2026
Procainamide Hydrochloride,68083-604-25,500 mg/mL,"INJECTION, SOLUTION",INTRAMUSCULAR; INTRAVENOUS,ANDA218135,Gland Pharma Limited,68083-604,Procainamide Hydrochloride,PROCAINAMIDE HYDROCHLORIDE,HUMAN PRESCRIPTION DRUG,07/22/2024,N/A,ANDA,"25 VIAL, MULTI-DOSE in 1 CASE (68083-604-25) / 2 mL in 1 VIAL, MULTI-DOSE",Antiarrhythmic [EPC],N/A,No,12/31/2026
