Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Orenitram,66302-300-02,.125 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA203496,United Therapeutics Corporation,66302-300,treprostinil,TREPROSTINIL,HUMAN PRESCRIPTION DRUG,06/30/2021,N/A,NDA,"1 BLISTER PACK in 1 CARTON (66302-300-02) / 10 TABLET, EXTENDED RELEASE in 1 BLISTER PACK","Prostacycline Vasodilator [EPC], Prostaglandins I [CS], Vasodilation [PE]",N/A,No,12/31/2026
Orenitram,66302-300-01,.125 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA203496,United Therapeutics Corporation,66302-300,treprostinil,TREPROSTINIL,HUMAN PRESCRIPTION DRUG,12/20/2013,N/A,NDA,"100 TABLET, EXTENDED RELEASE in 1 BOTTLE (66302-300-01)","Prostacycline Vasodilator [EPC], Prostaglandins I [CS], Vasodilation [PE]",N/A,No,12/31/2026
Orenitram,66302-302-02,.25 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA203496,United Therapeutics Corporation,66302-302,treprostinil,TREPROSTINIL,HUMAN PRESCRIPTION DRUG,06/30/2021,N/A,NDA,"1 BLISTER PACK in 1 CARTON (66302-302-02) / 10 TABLET, EXTENDED RELEASE in 1 BLISTER PACK","Prostacycline Vasodilator [EPC], Prostaglandins I [CS], Vasodilation [PE]",N/A,No,12/31/2026
Orenitram,66302-302-01,.25 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA203496,United Therapeutics Corporation,66302-302,treprostinil,TREPROSTINIL,HUMAN PRESCRIPTION DRUG,12/20/2013,N/A,NDA,"100 TABLET, EXTENDED RELEASE in 1 BOTTLE (66302-302-01)","Prostacycline Vasodilator [EPC], Prostaglandins I [CS], Vasodilation [PE]",N/A,No,12/31/2026
Orenitram,66302-310-02,1 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA203496,United Therapeutics Corporation,66302-310,treprostinil,TREPROSTINIL,HUMAN PRESCRIPTION DRUG,06/30/2021,N/A,NDA,"1 BLISTER PACK in 1 CARTON (66302-310-02) / 10 TABLET, EXTENDED RELEASE in 1 BLISTER PACK","Prostacycline Vasodilator [EPC], Prostaglandins I [CS], Vasodilation [PE]",N/A,No,12/31/2026
Orenitram,66302-310-01,1 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA203496,United Therapeutics Corporation,66302-310,treprostinil,TREPROSTINIL,HUMAN PRESCRIPTION DRUG,12/20/2013,N/A,NDA,"100 TABLET, EXTENDED RELEASE in 1 BOTTLE (66302-310-01)","Prostacycline Vasodilator [EPC], Prostaglandins I [CS], Vasodilation [PE]",N/A,No,12/31/2026
Orenitram,66302-325-02,2.5 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA203496,United Therapeutics Corporation,66302-325,treprostinil,TREPROSTINIL,HUMAN PRESCRIPTION DRUG,06/30/2021,N/A,NDA,"1 BLISTER PACK in 1 CARTON (66302-325-02) / 10 TABLET, EXTENDED RELEASE in 1 BLISTER PACK","Prostacycline Vasodilator [EPC], Prostaglandins I [CS], Vasodilation [PE]",N/A,No,12/31/2026
Orenitram,66302-325-01,2.5 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA203496,United Therapeutics Corporation,66302-325,treprostinil,TREPROSTINIL,HUMAN PRESCRIPTION DRUG,12/20/2013,N/A,NDA,"100 TABLET, EXTENDED RELEASE in 1 BOTTLE (66302-325-01)","Prostacycline Vasodilator [EPC], Prostaglandins I [CS], Vasodilation [PE]",N/A,No,12/31/2026
Orenitram,66302-350-01,5 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA203496,United Therapeutics Corporation,66302-350,treprostinil,TREPROSTINIL,HUMAN PRESCRIPTION DRUG,12/20/2013,N/A,NDA,"100 TABLET, EXTENDED RELEASE in 1 BOTTLE (66302-350-01)","Prostacycline Vasodilator [EPC], Prostaglandins I [CS], Vasodilation [PE]",N/A,No,12/31/2026
Orenitram,66302-350-02,5 mg/1,"TABLET, EXTENDED RELEASE",ORAL,NDA203496,United Therapeutics Corporation,66302-350,treprostinil,TREPROSTINIL,HUMAN PRESCRIPTION DRUG,06/30/2021,N/A,NDA,"1 BLISTER PACK in 1 CARTON (66302-350-02) / 10 TABLET, EXTENDED RELEASE in 1 BLISTER PACK","Prostacycline Vasodilator [EPC], Prostaglandins I [CS], Vasodilation [PE]",N/A,No,12/31/2026
