Proprietary Name,NDC Package Code,Strength,Dosage Form,Route,Appl. No.,Labeler Name,Product NDC,Nonproprietary Name,Substance Name,Product Type Name,Start Marketing Date,End Marketing Date,Market Category,Package Description,Pharm Class,DEA,Sample Package,Listing Record Certified Through:
Vasopressin,0517-1020-25,20 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA212593,"American Regent, Inc.",0517-1020,Vasopressin,VASOPRESSIN,HUMAN PRESCRIPTION DRUG,02/03/2022,N/A,NDA,"25 VIAL, SINGLE-DOSE in 1 CARTON (0517-1020-25) / 1 mL in 1 VIAL, SINGLE-DOSE (0517-1020-01)","Decreased Diuresis [PE], Vasoconstriction [PE], Vasopressins [CS]",N/A,No,12/31/2026
Vasopressin,0517-1030-01,20 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA212593,"American Regent, Inc.",0517-1030,Vasopressin,VASOPRESSIN,HUMAN PRESCRIPTION DRUG,06/21/2023,N/A,NDA,"1 VIAL, MULTI-DOSE in 1 CARTON (0517-1030-01) / 10 mL in 1 VIAL, MULTI-DOSE","Decreased Diuresis [PE], Vasoconstriction [PE], Vasopressins [CS]",N/A,No,12/31/2026
Vasopressin,0548-9701-00,20 [USP'U]/mL,INJECTION,INTRAVENOUS,ANDA211857,"Amphastar Pharmaceuticals, Inc.",0548-9701,Vasopressin,VASOPRESSIN,HUMAN PRESCRIPTION DRUG,08/31/2022,N/A,ANDA,1 VIAL in 1 CARTON (0548-9701-00) / 1 mL in 1 VIAL,"Decreased Diuresis [PE], Vasoconstriction [PE], Vasopressins [CS]",N/A,No,12/31/2026
Vasopressin,25021-474-01,20 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS,ANDA216963,Sagent Pharmaceuticals,25021-474,Vasopressin,VASOPRESSIN,HUMAN PRESCRIPTION DRUG,11/15/2024,N/A,ANDA,25 VIAL in 1 CARTON (25021-474-01) / 1 mL in 1 VIAL,"Decreased Diuresis [PE], Vasoconstriction [PE], Vasopressins [CS]",N/A,No,12/31/2026
vasopressin,43598-914-06,20 [USP'U]/mL,INJECTION,INTRAVENOUS,ANDA213988,"Dr. Reddy's Laboratories, Inc.",43598-914,Vasopressin,"VASOPRESSIN, UNSPECIFIED",HUMAN PRESCRIPTION DRUG,09/05/2024,N/A,ANDA,25 VIAL in 1 CARTON (43598-914-06) / 1 mL in 1 VIAL (43598-914-11),N/A,N/A,No,12/31/2026
VASOPRESSIN,51662-1314-1,20 [USP'U]/mL,INJECTION,INTRAVENOUS,NDA204485,"HF Acquisition Co LLC, DBA HealthFirst",51662-1314,VASOPRESSIN,"VASOPRESSIN, UNSPECIFIED",HUMAN PRESCRIPTION DRUG,11/17/2018,N/A,NDA,1 mL in 1 VIAL (51662-1314-1),N/A,N/A,No,12/31/2026
VASOPRESSIN,51662-1314-2,20 [USP'U]/mL,INJECTION,INTRAVENOUS,NDA204485,"HF Acquisition Co LLC, DBA HealthFirst",51662-1314,VASOPRESSIN,"VASOPRESSIN, UNSPECIFIED",HUMAN PRESCRIPTION DRUG,11/01/2021,N/A,NDA,1 VIAL in 1 POUCH (51662-1314-2) / 1 mL in 1 VIAL,N/A,N/A,No,12/31/2026
VASOPRESSIN,51662-1623-2,20 [USP'U]/mL,INJECTION,INTRAVENOUS,ANDA214314,"HF Acquisition Co LLC, DBA HealthFirst",51662-1623,VASOPRESSIN,"VASOPRESSIN, UNSPECIFIED",HUMAN PRESCRIPTION DRUG,03/02/2023,N/A,ANDA,"1 VIAL, MULTI-DOSE in 1 POUCH (51662-1623-2) / 1 mL in 1 VIAL, MULTI-DOSE",N/A,N/A,No,12/31/2026
VASOPRESSIN,51662-1623-1,20 [USP'U]/mL,INJECTION,INTRAVENOUS,ANDA214314,"HF Acquisition Co LLC, DBA HealthFirst",51662-1623,VASOPRESSIN,"VASOPRESSIN, UNSPECIFIED",HUMAN PRESCRIPTION DRUG,03/02/2023,N/A,ANDA,"1 mL in 1 VIAL, MULTI-DOSE (51662-1623-1)",N/A,N/A,No,12/31/2026
VASOPRESSIN,51662-1682-2,20 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA212593,"HF Acquisition Co LLC, DBA HealthFirst",51662-1682,VASOPRESSIN,VASOPRESSIN,HUMAN PRESCRIPTION DRUG,06/21/2023,N/A,NDA,1 VIAL in 1 POUCH (51662-1682-2) / 10 mL in 1 VIAL (51662-1682-1),"Decreased Diuresis [PE], Vasoconstriction [PE], Vasopressins [CS]",N/A,No,12/31/2027
VASOPRESSIN,51662-1688-2,20 [USP'U]/mL,"INJECTION, SOLUTION",INTRAVENOUS,NDA212593,"HF Acquisition Co LLC, DBA HealthFirst",51662-1688,VASOPRESSIN,VASOPRESSIN,HUMAN PRESCRIPTION DRUG,02/03/2022,N/A,NDA,1 VIAL in 1 POUCH (51662-1688-2) / 1 mL in 1 VIAL (51662-1688-1),"Decreased Diuresis [PE], Vasoconstriction [PE], Vasopressins [CS]",N/A,No,12/31/2027
VASOPRESSIN,51662-1694-2,20 [USP'U]/mL,INJECTION,INTRAVENOUS,ANDA213988,"HF Acquisition Co LLC, DBA HealthFirst",51662-1694,VASOPRESSIN,"VASOPRESSIN, UNSPECIFIED",HUMAN PRESCRIPTION DRUG,05/09/2024,N/A,ANDA,1 VIAL in 1 POUCH (51662-1694-2) / 1 mL in 1 VIAL (51662-1694-1),N/A,N/A,No,12/31/2027
