"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Norvasc","0069-1520-68","2.5 mg/1","TABLET","ORAL","NDA019787","PFIZER LABORATORIES DIV PFIZER INC","0069-1520","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","07/31/1992","10/31/2027","NDA","90 TABLET in 1 BOTTLE (0069-1520-68)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","N/A"
"Norvasc","0069-1530-72","5 mg/1","TABLET","ORAL","NDA019787","PFIZER LABORATORIES DIV PFIZER INC","0069-1530","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","07/31/1992","09/30/2026","NDA","300 TABLET in 1 BOTTLE (0069-1530-72)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","N/A"
"Norvasc","0069-1530-68","5 mg/1","TABLET","ORAL","NDA019787","PFIZER LABORATORIES DIV PFIZER INC","0069-1530","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","07/31/1992","07/31/2027","NDA","90 TABLET in 1 BOTTLE (0069-1530-68)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","N/A"
"Norvasc","0069-1540-68","10 mg/1","TABLET","ORAL","NDA019787","PFIZER LABORATORIES DIV PFIZER INC","0069-1540","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","07/31/1992","10/31/2027","NDA","90 TABLET in 1 BOTTLE (0069-1540-68)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","N/A"
"Norvasc","58151-353-77","2.5 mg/1","TABLET","ORAL","NDA019787","Viatris Specialty LLC","58151-353","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","11/12/2024","N/A","NDA","90 TABLET in 1 BOTTLE (58151-353-77)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Norvasc","58151-354-30","5 mg/1","TABLET","ORAL","NDA019787","Viatris Specialty LLC","58151-354","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","01/23/2025","N/A","NDA","300 TABLET in 1 BOTTLE (58151-354-30)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Norvasc","58151-354-88","5 mg/1","TABLET","ORAL","NDA019787","Viatris Specialty LLC","58151-354","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","09/24/2024","N/A","NDA","100 BLISTER PACK in 1 BOX, UNIT-DOSE (58151-354-88)  / 1 TABLET in 1 BLISTER PACK","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Norvasc","58151-354-77","5 mg/1","TABLET","ORAL","NDA019787","Viatris Specialty LLC","58151-354","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","12/31/2024","N/A","NDA","90 TABLET in 1 BOTTLE (58151-354-77)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Norvasc","58151-355-77","10 mg/1","TABLET","ORAL","NDA019787","Viatris Specialty LLC","58151-355","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","05/24/2024","N/A","NDA","90 TABLET in 1 BOTTLE (58151-355-77)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Norvasc","58151-355-88","10 mg/1","TABLET","ORAL","NDA019787","Viatris Specialty LLC","58151-355","amlodipine besylate","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","02/09/2024","N/A","NDA","100 BLISTER PACK in 1 BOX, UNIT-DOSE (58151-355-88)  / 1 TABLET in 1 BLISTER PACK","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
