"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"amlodipine,valsartan and hydrochlorothiazide","33342-283-07","5 mg/1,  12.5 mg/1,  160 mg/1","TABLET, FILM COATED","ORAL","ANDA207299","Macleods Pharmaceuticals Limited","33342-283","amlodipine,valsartan and hydrochlorothiazide","AMLODIPINE BESYLATE,  VALSARTAN,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","01/06/2025","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE (33342-283-07)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"amlodipine,valsartan and hydrochlorothiazide","33342-283-10","5 mg/1,  12.5 mg/1,  160 mg/1","TABLET, FILM COATED","ORAL","ANDA207299","Macleods Pharmaceuticals Limited","33342-283","amlodipine,valsartan and hydrochlorothiazide","AMLODIPINE BESYLATE,  VALSARTAN,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","01/06/2025","N/A","ANDA","90 TABLET, FILM COATED in 1 BOTTLE (33342-283-10)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"amlodipine,valsartan and hydrochlorothiazide","33342-283-12","5 mg/1,  12.5 mg/1,  160 mg/1","TABLET, FILM COATED","ORAL","ANDA207299","Macleods Pharmaceuticals Limited","33342-283","amlodipine,valsartan and hydrochlorothiazide","AMLODIPINE BESYLATE,  VALSARTAN,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","01/06/2025","N/A","ANDA","10 BLISTER PACK in 1 CARTON (33342-283-12)  / 10 TABLET, FILM COATED in 1 BLISTER PACK","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"AMLODIPINE BESYLATE","69097-127-05","5 mg/1","TABLET","ORAL","ANDA077073","Cipla USA Inc.","69097-127","AMLODIPINE BESYLATE","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","09/26/2007","N/A","ANDA","90 TABLET in 1 BOTTLE (69097-127-05)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"AMLODIPINE BESYLATE","69097-127-15","5 mg/1","TABLET","ORAL","ANDA077073","Cipla USA Inc.","69097-127","AMLODIPINE BESYLATE","AMLODIPINE BESYLATE","HUMAN PRESCRIPTION DRUG","09/26/2007","N/A","ANDA","1000 TABLET in 1 BOTTLE (69097-127-15)","Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"olmesartan medoxomil / amlodipine besylate / hydrochlorothiazide","70518-4165-0","5 mg/1,  25 mg/1,  40 mg/1","TABLET, FILM COATED","ORAL","ANDA206137","REMEDYREPACK INC.","70518-4165","olmesartan medoxomil / amlodipine besylate / hydrochlorothiazide","OLMESARTAN MEDOXOMIL,  AMLODIPINE BESYLATE,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","08/22/2024","N/A","ANDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (70518-4165-0)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2027"
"Exforge HCT","0078-0559-15","5 mg/1,  12.5 mg/1,  160 mg/1","TABLET, FILM COATED","ORAL","NDA022314","Novartis Pharmaceuticals Corporation","0078-0559","amlodipine valsartan and hydrochlorothiazide","AMLODIPINE BESYLATE,  VALSARTAN,  HYDROCHLOROTHIAZIDE","HUMAN PRESCRIPTION DRUG","04/04/2009","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE (0078-0559-15)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS],  Increased Diuresis [PE],  Thiazide Diuretic [EPC],  Thiazides [CS]","N/A","No","12/31/2026"
"amlodipine and valsartan","33342-280-07","10 mg/1,  160 mg/1","TABLET","ORAL","ANDA207292","Macleods Pharmaceuticals Limited","33342-280","amlodipine and valsartan","AMLODIPINE BESYLATE,  VALSARTAN","HUMAN PRESCRIPTION DRUG","10/16/2024","N/A","ANDA","30 TABLET in 1 BOTTLE (33342-280-07)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"amlodipine and valsartan","33342-280-10","10 mg/1,  160 mg/1","TABLET","ORAL","ANDA207292","Macleods Pharmaceuticals Limited","33342-280","amlodipine and valsartan","AMLODIPINE BESYLATE,  VALSARTAN","HUMAN PRESCRIPTION DRUG","10/16/2024","N/A","ANDA","90 TABLET in 1 BOTTLE (33342-280-10)","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"amlodipine and valsartan","33342-280-12","10 mg/1,  160 mg/1","TABLET","ORAL","ANDA207292","Macleods Pharmaceuticals Limited","33342-280","amlodipine and valsartan","AMLODIPINE BESYLATE,  VALSARTAN","HUMAN PRESCRIPTION DRUG","10/16/2024","N/A","ANDA","10 BLISTER PACK in 1 CARTON (33342-280-12)  / 10 TABLET in 1 BLISTER PACK","Angiotensin 2 Receptor Antagonists [MoA],  Angiotensin 2 Receptor Blocker [EPC],  Calcium Channel Antagonists [MoA],  Calcium Channel Blocker [EPC],  Cytochrome P450 3A Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
