"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Carvedilol","0093-0051-05","3.125 mg/1","TABLET, FILM COATED","ORAL","ANDA076373","Teva Pharmaceuticals USA, Inc.","0093-0051","Carvedilol","CARVEDILOL","HUMAN PRESCRIPTION DRUG","12/02/2008","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (0093-0051-05)","Adrenergic alpha-Antagonists [MoA],  Adrenergic beta1-Antagonists [MoA],  Adrenergic beta2-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Carvedilol","0093-0051-01","3.125 mg/1","TABLET, FILM COATED","ORAL","ANDA076373","Teva Pharmaceuticals USA, Inc.","0093-0051","Carvedilol","CARVEDILOL","HUMAN PRESCRIPTION DRUG","09/06/2007","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0093-0051-01)","Adrenergic alpha-Antagonists [MoA],  Adrenergic beta1-Antagonists [MoA],  Adrenergic beta2-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Carvedilol","0093-0135-05","6.25 mg/1","TABLET, FILM COATED","ORAL","ANDA076373","Teva Pharmaceuticals USA, Inc.","0093-0135","Carvedilol","CARVEDILOL","HUMAN PRESCRIPTION DRUG","12/02/2008","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (0093-0135-05)","Adrenergic alpha-Antagonists [MoA],  Adrenergic beta1-Antagonists [MoA],  Adrenergic beta2-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Carvedilol","0093-0135-01","6.25 mg/1","TABLET, FILM COATED","ORAL","ANDA076373","Teva Pharmaceuticals USA, Inc.","0093-0135","Carvedilol","CARVEDILOL","HUMAN PRESCRIPTION DRUG","09/06/2007","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0093-0135-01)","Adrenergic alpha-Antagonists [MoA],  Adrenergic beta1-Antagonists [MoA],  Adrenergic beta2-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Carvedilol","0093-7295-05","12.5 mg/1","TABLET, FILM COATED","ORAL","ANDA076373","Teva Pharmaceuticals USA, Inc.","0093-7295","Carvedilol","CARVEDILOL","HUMAN PRESCRIPTION DRUG","12/02/2008","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (0093-7295-05)","Adrenergic alpha-Antagonists [MoA],  Adrenergic beta1-Antagonists [MoA],  Adrenergic beta2-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Carvedilol","0093-7295-01","12.5 mg/1","TABLET, FILM COATED","ORAL","ANDA076373","Teva Pharmaceuticals USA, Inc.","0093-7295","Carvedilol","CARVEDILOL","HUMAN PRESCRIPTION DRUG","09/06/2007","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0093-7295-01)","Adrenergic alpha-Antagonists [MoA],  Adrenergic beta1-Antagonists [MoA],  Adrenergic beta2-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Carvedilol","0093-7296-01","25 mg/1","TABLET, FILM COATED","ORAL","ANDA076373","Teva Pharmaceuticals USA, Inc.","0093-7296","Carvedilol","CARVEDILOL","HUMAN PRESCRIPTION DRUG","09/06/2007","N/A","ANDA","100 TABLET, FILM COATED in 1 BOTTLE (0093-7296-01)","Adrenergic alpha-Antagonists [MoA],  Adrenergic beta1-Antagonists [MoA],  Adrenergic beta2-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Carvedilol","0093-7296-05","25 mg/1","TABLET, FILM COATED","ORAL","ANDA076373","Teva Pharmaceuticals USA, Inc.","0093-7296","Carvedilol","CARVEDILOL","HUMAN PRESCRIPTION DRUG","12/02/2008","N/A","ANDA","500 TABLET, FILM COATED in 1 BOTTLE (0093-7296-05)","Adrenergic alpha-Antagonists [MoA],  Adrenergic beta1-Antagonists [MoA],  Adrenergic beta2-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Carvedilol","0615-8387-39","3.125 mg/1","TABLET, FILM COATED","ORAL","ANDA076373","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8387","Carvedilol","CARVEDILOL","HUMAN PRESCRIPTION DRUG","02/23/2021","N/A","ANDA","30 TABLET, FILM COATED in 1 BLISTER PACK (0615-8387-39)","Adrenergic alpha-Antagonists [MoA],  Adrenergic beta1-Antagonists [MoA],  Adrenergic beta2-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Carvedilol","0615-8387-05","3.125 mg/1","TABLET, FILM COATED","ORAL","ANDA076373","NCS HealthCare of KY, LLC dba Vangard Labs","0615-8387","Carvedilol","CARVEDILOL","HUMAN PRESCRIPTION DRUG","08/08/2023","N/A","ANDA","15 TABLET, FILM COATED in 1 BLISTER PACK (0615-8387-05)","Adrenergic alpha-Antagonists [MoA],  Adrenergic beta1-Antagonists [MoA],  Adrenergic beta2-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
