"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Atenolol and Chlorthalidone","0591-5782-01","50 mg/1,                         25  mg/1","TABLET","ORAL","ANDA073665","Actavis Pharma, Inc.","0591-5782","Atenolol and Chlorthalidone","ATENOLOL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","08/01/1992","N/A","ANDA","100 TABLET in 1 BOTTLE (0591-5782-01)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Atenolol and Chlorthalidone","0591-5783-01","100 mg/1,                         25  mg/1","TABLET","ORAL","ANDA073665","Actavis Pharma, Inc.","0591-5783","Atenolol and Chlorthalidone","ATENOLOL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","08/01/1992","N/A","ANDA","100 TABLET in 1 BOTTLE (0591-5783-01)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"ATENOLOL AND CHLORTHALIDONE","10135-733-01","50 mg/1,                         25  mg/1","TABLET","ORAL","ANDA215560","MARLEX PHARMACEUTICALS, INC","10135-733","atenolol and chlorthalidone tablet","ATENOLOL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","03/01/2022","N/A","ANDA","100 TABLET in 1 BOTTLE (10135-733-01)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"ATENOLOL AND CHLORTHALIDONE","10135-734-01","100 mg/1,                         25  mg/1","TABLET","ORAL","ANDA215560","MARLEX PHARMACEUTICALS, INC","10135-734","atenolol and chlorthalidone tablet","ATENOLOL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","03/01/2022","N/A","ANDA","100 TABLET in 1 BOTTLE (10135-734-01)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Atenolol and Chlorthalidone","16714-936-01","50 mg/1,                         25  mg/1","TABLET","ORAL","ANDA210028","Northstar Rx LLC.","16714-936","Atenolol and Chlorthalidone","ATENOLOL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","03/26/2019","N/A","ANDA","100 TABLET in 1 BOTTLE (16714-936-01)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Atenolol and Chlorthalidone","16714-937-01","100 mg/1,                         25  mg/1","TABLET","ORAL","ANDA210028","Northstar Rx LLC.","16714-937","Atenolol and Chlorthalidone","ATENOLOL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","03/26/2019","N/A","ANDA","100 TABLET in 1 BOTTLE (16714-937-01)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Atenolol and Chlorthalidone","29300-400-05","50 mg/1,                         25  mg/1","TABLET","ORAL","ANDA213302","Unichem Pharmaceuticals (USA), Inc.","29300-400","Atenolol and Chlorthalidone","ATENOLOL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","12/14/2020","N/A","ANDA","500 TABLET in 1 BOTTLE (29300-400-05)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Atenolol and Chlorthalidone","29300-400-01","50 mg/1,                         25  mg/1","TABLET","ORAL","ANDA213302","Unichem Pharmaceuticals (USA), Inc.","29300-400","Atenolol and Chlorthalidone","ATENOLOL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","12/14/2020","N/A","ANDA","100 TABLET in 1 BOTTLE (29300-400-01)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Atenolol and Chlorthalidone","29300-401-01","100 mg/1,                         25  mg/1","TABLET","ORAL","ANDA213302","Unichem Pharmaceuticals (USA), Inc.","29300-401","Atenolol and Chlorthalidone","ATENOLOL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","12/14/2020","N/A","ANDA","100 TABLET in 1 BOTTLE (29300-401-01)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Atenolol and Chlorthalidone","29300-401-05","100 mg/1,                         25  mg/1","TABLET","ORAL","ANDA213302","Unichem Pharmaceuticals (USA), Inc.","29300-401","Atenolol and Chlorthalidone","ATENOLOL;  CHLORTHALIDONE","HUMAN PRESCRIPTION DRUG","12/14/2020","N/A","ANDA","500 TABLET in 1 BOTTLE (29300-401-05)","Adrenergic beta-Antagonists [MoA],  Increased Diuresis [PE],  Thiazide-like Diuretic [EPC],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
