"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Felodipine","0603-3581-21","2.5 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200815","Endo USA, Inc.","0603-3581","Felodipine","FELODIPINE","HUMAN PRESCRIPTION DRUG","03/31/2009","N/A","ANDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0603-3581-21)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Felodipine","0603-3581-28","2.5 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200815","Endo USA, Inc.","0603-3581","Felodipine","FELODIPINE","HUMAN PRESCRIPTION DRUG","03/31/2009","N/A","ANDA","500 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0603-3581-28)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Felodipine","0603-3582-21","5 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200815","Endo USA, Inc.","0603-3582","Felodipine","FELODIPINE","HUMAN PRESCRIPTION DRUG","12/15/2011","N/A","ANDA","100 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0603-3582-21)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Felodipine","0603-3582-28","5 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA200815","Endo USA, Inc.","0603-3582","Felodipine","FELODIPINE","HUMAN PRESCRIPTION DRUG","12/15/2011","N/A","ANDA","500 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0603-3582-28)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Felodipine","0603-3583-21","10 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA200815","Endo USA, Inc.","0603-3583","Felodipine","FELODIPINE","HUMAN PRESCRIPTION DRUG","12/15/2011","N/A","ANDA","100 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0603-3583-21)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Felodipine","0603-3583-28","10 mg/1","TABLET, FILM COATED, EXTENDED RELEASE","ORAL","ANDA200815","Endo USA, Inc.","0603-3583","Felodipine","FELODIPINE","HUMAN PRESCRIPTION DRUG","12/15/2011","N/A","ANDA","500 TABLET, FILM COATED, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (0603-3583-28)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Felodipine","13668-132-90","2.5 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA202170","Torrent Pharmaceuticals Limited","13668-132","Felodipine","FELODIPINE","HUMAN PRESCRIPTION DRUG","11/28/2011","N/A","ANDA","90 TABLET, EXTENDED RELEASE in 1 BOTTLE (13668-132-90)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Felodipine","13668-132-30","2.5 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA202170","Torrent Pharmaceuticals Limited","13668-132","Felodipine","FELODIPINE","HUMAN PRESCRIPTION DRUG","11/28/2011","N/A","ANDA","30 TABLET, EXTENDED RELEASE in 1 BOTTLE (13668-132-30)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Felodipine","13668-132-10","2.5 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA202170","Torrent Pharmaceuticals Limited","13668-132","Felodipine","FELODIPINE","HUMAN PRESCRIPTION DRUG","11/28/2011","N/A","ANDA","1000 TABLET, EXTENDED RELEASE in 1 BOTTLE (13668-132-10)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Felodipine","13668-132-05","2.5 mg/1","TABLET, EXTENDED RELEASE","ORAL","ANDA202170","Torrent Pharmaceuticals Limited","13668-132","Felodipine","FELODIPINE","HUMAN PRESCRIPTION DRUG","11/28/2011","N/A","ANDA","500 TABLET, EXTENDED RELEASE in 1 BOTTLE (13668-132-05)","Calcium Channel Antagonists [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
