"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Kerendia","50419-540-06","10 mg/1","TABLET, FILM COATED","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-540","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","08/23/2025","N/A","NDA","10 TABLET, FILM COATED in 1 BLISTER PACK (50419-540-06)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Kerendia","50419-540-02","10 mg/1","TABLET, FILM COATED","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-540","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","07/09/2021","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50419-540-02)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Kerendia","50419-540-01","10 mg/1","TABLET, FILM COATED","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-540","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","07/09/2021","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50419-540-01)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Kerendia","50419-540-70","10 mg/1","TABLET, FILM COATED","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-540","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","07/09/2021","N/A","NDA","7 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50419-540-70)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Kerendia","50419-541-06","20 mg/1","TABLET, FILM COATED","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-541","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","08/23/2025","N/A","NDA","10 TABLET, FILM COATED in 1 BLISTER PACK (50419-541-06)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Kerendia","50419-541-01","20 mg/1","TABLET, FILM COATED","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-541","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","07/09/2021","N/A","NDA","30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50419-541-01)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Kerendia","50419-541-02","20 mg/1","TABLET, FILM COATED","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-541","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","07/09/2021","N/A","NDA","90 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50419-541-02)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Kerendia","50419-541-70","20 mg/1","TABLET, FILM COATED","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-541","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","07/09/2021","N/A","NDA","7 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (50419-541-70)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Kerendia","50419-542-01","40 mg/1","TABLET","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-542","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","07/11/2025","N/A","NDA","30 TABLET in 1 BOTTLE, PLASTIC (50419-542-01)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Kerendia","50419-542-02","40 mg/1","TABLET","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-542","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","07/11/2025","N/A","NDA","90 TABLET in 1 BOTTLE, PLASTIC (50419-542-02)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Kerendia","50419-542-06","40 mg/1","TABLET","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-542","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","07/11/2025","N/A","NDA","10 TABLET in 1 BLISTER PACK (50419-542-06)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
"Kerendia","50419-542-70","40 mg/1","TABLET","ORAL","NDA215341","Bayer HealthCare Pharmaceuticals Inc.","50419-542","finerenone","FINERENONE","HUMAN PRESCRIPTION DRUG","07/11/2025","N/A","NDA","7 TABLET in 1 BOTTLE, PLASTIC (50419-542-70)","Mineralocorticoid Receptor Antagonists [MoA],  Nonsteroidal Mineralocorticoid-Receptor Antagonist [EPC]","N/A","No","12/31/2026"
