"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Bystolic","0456-1402-90","2.5 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1402","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","90 TABLET in 1 BOTTLE (0456-1402-90)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1402-30","2.5 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1402","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","30 TABLET in 1 BOTTLE (0456-1402-30)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1402-01","2.5 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1402","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","100 TABLET in 1 BOTTLE (0456-1402-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1405-90","5 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1405","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","90 TABLET in 1 BOTTLE (0456-1405-90)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1405-30","5 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1405","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","30 TABLET in 1 BOTTLE (0456-1405-30)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1405-01","5 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1405","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","100 TABLET in 1 BOTTLE (0456-1405-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1410-63","10 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1410","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","100 TABLET in 1 BOX, UNIT-DOSE (0456-1410-63)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1410-30","10 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1410","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","30 TABLET in 1 BOTTLE (0456-1410-30)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1410-01","10 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1410","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","100 TABLET in 1 BOTTLE (0456-1410-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1410-90","10 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1410","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","90 TABLET in 1 BOTTLE (0456-1410-90)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1420-90","20 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1420","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","90 TABLET in 1 BOTTLE (0456-1420-90)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1420-63","20 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1420","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","100 TABLET in 1 BOX, UNIT-DOSE (0456-1420-63)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Bystolic","0456-1420-01","20 mg/1","TABLET","ORAL","NDA021742","Allergan, Inc.","0456-1420","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/22/2008","N/A","NDA","100 TABLET in 1 BOTTLE (0456-1420-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"NEBIVOLOL","0904-7497-04","2.5 mg/1","TABLET","ORAL","ANDA212682","Major Pharmaceuticals","0904-7497","nebivolol","NEBIVOLOL","HUMAN PRESCRIPTION DRUG","02/24/2025","N/A","ANDA","30 BLISTER PACK in 1 CARTON (0904-7497-04)  / 1 TABLET in 1 BLISTER PACK","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"NEBIVOLOL","0904-7498-04","5 mg/1","TABLET","ORAL","ANDA212682","Major Pharmaceuticals","0904-7498","nebivolol","NEBIVOLOL","HUMAN PRESCRIPTION DRUG","02/24/2025","N/A","ANDA","30 BLISTER PACK in 1 CARTON (0904-7498-04)  / 1 TABLET in 1 BLISTER PACK","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"NEBIVOLOL","0904-7499-04","10 mg/1","TABLET","ORAL","ANDA212682","Major Pharmaceuticals","0904-7499","nebivolol","NEBIVOLOL","HUMAN PRESCRIPTION DRUG","02/24/2025","N/A","ANDA","30 BLISTER PACK in 1 CARTON (0904-7499-04)  / 1 TABLET in 1 BLISTER PACK","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"NEBIVOLOL","0904-7500-04","20 mg/1","TABLET","ORAL","ANDA212682","Major Pharmaceuticals","0904-7500","nebivolol","NEBIVOLOL","HUMAN PRESCRIPTION DRUG","05/14/2026","N/A","ANDA","30 BLISTER PACK in 1 CARTON (0904-7500-04)  / 1 TABLET in 1 BLISTER PACK","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"nebivolol","24689-159-02","2.5 mg/1","TABLET","ORAL","ANDA216568","Apnar Pharma LP","24689-159","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/13/2024","N/A","ANDA","90 TABLET in 1 BOTTLE (24689-159-02)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"nebivolol","24689-159-01","2.5 mg/1","TABLET","ORAL","ANDA216568","Apnar Pharma LP","24689-159","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/13/2024","N/A","ANDA","30 TABLET in 1 BOTTLE (24689-159-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"nebivolol","24689-160-02","5 mg/1","TABLET","ORAL","ANDA216568","Apnar Pharma LP","24689-160","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/13/2024","N/A","ANDA","90 TABLET in 1 BOTTLE (24689-160-02)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"nebivolol","24689-160-01","5 mg/1","TABLET","ORAL","ANDA216568","Apnar Pharma LP","24689-160","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/13/2024","N/A","ANDA","30 TABLET in 1 BOTTLE (24689-160-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"nebivolol","24689-161-02","10 mg/1","TABLET","ORAL","ANDA216568","Apnar Pharma LP","24689-161","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/13/2024","N/A","ANDA","90 TABLET in 1 BOTTLE (24689-161-02)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"nebivolol","24689-161-01","10 mg/1","TABLET","ORAL","ANDA216568","Apnar Pharma LP","24689-161","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/13/2024","N/A","ANDA","30 TABLET in 1 BOTTLE (24689-161-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"nebivolol","24689-162-02","20 mg/1","TABLET","ORAL","ANDA216568","Apnar Pharma LP","24689-162","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/13/2024","N/A","ANDA","90 TABLET in 1 BOTTLE (24689-162-02)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"nebivolol","24689-162-01","20 mg/1","TABLET","ORAL","ANDA216568","Apnar Pharma LP","24689-162","nebivolol hydrochloride","NEBIVOLOL HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/13/2024","N/A","ANDA","30 TABLET in 1 BOTTLE (24689-162-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
