"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"CARDENE IV","43066-009-10",".1 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","NDA019734","Baxter Healthcare Corporation","43066-009","nicardipine hydrochloride","NICARDIPINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","01/11/2021","N/A","NDA","10 BAG in 1 CARTON (43066-009-10)  / 200 mL in 1 BAG","Calcium Channel Antagonists [MoA],  Cytochrome P450 2C19 Inhibitors [MoA],  Cytochrome P450 2C8 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"CARDENE IV","43066-016-10",".2 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","NDA019734","Baxter Healthcare Corporation","43066-016","nicardipine hydrochloride","NICARDIPINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","10/26/2020","N/A","NDA","10 BAG in 1 CARTON (43066-016-10)  / 200 mL in 1 BAG","Calcium Channel Antagonists [MoA],  Cytochrome P450 2C19 Inhibitors [MoA],  Cytochrome P450 2C8 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Cardene IV","43066-021-10",".1 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","NDA019734","Baxter Healthcare Corporation","43066-021","nicardipine hydrochloride","NICARDIPINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/22/2020","N/A","NDA","10 BAG in 1 CARTON (43066-021-10)  / 200 mL in 1 BAG","Calcium Channel Antagonists [MoA],  Cytochrome P450 2C19 Inhibitors [MoA],  Cytochrome P450 2C8 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Cardene IV","43066-024-10",".2 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","NDA019734","Baxter Healthcare Corporation","43066-024","nicardipine hydrochloride","NICARDIPINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/22/2020","N/A","NDA","10 BAG in 1 CARTON (43066-024-10)  / 200 mL in 1 BAG","Calcium Channel Antagonists [MoA],  Cytochrome P450 2C19 Inhibitors [MoA],  Cytochrome P450 2C8 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"CARDENE IV","43066-026-10",".1 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","NDA019734","Baxter Healthcare Corporation","43066-026","nicardipine hydrochloride","NICARDIPINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/22/2020","N/A","NDA","10 BAG in 1 CARTON (43066-026-10)  / 200 mL in 1 BAG","Calcium Channel Antagonists [MoA],  Cytochrome P450 2C19 Inhibitors [MoA],  Cytochrome P450 2C8 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"CARDENE IV","43066-028-10",".2 mg/mL","INJECTION, SOLUTION","INTRAVENOUS","NDA019734","Baxter Healthcare Corporation","43066-028","nicardipine hydrochloride","NICARDIPINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","08/22/2020","N/A","NDA","10 BAG in 1 CARTON (43066-028-10)  / 200 mL in 1 BAG","Calcium Channel Antagonists [MoA],  Cytochrome P450 2C19 Inhibitors [MoA],  Cytochrome P450 2C8 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"CARDENE IV","43066-029-10","2.5 mg/10mL","INJECTION, SOLUTION","INTRAVENOUS","NDA019734","Baxter Healthcare Corporation","43066-029","nicardipine hydrochloride","NICARDIPINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","12/29/2025","N/A","NDA","10 VIAL, SINGLE-DOSE in 1 CARTON (43066-029-10)  / 10 mL in 1 VIAL, SINGLE-DOSE (43066-029-01)","Calcium Channel Antagonists [MoA],  Cytochrome P450 2C19 Inhibitors [MoA],  Cytochrome P450 2C8 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2027"
"Nicardipine Hydrochloride","0143-9542-10","2.5 mg/mL","INJECTION","INTRAVENOUS","NDA022276","Hikma Pharmaceuticals USA Inc.","0143-9542","Nicardipine Hydrochloride","NICARDIPINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/02/2012","N/A","NDA","10 VIAL in 1 CARTON (0143-9542-10)  / 10 mL in 1 VIAL (0143-9542-01)","Calcium Channel Antagonists [MoA],  Cytochrome P450 2C19 Inhibitors [MoA],  Cytochrome P450 2C8 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Nicardipine Hydrochloride","0143-9593-10","2.5 mg/mL","INJECTION","INTRAVENOUS","NDA022276","West-Ward Pharmaceuticals Corp","0143-9593","Nicardipine Hydrochloride","NICARDIPINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","03/02/2012","N/A","NDA","10 VIAL in 1 CARTON (0143-9593-10)  / 10 mL in 1 VIAL (0143-9593-01)","Calcium Channel Antagonists [MoA],  Cytochrome P450 2C19 Inhibitors [MoA],  Cytochrome P450 2C8 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
"Nicardipine Hydrochloride","0143-9633-10",".2 mg/mL","INJECTION","INTRAVENOUS","NDA022276","Hikma Pharmaceuticals USA Inc.","0143-9633","Nicardipine Hydrochloride","NICARDIPINE HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/07/2016","N/A","NDA","10 BAG in 1 CARTON (0143-9633-10)  / 200 mL in 1 BAG (0143-9633-01)","Calcium Channel Antagonists [MoA],  Cytochrome P450 2C19 Inhibitors [MoA],  Cytochrome P450 2C8 Inhibitors [MoA],  Cytochrome P450 2D6 Inhibitors [MoA],  Cytochrome P450 3A4 Inhibitors [MoA],  Dihydropyridine Calcium Channel Blocker [EPC],  Dihydropyridines [CS]","N/A","No","12/31/2026"
