"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"Pindolol","10135-743-01","5 mg/1","TABLET","ORAL","ANDA073609","Marlex Pharmaceuticals, Inc.","10135-743","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","06/01/2022","N/A","ANDA","100 TABLET in 1 BOTTLE (10135-743-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"Pindolol","10135-744-01","10 mg/1","TABLET","ORAL","ANDA073609","Marlex Pharmaceuticals, Inc.","10135-744","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","06/01/2022","N/A","ANDA","100 TABLET in 1 BOTTLE (10135-744-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"Pindolol","57664-655-88","5 mg/1","TABLET","ORAL","ANDA074063","Sun Pharmaceutical Industries, Inc.","57664-655","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","01/27/1994","01/31/2027","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (57664-655-88)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","N/A"
"Pindolol","57664-656-88","10 mg/1","TABLET","ORAL","ANDA074063","Sun Pharmaceutical Industries, Inc.","57664-656","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","01/27/1994","10/31/2026","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (57664-656-88)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","N/A"
"Pindolol","62559-560-01","5 mg/1","TABLET","ORAL","ANDA073609","ANI Pharmaceuticals, Inc.","62559-560","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","05/08/2017","N/A","ANDA","100 TABLET in 1 BOTTLE (62559-560-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Pindolol","62559-561-01","10 mg/1","TABLET","ORAL","ANDA073609","ANI Pharmaceuticals, Inc.","62559-561","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","05/08/2017","N/A","ANDA","100 TABLET in 1 BOTTLE (62559-561-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Pindolol","63629-4828-1","5 mg/1","TABLET","ORAL","ANDA211712","Bryant Ranch Prepack","63629-4828","pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","11/25/2024","N/A","ANDA","180 TABLET in 1 BOTTLE, PLASTIC (63629-4828-1)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Pindolol","69367-421-01","5 mg/1","TABLET","ORAL","ANDA205415","Westminster Pharmaceuticals, LLC","69367-421","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","11/18/2025","N/A","ANDA","100 TABLET in 1 BOTTLE (69367-421-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Pindolol","69367-422-01","10 mg/1","TABLET","ORAL","ANDA205415","Westminster Pharmaceuticals, LLC","69367-422","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","11/18/2025","N/A","ANDA","100 TABLET in 1 BOTTLE (69367-422-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Pindolol","72162-2652-1","5 mg/1","TABLET","ORAL","ANDA205415","Bryant Ranch Prepack","72162-2652","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","05/27/2026","N/A","ANDA","100 TABLET in 1 BOTTLE (72162-2652-1)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"Pindolol","72162-2653-1","10 mg/1","TABLET","ORAL","ANDA205415","Bryant Ranch Prepack","72162-2653","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","05/27/2026","N/A","ANDA","100 TABLET in 1 BOTTLE (72162-2653-1)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"Pindolol","72789-099-01","10 mg/1","TABLET","ORAL","ANDA211712","PD-Rx Pharmaceuticals, Inc.","72789-099","pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","07/15/2020","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (72789-099-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"Pindolol","72789-100-01","5 mg/1","TABLET","ORAL","ANDA211712","PD-Rx Pharmaceuticals, Inc.","72789-100","pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","07/15/2020","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (72789-100-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"Pindolol","72789-293-01","10 mg/1","TABLET","ORAL","ANDA074063","PD-Rx Pharmaceuticals, Inc.","72789-293","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","01/11/2023","01/31/2027","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (72789-293-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","N/A"
"Pindolol","72789-294-01","5 mg/1","TABLET","ORAL","ANDA074063","PD-Rx Pharmaceuticals, Inc.","72789-294","Pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","01/11/2023","01/31/2027","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (72789-294-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","N/A"
"Pindolol","76385-131-01","5 mg/1","TABLET","ORAL","ANDA211712","Unichem Pharmaceuticals (USA), Inc.","76385-131","pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","02/01/2020","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (76385-131-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Pindolol","76385-132-01","10 mg/1","TABLET","ORAL","ANDA211712","Unichem Pharmaceuticals (USA), Inc.","76385-132","pindolol","PINDOLOL","HUMAN PRESCRIPTION DRUG","02/01/2020","N/A","ANDA","100 TABLET in 1 BOTTLE, PLASTIC (76385-132-01)","Adrenergic beta-Antagonists [MoA],  beta-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
