"Proprietary Name","NDC Package Code","Strength","Dosage Form","Route","Appl. No.","Labeler Name","Product NDC","Nonproprietary Name","Substance Name","Product Type Name","Start Marketing Date","End Marketing Date","Market Category","Package Description","Pharm Class","DEA","Sample Package","Listing Record Certified Through:"
"terazosin","23155-735-01","1 mg/1","CAPSULE","ORAL","ANDA075614","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-735","terazosin","TERAZOSIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/30/2021","N/A","ANDA","100 CAPSULE in 1 BOTTLE (23155-735-01)","Adrenergic alpha-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"terazosin","23155-735-10","1 mg/1","CAPSULE","ORAL","ANDA075614","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-735","terazosin","TERAZOSIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/30/2021","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (23155-735-10)","Adrenergic alpha-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"terazosin","23155-736-10","2 mg/1","CAPSULE","ORAL","ANDA075614","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-736","terazosin","TERAZOSIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/30/2021","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (23155-736-10)","Adrenergic alpha-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"terazosin","23155-736-01","2 mg/1","CAPSULE","ORAL","ANDA075614","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-736","terazosin","TERAZOSIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/30/2021","N/A","ANDA","100 CAPSULE in 1 BOTTLE (23155-736-01)","Adrenergic alpha-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"terazosin","23155-737-10","5 mg/1","CAPSULE","ORAL","ANDA075614","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-737","terazosin","TERAZOSIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/30/2021","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (23155-737-10)","Adrenergic alpha-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"terazosin","23155-737-01","5 mg/1","CAPSULE","ORAL","ANDA075614","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-737","terazosin","TERAZOSIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/30/2021","N/A","ANDA","100 CAPSULE in 1 BOTTLE (23155-737-01)","Adrenergic alpha-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"terazosin","23155-738-10","10 mg/1","CAPSULE","ORAL","ANDA075614","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-738","terazosin","TERAZOSIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/30/2021","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (23155-738-10)","Adrenergic alpha-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"terazosin","23155-738-01","10 mg/1","CAPSULE","ORAL","ANDA075614","Heritage Pharmaceuticals Inc. d/b/a Avet Pharmaceuticals Inc.","23155-738","terazosin","TERAZOSIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","04/30/2021","N/A","ANDA","100 CAPSULE in 1 BOTTLE (23155-738-01)","Adrenergic alpha-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC]","N/A","No","12/31/2026"
"Terazosin","27241-288-01","1 mg/1","CAPSULE","ORAL","ANDA219482","Ajanta Pharma USA Inc.","27241-288","Terazosin","TERAZOSIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/12/2025","N/A","ANDA","100 CAPSULE in 1 BOTTLE (27241-288-01)","Adrenergic alpha-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
"Terazosin","27241-288-10","1 mg/1","CAPSULE","ORAL","ANDA219482","Ajanta Pharma USA Inc.","27241-288","Terazosin","TERAZOSIN HYDROCHLORIDE","HUMAN PRESCRIPTION DRUG","05/12/2025","N/A","ANDA","1000 CAPSULE in 1 BOTTLE (27241-288-10)","Adrenergic alpha-Antagonists [MoA],  alpha-Adrenergic Blocker [EPC]","N/A","No","12/31/2027"
